method,method,invocation counts
com.intellij.rt.execution.application.AppMain.main(String[]),org.apache.fontbox.ttf.TestTTFParser.testUTCDate(),1
org.apache.fontbox.ttf.TestTTFParser.testUTCDate(),org.apache.fontbox.ttf.TTFParser.parseTTF(File),1
org.apache.fontbox.ttf.TTFParser.parseTTF(File),org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(File),1
org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(File),org.apache.fontbox.ttf.TTFParser.parseTTF(TTFDataStream),1
org.apache.fontbox.ttf.TTFParser.parseTTF(TTFDataStream),org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(TTFDataStream),3
org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(TTFDataStream),"org.apache.fontbox.ttf.TTFParser.parseTables(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.TTFParser.parseTables(TrueTypeFont, TTFDataStream)","org.apache.fontbox.ttf.AbstractTTFParser.parseTables(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.AbstractTTFParser.parseTables(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),32
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)","org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)","org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfDescript.readInstructions(TTFDataStream, int)",250
"org.apache.fontbox.ttf.GlyfDescript.readInstructions(TTFDataStream, int)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedByteArray(int),250
org.apache.fontbox.ttf.TTFDataStream.readUnsignedByteArray(int),org.apache.fontbox.ttf.RAFDataStream.read(),37498
org.apache.fontbox.ttf.RAFDataStream.read(),java.io.RandomAccessFile.read(),77375
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfSimpleDescript.readCoords(int, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyfSimpleDescript.readCoords(int, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte(),24438
org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte(),org.apache.fontbox.ttf.RAFDataStream.read(),38661
"org.apache.fontbox.ttf.GlyfSimpleDescript.readCoords(int, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readSignedShort(),1983
org.apache.fontbox.ttf.RAFDataStream.readSignedShort(),java.io.RandomAccessFile.readShort(),3473
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfSimpleDescript.readFlags(int, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyfSimpleDescript.readFlags(int, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte(),15334
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedShortArray(int),250
org.apache.fontbox.ttf.TTFDataStream.readUnsignedShortArray(int),org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),663
org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),java.io.RandomAccessFile.readUnsignedShort(),1788
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),240
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfDescript.<init>(short, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readSignedShort(),1200
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)",java.lang.ClassLoader.loadClass(String),3
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)","org.apache.fontbox.util.BoundingBox.<init>(float, float, float, float)",250
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)",org.apache.fontbox.ttf.GlyfSimpleDescript.<clinit>(),2
org.apache.fontbox.ttf.GlyfSimpleDescript.<clinit>(),org.apache.commons.logging.LogFactory.getLog(Class),2
org.apache.commons.logging.LogFactory.getLog(Class),org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class),96
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class),org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String),96
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String),org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String),96
org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String),java.lang.reflect.Constructor.newInstance(Object[]),93
java.lang.reflect.Constructor.newInstance(Object[]),org.apache.commons.logging.impl.Jdk14Logger.<init>(String),65
org.apache.commons.logging.impl.Jdk14Logger.<init>(String),org.apache.commons.logging.impl.Jdk14Logger.getLogger(),65
org.apache.commons.logging.impl.Jdk14Logger.getLogger(),java.util.logging.Logger.getLogger(String),65
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String),"java.util.Hashtable.put(Object, Object)",96
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String),java.util.Hashtable.get(Object),101
org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class),java.lang.Class.getName(),96
org.apache.commons.logging.LogFactory.getLog(Class),org.apache.commons.logging.LogFactory.getFactory(),98
org.apache.commons.logging.LogFactory.getFactory(),org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),104
org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),org.apache.commons.logging.LogFactory$1.run(),101
org.apache.commons.logging.LogFactory$1.run(),org.apache.commons.logging.LogFactory.directGetContextClassLoader(),101
org.apache.commons.logging.LogFactory.directGetContextClassLoader(),"java.lang.Class.getMethod(String, Class[])",104
org.apache.commons.logging.LogFactory.directGetContextClassLoader(),"java.lang.reflect.Method.invoke(Object, Object[])",104
org.apache.commons.logging.LogFactory.getContextClassLoaderInternal(),org.apache.commons.logging.LogFactory$1.<init>(),101
org.apache.commons.logging.LogFactory.getFactory(),org.apache.commons.logging.LogFactory.getCachedFactory(ClassLoader),101
org.apache.commons.logging.LogFactory.getCachedFactory(ClassLoader),org.apache.commons.logging.impl.WeakHashtable.get(Object),101
org.apache.commons.logging.impl.WeakHashtable.get(Object),java.util.Hashtable.get(Object),101
java.util.Hashtable.get(Object),org.apache.commons.logging.impl.WeakHashtable$Referenced.equals(Object),98
org.apache.commons.logging.impl.WeakHashtable$Referenced.equals(Object),org.apache.commons.logging.impl.WeakHashtable$Referenced.getValue(),196
org.apache.commons.logging.impl.WeakHashtable.get(Object),"org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, WeakHashtable$1)",101
"org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object, WeakHashtable$1)",org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object),101
org.apache.commons.logging.impl.WeakHashtable$Referenced.<init>(Object),java.lang.ref.WeakReference.<init>(Object),101
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)","java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",2
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TrueTypeFont.getIndexToLocation(),3
org.apache.fontbox.ttf.TrueTypeFont.getIndexToLocation(),org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),3
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),"org.apache.fontbox.ttf.IndexToLocationTable.initData(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.IndexToLocationTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TrueTypeFont.getHeader(),3
org.apache.fontbox.ttf.TrueTypeFont.getHeader(),org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),3
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),"org.apache.fontbox.ttf.HeaderTable.initData(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.HeaderTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),java.util.Calendar.getInstance(TimeZone),6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),java.lang.ClassLoader.loadClass(String),2
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),java.util.Calendar.<clinit>(),1
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),org.apache.fontbox.ttf.RAFDataStream.readLong(),2
org.apache.fontbox.ttf.RAFDataStream.readLong(),java.io.RandomAccessFile.readLong(),2
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),java.util.Calendar.getTimeInMillis(),6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),"java.lang.ClassLoader.checkPackageAccess(Class, ProtectionDomain)",6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),java.util.TimeZone.getTimeZone(String),6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),java.util.Calendar.setTimeInMillis(long),6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),"java.util.Calendar.set(int, int, int, int, int, int)",6
org.apache.fontbox.ttf.TTFDataStream.readInternationalDate(),"java.util.Calendar.set(int, int)",6
"org.apache.fontbox.ttf.HeaderTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.read32Fixed(),6
org.apache.fontbox.ttf.TTFDataStream.read32Fixed(),org.apache.fontbox.ttf.RAFDataStream.readSignedShort(),7
org.apache.fontbox.ttf.TTFDataStream.read32Fixed(),org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),7
"org.apache.fontbox.ttf.HeaderTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),4
"org.apache.fontbox.ttf.HeaderTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedInt(),6
org.apache.fontbox.ttf.TTFDataStream.readUnsignedInt(),org.apache.fontbox.ttf.RAFDataStream.read(),1216
"org.apache.fontbox.ttf.HeaderTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readSignedShort(),7
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),org.apache.fontbox.ttf.RAFDataStream.getCurrentPosition(),15
org.apache.fontbox.ttf.RAFDataStream.getCurrentPosition(),java.io.RandomAccessFile.getFilePointer(),16
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),org.apache.fontbox.ttf.RAFDataStream.seek(long),30
org.apache.fontbox.ttf.RAFDataStream.seek(long),java.io.RandomAccessFile.seek(long),528
org.apache.fontbox.ttf.TrueTypeFont.getHeader(),java.util.HashMap.get(Object),9
"org.apache.fontbox.ttf.IndexToLocationTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedInt(),7996
"org.apache.fontbox.ttf.IndexToLocationTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TrueTypeFont.getNumberOfGlyphs(),3
org.apache.fontbox.ttf.TrueTypeFont.getNumberOfGlyphs(),org.apache.fontbox.ttf.TrueTypeFont.getMaximumProfile(),3
org.apache.fontbox.ttf.TrueTypeFont.getMaximumProfile(),org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),3
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),"org.apache.fontbox.ttf.MaximumProfileTable.initData(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.MaximumProfileTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.read32Fixed(),3
"org.apache.fontbox.ttf.MaximumProfileTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),14
org.apache.fontbox.ttf.TrueTypeFont.getMaximumProfile(),java.util.HashMap.get(Object),6
org.apache.fontbox.ttf.TrueTypeFont.getIndexToLocation(),java.util.HashMap.get(Object),6
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",java.lang.ClassLoader.loadClass(String),12
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.seek(long),240
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.GlyphData.<init>(),250
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TrueTypeFont.getNumberOfGlyphs(),3
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),"org.apache.fontbox.ttf.CMAPTable.initData(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.CMAPTable.initData(TrueTypeFont, TTFDataStream)","org.apache.fontbox.ttf.CMAPEncodingEntry.initSubtable(CMAPTable, int, TTFDataStream)",6
