method,method,invocation counts
org.apache.fontbox.ttf.AbstractTTFParser.parseTTF(TTFDataStream),"org.apache.fontbox.ttf.TTFParser.parseTables(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.TTFParser.parseTables(TrueTypeFont, TTFDataStream)","org.apache.fontbox.ttf.AbstractTTFParser.parseTables(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.AbstractTTFParser.parseTables(TrueTypeFont, TTFDataStream)",org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),32
org.apache.fontbox.ttf.TrueTypeFont.initializeTable(TTFTable),"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)",3
"org.apache.fontbox.ttf.GlyphTable.initData(TrueTypeFont, TTFDataStream)","org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyphData.initData(GlyphTable, TTFDataStream)","org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfDescript.readInstructions(TTFDataStream, int)",250
"org.apache.fontbox.ttf.GlyfDescript.readInstructions(TTFDataStream, int)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedByteArray(int),250
org.apache.fontbox.ttf.TTFDataStream.readUnsignedByteArray(int),org.apache.fontbox.ttf.RAFDataStream.read(),37498
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfSimpleDescript.readCoords(int, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyfSimpleDescript.readCoords(int, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte(),24438
org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte(),org.apache.fontbox.ttf.RAFDataStream.read(),38661
"org.apache.fontbox.ttf.GlyfSimpleDescript.readCoords(int, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readSignedShort(),1983
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfSimpleDescript.readFlags(int, TTFDataStream)",250
"org.apache.fontbox.ttf.GlyfSimpleDescript.readFlags(int, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte(),15334
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)",org.apache.fontbox.ttf.TTFDataStream.readUnsignedShortArray(int),250
org.apache.fontbox.ttf.TTFDataStream.readUnsignedShortArray(int),org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),663
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)",org.apache.fontbox.ttf.RAFDataStream.readUnsignedShort(),240
"org.apache.fontbox.ttf.GlyfSimpleDescript.<init>(short, TTFDataStream)","org.apache.fontbox.ttf.GlyfDescript.<init>(short, TTFDataStream)",250
