class,path,package,methods
IvyPattern,src\java\org\apache\ivy\core\settings\IvyPattern.java,org.apache.ivy.core.settings,"getPattern,setPattern"
IvyEvent,src\java\org\apache\ivy\core\event\IvyEvent.java,org.apache.ivy.core.event,"IvyEvent,addAttribute,addMDAttributes,addMridAttributes,addModuleIdAttributes,addConfsAttribute,addAttributes,getSource,getName,getAttributes,toString,equals,hashCode"
ArtifactRevisionId,src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,org.apache.ivy.core.module.id,"newInstance,newInstance,ArtifactRevisionId,ArtifactRevisionId,equals,hashCode,toString,getArtifactId,getModuleRevisionId,getName,getType,getExt,getRevision"
IvyPatternHelper,src\java\org\apache\ivy\core\IvyPatternHelper.java,org.apache.ivy.core,"IvyPatternHelper,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substituteVariables,substituteVariables,substituteVariables,substituteTokens,substituteVariable,substituteVariable,substituteToken,substituteToken,getTokenString,substituteParams,substituteParams,getTokenRoot,getFirstToken"
UnmodifiableExtendableItem,src\java\org\apache\ivy\util\extendable\UnmodifiableExtendableItem.java,org.apache.ivy.util.extendable,"UnmodifiableExtendableItem,getAttribute,getExtraAttribute,setExtraAttribute,setStandardAttribute,getAttributes,getExtraAttributes,getQualifiedExtraAttributes"
ArtifactId,src\java\org\apache\ivy\core\module\id\ArtifactId.java,org.apache.ivy.core.module.id,"ArtifactId,equals,hashCode,toString,getShortDescription,getModuleId,getName,getType,getExt"
ModuleRevisionId,src\java\org\apache\ivy\core\module\id\ModuleRevisionId.java,org.apache.ivy.core.module.id,"parse,newInstance,newInstance,newInstance,newInstance,newInstance,newInstance,newInstance,intern,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,getModuleId,getName,getOrganisation,getRevision,equals,hashCode,toString,encodeToString,decode,getBranch,normalizeRevision"
RepositoryCopyProgressListener,src\java\org\apache\ivy\plugins\repository\RepositoryCopyProgressListener.java,org.apache.ivy.plugins.repository,"RepositoryCopyProgressListener,start,progress,end,getTotalLength,setTotalLength"
CopyProgressEvent,src\java\org\apache\ivy\util\CopyProgressEvent.java,org.apache.ivy.util,"CopyProgressEvent,CopyProgressEvent,CopyProgressEvent,update,getTotalReadBytes,getBuffer,getReadBytes"
AbstractRepository,src\java\org\apache\ivy\plugins\repository\AbstractRepository.java,org.apache.ivy.plugins.repository,"addTransferListener,removeTransferListener,hasTransferListener,fireTransferInitiated,fireTransferStarted,fireTransferStarted,fireTransferProgress,fireTransferCompleted,fireTransferCompleted,fireTransferError,fireTransferError,fireTransferEvent,getFileSeparator,standardize,getName,setName,toString,put,put"
IvyNodeCallers,src\java\org\apache\ivy\core\resolve\IvyNodeCallers.java,org.apache.ivy.core.resolve,"IvyNodeCallers,addCaller,removeCaller,getCallers,getAllCallers,getAllRealCallers,getAllCallersModuleIds,updateFrom,getDirectCallerFor,doesCallersExclude,doesCallersExclude,doesExclude"
Configuration,src\java\org\apache\ivy\core\module\descriptor\Configuration.java,org.apache.ivy.core.module.descriptor,"findConfigurationExtending,Configuration,Configuration,Configuration,Configuration,getDeprecated,getDescription,getExtends,getName,getVisibility,isTransitive,getSourceModule,toString,equals,hashCode,replaceWildcards,addOther"
ModuleId,src\java\org\apache\ivy\core\module\id\ModuleId.java,org.apache.ivy.core.module.id,"newInstance,intern,ModuleId,getName,getOrganisation,equals,hashCode,toString,compareTo,encodeToString,getAttributes,decode,parse"
