method,Time,OwnTime,count
org.apache.ivy.core.resolve.IvyNode.getAllEvictingNodesDetails(),3,0,17
org.apache.ivy.core.resolve.ResolveData_ESTest.test03(),0,0,1
org.apache.ivy.core.resolve.ResolvedModuleRevision_ESTest.test05(),69,0,1
java.io.ByteArrayOutputStream.<init>(),16,16,10839
"org.apache.ivy.util.Configurator$MacroRecord.recordChild(String, Object)",0,0,13
org.evosuite.runtime.vfs.VirtualFileSystem.<clinit>(),381,0,16
org.apache.ivy.plugins.resolver.IvyRepResolver.listOrganisations(),2,0,7
org.apache.tools.ant.helper.ProjectHelper2$AntHandler.<init>(),0,0,4
com.sun.org.apache.xalan.internal.xsltc.runtime.BasisLibrary.referenceToNodeSet(Object),0,0,162
org.apache.ivy.plugins.repository.vfs.VfsResource_ESTest.test21(),0,0,1
org.apache.ivy.plugins.namespace.MRIDTransformationRule$MridRuleMatcher.<init>(MRIDTransformationRule$1),0,0,604
com.sun.org.apache.xalan.internal.xsltc.trax.TransformerHandlerImpl.endDocument(),0,0,1
org.apache.ivy.plugins.resolver.ChainResolver.<init>(),1,1,1638
org.apache.ivy.core.resolve.IvyNodeEviction.markEvicted(IvyNodeEviction$EvictionData),0,0,24
org.apache.ivy.ant.IvyTask.isValidate(),0,0,3
org.apache.ivy.plugins.repository.AbstractRepository_ESTest.test01(),3,0,1
org.apache.ivy.ant.IvyMakePom_ESTest.<init>(),0,0,37
org.apache.tools.ant.types.EnumeratedAttribute.indexOfValue(String),0,0,8
org.apache.ivy.plugins.namespace.NamespaceRule_ESTest.test05(),0,0,1
org.apache.ivy.plugins.lock.ArtifactLockStrategy_ESTest.test1(),1,0,1
"org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.startEntity(String, XMLResourceIdentifier,",7,5,5693
org.apache.ivy.util.MemoryUtil.<init>(),0,0,101
org.apache.ivy.core.module.descriptor.DefaultExtendsDescriptor_ESTest.test23(),0,0,1
org.apache.commons.httpclient.HttpMethodBase.releaseConnection(),2,1,202
org.apache.ivy.core.search.RevisionEntry_ESTest.test19(),0,0,1
org.apache.ivy.core.event.EventManager_ESTest.test05(),173,0,1
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchivePathInCache(Artifact),0,0,1
org.apache.ivy.ant.AntCallTrigger.<init>(),0,0,11
org.apache.ivy.core.report.DownloadReport_ESTest.test10(),0,0,1
org.apache.ivy.ant.IvyPublish_ESTest.test49(),0,0,1
org.apache.ivy.ant.IvyRetrieve_ESTest.test14(),0,0,1
org.apache.ivy.plugins.resolver.BasicResolver$5.resolve(Artifact),919,0,192
org.apache.ivy.plugins.resolver.AbstractResolver.toSystem(MetadataArtifactDownloadReport),49,0,77
org.apache.ivy.core.event.EventManager.transferProgress(TransferEvent),31,2,785
org.apache.ivy.core.settings.IvySettings.getMatcher(String),5,1,658
org.apache.ivy.util.MessageLoggerEngine_ESTest.test21(),0,0,1
org.apache.ivy.ant.IvyResolve.setCache(File),0,0,1
"java.util.Date.<init>(int, int, int, int, int, int)",11,11,57
org.apache.ivy.plugins.repository.ssh.SshRepository.openStream(SshResource),2,0,6
org.apache.ivy.ant.IvyRetrieveBuildFileTest.<init>(),0,0,1
org.apache.ivy.core.module.id.ModuleRevisionId.encodeToString(),40,4,180
org.apache.ivy.plugins.namespace.Namespace_ESTest.test0(),2,0,1
org.apache.ivy.ant.IvyBuildNumberTest.testPrefix(),74,0,1
org.apache.commons.httpclient.params.HostParams.<init>(),1,0,636
"org.apache.tools.ant.util.FileUtils.removeLeadingPath(File, File)",26,0,56
