class path,method name,method arguments,LOC,Cyclomatic
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,setField,"PDDocument, String, String",33,7
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,main,String[],5,1
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,setField,String[],25,3
examples\src\main\java\org\apache\pdfbox\examples\interactive\form\SetField.java,usage,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,PDDocument,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,PDDocument,MemoryUsageSetting,32,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addPage,PDPage,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addSignature,"PDSignature, SignatureInterface",4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addSignature,"PDSignature, SignatureInterface, SignatureOptions",75,8
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,findSignatureField,"List<PDField>, PDSignature",16,4
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,checkSignatureField,"List<PDField>, PDSignatureField",19,4
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,prepareVisibleSignature,"PDSignatureField, PDAcroForm, COSDocument",36,7
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,assignSignatureRectangle,"PDSignatureField, COSDictionary",6,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,assignAppearanceDictionary,"PDSignatureField, COSDictionary",6,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,assignAcroFormDefaultResource,"PDAcroForm, COSDictionary",11,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,prepareNonVisibleSignature,PDSignatureField,5,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,addSignatureField,"List<PDSignatureField>, SignatureInterface, SignatureOptions",33,6
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,removePage,PDPage,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,removePage,int,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,importPage,PDPage,8,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,PDDocument,COSDocument,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,PDDocument,"COSDocument, RandomAccessRead",4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,PDDocument,"COSDocument, RandomAccessRead, AccessPermission",6,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocument,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocumentInformation,,15,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,setDocumentInformation,PDDocumentInformation,5,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getDocumentCatalog,,17,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,isEncrypted,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getEncryption,,8,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,setEncryptionDictionary,PDEncryption,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getLastSignatureDictionary,,10,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getSignatureFields,,16,4
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getSignatureDictionaries,,13,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,getFontsToSubset,,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,File,4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"File, MemoryUsageSetting",4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"File, String",4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"File, String, MemoryUsageSetting",4,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDDocument.java,load,"File, String, InputStream, String",5,1
