sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
1;org.apache.cxf.rs.security.saml.SAMLUtils.getSubject(Message, SamlAssertionWrapper);233;17;32;0;0
2;org.apache.cxf.systest.type_test.AbstractTypeTestClient4.testRestrictedAllBaseAll();3;0;0;1;2
3;org.apache.cxf.jaxrs.provider.atom.AtomPojoProvider.createFeedFromCollectionWrapper(Factory, Object, Class);66;5;9;7;17
4;org.apache.cxf.transport.AbstractDestination.AbstractDestination(EndpointReferenceType, EndpointInfo);2;0;0;1;1
5;org.apache.cxf.aegis.type.java5.AnnotationReader.getReturnTypeName(AnnotatedElement);22;4;13;0;0
6;org.apache.cxf.jaxrs.impl.ResponseBuilderImpl.cacheControl(CacheControl);2;0;0;1;1
7;org.apache.cxf.jaxrs.model.AbstractResourceInfo.getConstructorProxyMap(boolean);281;29;36;1;2
8;org.apache.cxf.rs.security.oauth2.common.Permission.Permission(String, String);2;1;1;0;0
9;org.apache.cxf.transport.http_jetty.JettyConnectorFactory.createConnector(String, int);31;4;14;0;0
10;org.apache.cxf.binding.corba.runtime.CorbaStreamReader.getName();12;3;6;1;1
11;org.apache.cxf.systest.type_test.AbstractTypeTestClient2.equals(SgDerivedTypeC, SgDerivedTypeC);3;2;1;0;0
12;org.apache.cxf.transport.http.HTTPSession.put(Object, Object);2;0;0;1;1
13;org.apache.cxf.ws.rm.persistence.jdbc.RMTxStore.getPassword();72;5;31;0;0
14;org.apache.cxf.jaxws.JaxWsClientFactoryBean.createSoapBindingConfig();4;0;0;1;3
15;org.apache.cxf.ws.rm.CapturingXMLWriter.writeStartElement(String, String, String);2;0;0;1;1
16;org.apache.cxf.binding.corba.types.CorbaStructListener.processCharacters(String);2;0;0;1;1
17;org.apache.cxf.tools.validator.WSDLValidator.WSDLValidator(ToolSpec);363;12;81;2;1
18;org.apache.cxf.helpers.XPathUtils.XPathUtils(NamespaceContext);2;0;0;1;1
19;org.apache.cxf.management.web.logging.atom.deliverer.Deliverer.getEndpointAddress();15;3;8;0;0
20;org.apache.cxf.bus.blueprint.BundleDelegatingClassLoader.BundleDelegatingClassLoader(Bundle);2;0;0;1;1
21;org.apache.cxf.jaxb.JAXBDataBase.isOutputMessage(AbstractMessageContainer);6;2;3;1;1
22;org.apache.cxf.jaxrs.client.LocalClientState.LocalClientState(URI);456;19;62;11;12
23;org.apache.cxf.jaxb.JAXBContextInitializer.isFieldAccepted(Field, XmlAccessType);51;10;17;1;1
24;org.apache.cxf.jaxrs.utils.JAXRSUtils.matchProduceTypes(MediaType, OperationResourceInfo);135;12;30;7;3
