method,pattern,space
"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float),org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition)"
org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(),FreqExec,"org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(),org.apache.pdfbox.pdmodel.PDPage.findParentCropBox(PDPageNode)"
org.apache.pdfbox.io.PushBackInputStream.read(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.read(),org.apache.pdfbox.io.PushBackInputStream.peek(),org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(),org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean),org.apache.pdfbox.pdfparser.BaseParser.readString(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(),org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(),org.apache.pdfbox.pdfparser.BaseParser.readLine(),org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess),org.apache.pdfbox.pdfparser.BaseParser.readString(int),org.apache.pdfbox.pdfparser.PDFParser.parseObject(),org.apache.pdfbox.pdfparser.NonSequentialPDFParser.readPattern(char[])"
org.apache.pdfbox.pdmodel.PDPageNode.getMediaBox(),FreqExec,"org.apache.pdfbox.pdmodel.PDPageNode.getMediaBox(),org.apache.pdfbox.pdmodel.PDPageNode.findMediaBox()"
"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.NonSequentialPDFParser(InputStream, RandomAccess, String)",HotCallee,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.NonSequentialPDFParser(InputStream, RandomAccess, String),org.apache.pdfbox.pdfparser.NonSequentialPDFParser.createTmpFile(InputStream)"
"org.apache.pdfbox.util.operator.pagedrawer.FillEvenOddRule.process(PDFOperator, List<COSBase>)",FreqExec,"org.apache.pdfbox.util.operator.pagedrawer.FillEvenOddRule.process(PDFOperator, List<COSBase>),org.apache.pdfbox.util.PDFStreamEngine.processOperator(PDFOperator, List<COSBase>)"
org.apache.pdfbox.util.PDFStreamEngine.PDFStreamEngine(Properties),HotCallee,org.apache.pdfbox.util.PDFStreamEngine.PDFStreamEngine(Properties)
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),HotRecur,org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken()
org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),HotCallee,org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument)
org.apache.pdfbox.pdmodel.font.FontManager.isBold(java.awt.Font),FreqExec,"org.apache.pdfbox.pdmodel.font.FontManager.isBold(java.awt.Font),org.apache.pdfbox.pdmodel.font.FontManager.isBoldItalic(java.awt.Font),org.apache.pdfbox.pdmodel.font.FontManager.loadFonts()"
