method,pattern,space
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getRepositoryCacheRoot(),FreqExec,"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getRepositoryCacheRoot(); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyFileInCache(ModuleRevisionId); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getCachedDataFile(ModuleRevisionId)"
org.apache.ivy.osgi.obr.xml.Capability.Capability(String),FreqExec,org.apache.ivy.osgi.obr.xml.Capability.Capability(String); org.apache.ivy.osgi.obr.xml.OBRXMLParser$CapabilityHandler.handleAttributes(Attributes)
org.apache.ivy.osgi.util.VersionRange.toIvyRevision(),FreqExec,"org.apache.ivy.osgi.util.VersionRange.toIvyRevision(); org.apache.ivy.osgi.core.BundleInfoAdapter.asMrid(String, String, VersionRange)"
org.apache.ivy.plugins.repository.file.FileResource.getName(),FreqExec,"org.apache.ivy.plugins.repository.file.FileResource.getName(); org.apache.ivy.plugins.repository.TransferEvent.setResource(Resource); org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.file.FileResource.toString(); org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.plugins.resolver.BasicResolver$6.download(Artifact, Resource, File); org.apache.ivy.plugins.repository.ResourceHelper.equals(Resource, File); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions); org.apache.ivy.osgi.core.OSGiManifestParser.accept(Resource); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.accept(Resource)"
org.apache.ivy.osgi.updatesite.UpdateSiteLoader.load(URI),HotCallee,org.apache.ivy.osgi.updatesite.UpdateSiteLoader.load(URI); org.apache.ivy.osgi.updatesite.UpdateSiteLoader.loadP2(URI)
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler)",HotCallee,"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler); org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler, LexicalHandler)"
org.apache.ivy.ant.IvyAntVariableContainer.getVariable(String),FreqExec,"org.apache.ivy.ant.IvyAntVariableContainer.getVariable(String); org.apache.ivy.core.settings.IvySettings.getVariable(String); org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer, Stack); org.apache.ivy.ant.IvyAntSettings.defineDefaultSettingFile(IvyVariableContainer, ProjectComponent); org.apache.ivy.core.settings.XmlSettingsParser$IvyVariableContainerWrapper.getVariable(String)"
"org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)",HotCallee,"org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions); org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean)"
"org.apache.ivy.core.settings.IvySettings.classForName(String, boolean)",FreqExec,"org.apache.ivy.core.settings.IvySettings.classForName(String, boolean); org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)"
org.apache.ivy.core.settings.IvyVariableContainerImpl.getVariable(String),FreqExec,"org.apache.ivy.core.settings.IvyVariableContainerImpl.getVariable(String); org.apache.ivy.ant.IvyAntVariableContainer.getVariable(String); org.apache.ivy.core.settings.IvySettings.getVariable(String); org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer, Stack); org.apache.ivy.core.settings.XmlSettingsParser$IvyVariableContainerWrapper.getVariable(String)"
org.apache.ivy.osgi.repo.RepoDescriptor.addBundle(BundleInfo),HotCallee,org.apache.ivy.osgi.repo.RepoDescriptor.addBundle(BundleInfo)
org.apache.ivy.core.IvyContext.getCurrentStack(),FreqExec,org.apache.ivy.core.IvyContext.getCurrentStack(); org.apache.ivy.core.IvyContext.getContext(); org.apache.ivy.core.IvyContext.pushContext(IvyContext); org.apache.ivy.core.IvyContext.popContext()
"org.apache.ivy.core.resolve.ResolveEngine.downloadArtifacts(ResolveReport, Filter, DownloadOptions)",HotCallee,"org.apache.ivy.core.resolve.ResolveEngine.downloadArtifacts(ResolveReport, Filter, DownloadOptions)"
