class,path,package,methods
Main,src\example\dependence\dependee\src\standalone\Main.java,standalone,"getVersion,capitalizeWords,main,Main"
IvyCleanCache,src\java\org\apache\ivy\ant\IvyCleanCache.java,org.apache.ivy.ant,"getCache,setCache,isResolution,setResolution,doExecute"
IvySettings,src\java\org\apache\ivy\core\settings\IvySettings.java,org.apache.ivy.core.settings,"IvySettings,IvySettings,addSystemProperties,configureRepositories,typeDefs,typeDefs,typeDefs,typeDefs,load,load,defaultInit,loadDefault,loadDefault14,loadDefaultProperties,getDefaultPropertiesURL,getDefaultSettingsURL,getDefault14SettingsURL,getDefaultSettingsDir,getSettingsURL,setSettingsVariables,setDeprecatedVariable,setSettingsVariables,dumpSettings,loadProperties,loadProperties,loadProperties,loadProperties,loadProperties,setVariable,setVariable,addAllVariables,addAllVariables,substitute,substitute,getVariables,typeDef,typeDef,classForName,getClassLoader,addClasspathURL,getTypeDefs,getTypeDef,addConfigured,addConfigured,addConfigured,addSignatureGenerator,getSignatureGenerator,addResolver,setDefaultCache,setDefaultResolver,checkResolverName,addModuleConfiguration,resolveFile,setBaseDir,getBaseDir,getDefaultIvyUserDir,setDefaultIvyUserDir,getDefaultCache,setDefaultRepositoryCacheBasedir,setDefaultResolutionCacheBasedir,getDefaultRepositoryCacheBasedir,getDefaultResolutionCacheBasedir,setDictatorResolver,getResolver,hasResolver,getResolver,getDefaultResolver,getResolverName,getDefaultBranch,getDefaultBranch,setDefaultBranch,getConflictManager,getResolveMode,getDefaultResolveMode,setDefaultResolveMode,addConfigured,getConflictManager,addConflictManager,addConfigured,getLatestStrategy,addLatestStrategy,addConfigured,getLockStrategy,addLockStrategy,addConfigured,getNamespace,getSystemNamespace,addNamespace,addConfigured,getMatcher,addMatcher,addConfigured,getRepositoryCacheManager,addRepositoryCacheManager,getRepositoryCacheManagers,addConfigured,getReportOutputter,addReportOutputter,getReportOutputters,addConfigured,getVersionMatcher,addVersionMatcher,getVersionMatchers,getVersionMatcher,configureDefaultVersionMatcher,getCircularDependencyStrategy,getCircularDependencyStrategy,setCircularDependencyStrategy,addConfigured,addCircularDependencyStrategy,configureDefaultCircularDependencyStrategies,getStatusManager,setStatusManager,getIgnorableFilenames,filterIgnore,isCheckUpToDate,setCheckUpToDate,doValidate,setValidate,getVariable,getDefaultConflictManager,setDefaultConflictManager,getDefaultLatestStrategy,setDefaultLatestStrategy,getDefaultLockStrategy,setDefaultLockStrategy,getDefaultRepositoryCacheManager,setDefaultRepositoryCacheManager,getResolutionCacheManager,setResolutionCacheManager,addTrigger,getTriggers,addConfigured,isUseRemoteConfig,setUseRemoteConfig,logModulesInUse,logModuleWhenFound,logResolvedRevision,debugConflictResolution,debugLocking,dumpMemoryUsage,logNotConvertedExclusionRule,setLogNotConvertedExclusionRule,init,getInterruptTimeout,getResolvers,getResolverNames,getMatcherNames,getVariableContainer,setVariableContainer,getRelativeUrlResolver,setDefaultCacheIvyPattern,getDefaultCacheIvyPattern,setDefaultCacheArtifactPattern,getDefaultCacheArtifactPattern,setDefaultUseOrigin,isDefaultUseOrigin,useDeprecatedUseOrigin,validate,validateAll,getContextNamespace"
IvyTask,src\java\org\apache\ivy\ant\IvyTask.java,org.apache.ivy.ant,"doValidate,isValidate,setValidate,setSettingsRef,getSettingsRef,getSettings,getIvyInstance,setResolved,setResolved,getResolvedConfigurations,getResolvedDescriptor,getResolvedDescriptor,getResolvedDescriptor,getResolvedDescriptor,getReference,getResolvedReport,splitConfs,mergeConfs,getPubDate,getProperty,getProperty,getProperty,getProperty,prepareTask,finalizeTask,execute,doExecute,toString,cacheAttributeNotSupported"
Ivy,src\java\org\apache\ivy\Ivy.java,org.apache.ivy,"getIvyVersion,getIvyDate,getIvyHomeURL,newInstance,newInstance,Ivy,bind,execute,pushContext,popContext,configure,configure,configureDefault,configureDefault14,check,resolve,resolve,resolve,resolve,resolve,install,retrieve,retrieve,deliver,deliver,deliver,publish,sortNodes,sortModuleDescriptors,findModule,listModuleEntries,listModules,listModules,listModules,listOrganisationEntries,listOrganisations,listRevisionEntries,listRevisions,listTokenValues,interrupt,interrupt,isInterrupted,checkInterrupted,getWorkingRevision,getResolutionCacheManager,assertBound,postConfigure,getVariable,substitute,setVariable,getSettings,getEventManager,getCheckEngine,setCheckEngine,getDeliverEngine,setDeliverEngine,getInstallEngine,setInstallEngine,getPublishEngine,setPublishEngine,getResolveEngine,setResolveEngine,getRetrieveEngine,setRetrieveEngine,getSearchEngine,setSearchEngine,getSortEngine,setSortEngine,getRepositoryEngine,setRepositoryEngine,setEventManager,setSettings,getLoggerEngine"
IvyConfigure,src\java\org\apache\ivy\ant\IvyConfigure.java,org.apache.ivy.ant,"setSettingsId,getSettingsId,setOverride,getOverride,getFile,setFile,getUrl,setUrl,setUrl,getRealm,setRealm,getHost,setHost,getUserName,setUserName,getPasswd,setPasswd,execute,verbose"
IvyAntSettings,src\java\org\apache\ivy\ant\IvyAntSettings.java,org.apache.ivy.ant,"getDefaultInstance,getDefaultInstance,getFile,getUrl,getPasswd,setPasswd,getRealm,setRealm,getHost,setHost,getUsername,setUsername,setProject,format,addConfiguredCredentials,setFile,setUrl,setUrl,setId,getId,getConfiguredIvyInstance,getConfiguredIvyInstance,createIvyEngine,getDefaultProperties,defineDefaultSettingFile,configureURLHandler"
AntCallTrigger,src\java\org\apache\ivy\ant\AntCallTrigger.java,org.apache.ivy.ant,"progress,markTriggered,isTriggered,getTarget,setTarget,isOnlyonce,setOnlyonce,getPrefix,setPrefix"
IvyContext,src\java\org\apache\ivy\core\IvyContext.java,org.apache.ivy.core,"IvyContext,IvyContext,getContext,getCurrentStack,pushNewContext,pushNewCopyContext,pushContext,popContext,peekInContextStack,getIvy,peekIvy,getDefaultIvy,setIvy,getSettings,getCircularDependencyStrategy,get,set,peek,pop,pop,push,getOperatingThread,getMessageLogger,getEventManager,checkInterrupted,setResolveData,getResolveData,setDependencyDescriptor,getDependencyDescriptor"
IvyPatternHelper,src\java\org\apache\ivy\core\IvyPatternHelper.java,org.apache.ivy.core,"IvyPatternHelper,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substitute,substituteVariables,substituteVariables,substituteVariables,substituteTokens,substituteVariable,substituteVariable,substituteToken,substituteToken,getTokenString,substituteParams,substituteParams,getTokenRoot,getFirstToken"
