method,LOC,Cyclomatic,FanIn,FanOut,Loop
standalone.Main.getVersion(),13,3,2,8,0
standalone.Main.capitalizeWords(String),5,1,4,4,0
standalone.Main.main(String[]),5,1,1,2,0
standalone.Main.Main(),2,1,0,1,0
org.apache.ivy.ant.IvyCleanCache.getCache(),3,1,2,1,0
org.apache.ivy.ant.IvyCleanCache.setCache(String),3,1,4,1,0
org.apache.ivy.ant.IvyCleanCache.isResolution(),3,1,2,1,0
org.apache.ivy.ant.IvyCleanCache.setResolution(boolean),3,1,4,1,0
org.apache.ivy.ant.IvyCleanCache.doExecute(),19,6,3,10,1
org.apache.ivy.core.settings.IvySettings.IvySettings(),3,1,95,3,0
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),67,7,9,42,1
org.apache.ivy.core.settings.IvySettings.addSystemProperties(),9,2,2,5,0
org.apache.ivy.core.settings.IvySettings.configureRepositories(boolean),36,8,5,13,0
org.apache.ivy.core.settings.IvySettings.typeDefs(InputStream),3,1,1,1,0
"org.apache.ivy.core.settings.IvySettings.typeDefs(InputStream, boolean)",9,1,4,4,0
org.apache.ivy.core.settings.IvySettings.typeDefs(Properties),3,1,1,1,0
"org.apache.ivy.core.settings.IvySettings.typeDefs(Properties, boolean)",6,2,4,6,1
org.apache.ivy.core.settings.IvySettings.load(File),23,3,3,18,0
org.apache.ivy.core.settings.IvySettings.load(URL),16,2,5,14,0
org.apache.ivy.core.settings.IvySettings.defaultInit(),12,2,1,9,0
org.apache.ivy.core.settings.IvySettings.loadDefault(),3,1,1,2,0
org.apache.ivy.core.settings.IvySettings.loadDefault14(),3,1,1,2,0
org.apache.ivy.core.settings.IvySettings.loadDefaultProperties(),3,1,3,2,0
org.apache.ivy.core.settings.IvySettings.getDefaultPropertiesURL(),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.getDefaultSettingsURL(),3,1,3,2,0
org.apache.ivy.core.settings.IvySettings.getDefault14SettingsURL(),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.getDefaultSettingsDir(),5,1,1,5,0
org.apache.ivy.core.settings.IvySettings.getSettingsURL(String),3,1,6,2,0
org.apache.ivy.core.settings.IvySettings.setSettingsVariables(File),15,2,4,10,0
"org.apache.ivy.core.settings.IvySettings.setDeprecatedVariable(String, String)",3,1,5,2,0
org.apache.ivy.core.settings.IvySettings.setSettingsVariables(URL),13,2,3,6,0
org.apache.ivy.core.settings.IvySettings.dumpSettings(),22,4,6,20,2
org.apache.ivy.core.settings.IvySettings.loadProperties(URL),3,1,1,1,0
"org.apache.ivy.core.settings.IvySettings.loadProperties(URL, boolean)",3,1,5,2,0
org.apache.ivy.core.settings.IvySettings.loadProperties(File),3,1,1,1,0
"org.apache.ivy.core.settings.IvySettings.loadProperties(File, boolean)",3,1,3,2,0
"org.apache.ivy.core.settings.IvySettings.loadProperties(InputStream, boolean)",14,3,4,4,0
"org.apache.ivy.core.settings.IvySettings.setVariable(String, String)",3,1,21,1,0
"org.apache.ivy.core.settings.IvySettings.setVariable(String, String, boolean)",3,1,24,1,0
org.apache.ivy.core.settings.IvySettings.addAllVariables(Map),3,1,3,1,0
"org.apache.ivy.core.settings.IvySettings.addAllVariables(Map, boolean)",7,2,5,6,1
org.apache.ivy.core.settings.IvySettings.substitute(String),3,1,12,2,0
org.apache.ivy.core.settings.IvySettings.substitute(Map),8,2,1,10,1
org.apache.ivy.core.settings.IvySettings.getVariables(),3,1,8,1,0
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String)",3,1,3,2,0
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)",7,2,6,3,0
"org.apache.ivy.core.settings.IvySettings.classForName(String, boolean)",14,3,4,6,0
org.apache.ivy.core.settings.IvySettings.getClassLoader(),11,3,3,7,0
org.apache.ivy.core.settings.IvySettings.addClasspathURL(URL),4,1,3,2,0
org.apache.ivy.core.settings.IvySettings.getTypeDefs(),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.getTypeDef(String),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.addConfigured(DependencyResolver),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.addConfigured(ModuleDescriptorParser),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.addConfigured(SignatureGenerator),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.addSignatureGenerator(SignatureGenerator),4,1,3,3,0
org.apache.ivy.core.settings.IvySettings.getSignatureGenerator(String),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.addResolver(DependencyResolver),23,7,17,10,1
org.apache.ivy.core.settings.IvySettings.setDefaultCache(File),11,3,42,6,0
org.apache.ivy.core.settings.IvySettings.setDefaultResolver(String),7,2,15,4,0
org.apache.ivy.core.settings.IvySettings.checkResolverName(String),6,2,4,2,0
"org.apache.ivy.core.settings.IvySettings.addModuleConfiguration(Map, PatternMatcher, String, String, String, String)",7,1,10,4,0
org.apache.ivy.core.settings.IvySettings.resolveFile(String),3,1,3,2,0
org.apache.ivy.core.settings.IvySettings.setBaseDir(File),5,1,5,5,0
org.apache.ivy.core.settings.IvySettings.getBaseDir(),3,1,33,1,0
org.apache.ivy.core.settings.IvySettings.getDefaultIvyUserDir(),13,3,6,7,0
org.apache.ivy.core.settings.IvySettings.setDefaultIvyUserDir(File),5,1,6,3,0
org.apache.ivy.core.settings.IvySettings.getDefaultCache(),12,3,14,8,0
org.apache.ivy.core.settings.IvySettings.setDefaultRepositoryCacheBasedir(String),9,2,4,5,0
org.apache.ivy.core.settings.IvySettings.setDefaultResolutionCacheBasedir(String),8,2,4,3,0
org.apache.ivy.core.settings.IvySettings.getDefaultRepositoryCacheBasedir(),8,2,4,4,0
org.apache.ivy.core.settings.IvySettings.getDefaultResolutionCacheBasedir(),8,2,3,4,0
org.apache.ivy.core.settings.IvySettings.setDictatorResolver(DependencyResolver),3,1,7,1,0
org.apache.ivy.core.settings.IvySettings.getResolver(ModuleRevisionId),7,2,6,3,0
org.apache.ivy.core.settings.IvySettings.hasResolver(String),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.getResolver(String),10,3,45,3,0
org.apache.ivy.core.settings.IvySettings.getDefaultResolver(),9,3,19,3,0
org.apache.ivy.core.settings.IvySettings.getResolverName(ModuleRevisionId),8,2,4,3,0
org.apache.ivy.core.settings.IvySettings.getDefaultBranch(ModuleId),8,2,7,4,0
org.apache.ivy.core.settings.IvySettings.getDefaultBranch(),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.setDefaultBranch(String),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.getConflictManager(ModuleId),18,3,3,6,0
org.apache.ivy.core.settings.IvySettings.getResolveMode(ModuleId),8,2,4,4,0
org.apache.ivy.core.settings.IvySettings.getDefaultResolveMode(),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.setDefaultResolveMode(String),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.addConfigured(ConflictManager),3,1,2,2,0
org.apache.ivy.core.settings.IvySettings.getConflictManager(String),6,2,7,4,0
"org.apache.ivy.core.settings.IvySettings.addConflictManager(String, ConflictManager)",4,1,5,2,0
org.apache.ivy.core.settings.IvySettings.addConfigured(LatestStrategy),3,1,1,2,0
org.apache.ivy.core.settings.IvySettings.getLatestStrategy(String),6,2,8,4,0
"org.apache.ivy.core.settings.IvySettings.addLatestStrategy(String, LatestStrategy)",4,1,5,2,0
org.apache.ivy.core.settings.IvySettings.addConfigured(LockStrategy),3,1,1,2,0
org.apache.ivy.core.settings.IvySettings.getLockStrategy(String),6,2,5,4,0
"org.apache.ivy.core.settings.IvySettings.addLockStrategy(String, LockStrategy)",4,1,5,2,0
org.apache.ivy.core.settings.IvySettings.addConfigured(Namespace),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.getNamespace(String),6,2,2,4,0
org.apache.ivy.core.settings.IvySettings.getSystemNamespace(),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.addNamespace(Namespace),4,1,3,3,0
org.apache.ivy.core.settings.IvySettings.addConfigured(PatternMatcher),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.getMatcher(String),3,1,15,2,0
org.apache.ivy.core.settings.IvySettings.addMatcher(PatternMatcher),4,1,4,3,0
org.apache.ivy.core.settings.IvySettings.addConfigured(RepositoryCacheManager),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.getRepositoryCacheManager(String),3,1,7,2,0
org.apache.ivy.core.settings.IvySettings.addRepositoryCacheManager(RepositoryCacheManager),4,1,4,3,0
org.apache.ivy.core.settings.IvySettings.getRepositoryCacheManagers(),4,1,5,4,0
org.apache.ivy.core.settings.IvySettings.addConfigured(ReportOutputter),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.getReportOutputter(String),3,1,3,2,0
org.apache.ivy.core.settings.IvySettings.addReportOutputter(ReportOutputter),4,1,4,3,0
org.apache.ivy.core.settings.IvySettings.getReportOutputters(),4,1,1,4,0
org.apache.ivy.core.settings.IvySettings.addConfigured(VersionMatcher),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.getVersionMatcher(String),3,1,4,2,0
org.apache.ivy.core.settings.IvySettings.addVersionMatcher(VersionMatcher),12,3,5,7,0
org.apache.ivy.core.settings.IvySettings.getVersionMatchers(),4,1,1,4,0
org.apache.ivy.core.settings.IvySettings.getVersionMatcher(),6,2,12,2,0
org.apache.ivy.core.settings.IvySettings.configureDefaultVersionMatcher(),5,1,2,4,0
org.apache.ivy.core.settings.IvySettings.getCircularDependencyStrategy(),6,2,3,3,0
org.apache.ivy.core.settings.IvySettings.getCircularDependencyStrategy(String),6,2,4,3,0
org.apache.ivy.core.settings.IvySettings.setCircularDependencyStrategy(CircularDependencyStrategy),3,1,6,1,0
org.apache.ivy.core.settings.IvySettings.addConfigured(CircularDependencyStrategy),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.addCircularDependencyStrategy(CircularDependencyStrategy),3,1,4,2,0
org.apache.ivy.core.settings.IvySettings.configureDefaultCircularDependencyStrategies(),5,1,1,4,0
org.apache.ivy.core.settings.IvySettings.getStatusManager(),6,2,3,3,0
org.apache.ivy.core.settings.IvySettings.setStatusManager(StatusManager),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.getIgnorableFilenames(),3,1,1,3,0
org.apache.ivy.core.settings.IvySettings.filterIgnore(Collection),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.isCheckUpToDate(),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.setCheckUpToDate(boolean),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.doValidate(),3,1,5,1,0
org.apache.ivy.core.settings.IvySettings.setValidate(boolean),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.getVariable(String),3,1,24,2,0
org.apache.ivy.core.settings.IvySettings.getDefaultConflictManager(),7,2,6,5,0
org.apache.ivy.core.settings.IvySettings.setDefaultConflictManager(ConflictManager),3,1,4,1,0
org.apache.ivy.core.settings.IvySettings.getDefaultLatestStrategy(),6,2,5,3,0
org.apache.ivy.core.settings.IvySettings.setDefaultLatestStrategy(LatestStrategy),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.getDefaultLockStrategy(),6,2,4,3,0
org.apache.ivy.core.settings.IvySettings.setDefaultLockStrategy(LockStrategy),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.getDefaultRepositoryCacheManager(),9,2,11,5,0
org.apache.ivy.core.settings.IvySettings.setDefaultRepositoryCacheManager(RepositoryCacheManager),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.getResolutionCacheManager(),8,2,4,5,0
org.apache.ivy.core.settings.IvySettings.setResolutionCacheManager(ResolutionCacheManager),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.addTrigger(Trigger),4,1,3,2,0
org.apache.ivy.core.settings.IvySettings.getTriggers(),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.addConfigured(Trigger),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.isUseRemoteConfig(),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.setUseRemoteConfig(boolean),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.logModulesInUse(),4,1,1,4,0
org.apache.ivy.core.settings.IvySettings.logModuleWhenFound(),4,1,0,4,0
org.apache.ivy.core.settings.IvySettings.logResolvedRevision(),4,1,0,4,0
org.apache.ivy.core.settings.IvySettings.debugConflictResolution(),8,2,2,6,0
org.apache.ivy.core.settings.IvySettings.debugLocking(),8,2,2,6,0
org.apache.ivy.core.settings.IvySettings.dumpMemoryUsage(),8,2,1,6,0
org.apache.ivy.core.settings.IvySettings.logNotConvertedExclusionRule(),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.setLogNotConvertedExclusionRule(boolean),3,1,1,1,0
org.apache.ivy.core.settings.IvySettings.init(Object),7,3,13,2,0
org.apache.ivy.core.settings.IvySettings.getInterruptTimeout(),3,1,2,1,0
org.apache.ivy.core.settings.IvySettings.getResolvers(),3,1,11,2,0
org.apache.ivy.core.settings.IvySettings.getResolverNames(),3,1,1,2,0
org.apache.ivy.core.settings.IvySettings.getMatcherNames(),3,1,1,2,0
org.apache.ivy.core.settings.IvySettings.getVariableContainer(),3,1,4,1,0
org.apache.ivy.core.settings.IvySettings.setVariableContainer(IvyVariableContainer),3,1,3,1,0
org.apache.ivy.core.settings.IvySettings.getRelativeUrlResolver(),3,1,0,1,0
org.apache.ivy.core.settings.IvySettings.setDefaultCacheIvyPattern(String),4,1,3,2,0
org.apache.ivy.core.settings.IvySettings.getDefaultCacheIvyPattern(),3,1,4,1,0
