method,Time,Count
org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtilsTest.testBearerTokenCertAndSecretKey(),1502,2
org.apache.cxf.test.AbstractCXFTest.setUpBus(),1490,56
org.apache.cxf.tools.corba.processors.idl.ModuleVisitor.visit(AST),1482,176
org.apache.cxf.bus.spring.SpringBeanLocator.getBeansOfType(Class),1472,74
org.apache.cxf.bus.managers.CXFBusLifeCycleManager.initComplete(),1460,26
org.apache.cxf.jaxws.WrapperClassGenerator.generate(),1426,210
org.apache.cxf.tools.validator.internal.Stax2DOM.getDocument(String),1414,64
"org.apache.cxf.jaxws.WrapperClassGenerator.createWrapperClass(MessagePartInfo, MessageInfo, OperationInfo, Method, boolean)",1408,348
org.apache.cxf.transport.http_jetty.JettyHTTPDestinationTest.testMultiplexGetAddressWithId(),1392,2
"org.apache.ws.commons.schema.XmlSchemaSerializer.serializeSchemaElement(XmlSchema, boolean)",1376,132
org.apache.cxf.tools.validator.internal.Stax2DOM.getDocument(URL),1366,66
"org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.traverseComplexTypeDecl(Element, String, Object[], XSDocumentInfo,",1358,5210
"org.apache.cxf.jaxrs.provider.aegis.AegisJSONProvider.writeTo(Object, Class, Type, Annotation[], MediaType, MultivaluedMap, OutputStream)",1350,24
org.apache.cxf.tools.corba.processors.idl.PortTypeVisitor.visitInterface(AST),1348,186
java.lang.Throwable.printStackTrace(PrintStream),1336,268
javax.xml.parsers.DocumentBuilderFactory.newInstance(),1332,422
"org.apache.cxf.jaxrs.provider.json.JSONProvider.writeTo(Object, Class, Type, Annotation[], MediaType, MultivaluedMap, OutputStream)",1320,114
org.apache.cxf.rs.security.oauth2.jws.JwsCompactProducer.signWith(JwsSignatureProvider),1318,8
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineTest.testJmxSupport(),1304,2
org.apache.cxf.rs.security.oauth2.jws.JwsCompactReaderWriterTest.testWriteReadJwsSignedByPrivateKey(),1302,2
"org.apache.cxf.common.injection.ResourceInjector.invokeSetter(Method, Object)",1292,44
org.apache.cxf.wsdl11.WSDLManagerImpl.setBus(Bus),1290,44
"org.apache.cxf.staxutils.StaxUtils.copy(Source, XMLStreamWriter)",1288,210
org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.setUpMessage(MAPAggregatorTest$SetupMessageArgs),1286,56
org.apache.cxf.test.XPathAssertTest.testAssert(),1268,2
"javax.crypto.Cipher.doFinal(byte[], int, int)",1258,2
org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.setUserResources(List),1252,6
org.apache.cxf.management.jmx.InstrumentationManagerImpl.init(),1250,36
org.eclipse.jetty.server.handler.HandlerCollection.addHandler(Handler),1246,24
"org.apache.cxf.staxutils.StaxUtils.copy(XMLStreamReader, XMLStreamWriter, boolean, boolean)",1232,210
org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaBinding.generateCORBABinding(Definition),1228,84
"org.apache.cxf.jaxrs.provider.AbstractJAXBProvider.getJAXBContext(Class, Type)",1222,158
org.apache.cxf.common.injection.ResourceInjector.construct(Object),1212,90
org.apache.cxf.common.injection.ResourceInjector.invokePostConstruct(),1210,38
"org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.traverseLocal(Element, XSDocumentInfo,",1202,3566
"org.apache.cxf.wsdl.JAXBExtensionHelper.addExtensions(ExtensionRegistry, Class, Class)",1198,272
"org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaBinding.generateCORBABinding(Definition, PortType)",1198,84
java.util.UUID.randomUUID(),1196,68
"java.security.MessageDigest.update(byte[], int, int)",1184,762
"org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.traverseAttrsAndAttrGrps(Element, XSAttributeGroupDecl, XSDocumentInfo, SchemaGrammar,",1182,4482
org.apache.cxf.management.web.logging.ReadOnlyFileStorageTest.testReadRecordsWithMultipleFiles2(),1174,2
java.lang.Class.getMethods(),1170,4730
org.springframework.core.io.ClassPathResource.getInputStream(),1170,494
"org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.validate(String, ValidationContext,",1170,58064
"org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.setUpMessage(boolean, boolean, boolean, boolean, boolean, boolean, boolean)",1168,48
"org.apache.cxf.jaxrs.utils.ResourceUtils.createOperationInfo(Method, Method, ClassResourceInfo, Path, String)",1164,1184
"org.apache.cxf.staxutils.StaxUtils.readDocElements(Document, Node, XMLStreamReader, boolean, boolean)",1160,122
"org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.processComplexContent(Element, boolean, boolean, XSDocumentInfo,",1156,5210
"org.apache.cxf.resource.DefaultResourceManager.findResource(String, Class, boolean, List)",1146,384
org.apache.cxf.service.ServiceModelVisitor.walk(),1138,250
"org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.getActualValue(Object, ValidationContext, ValidatedInfo,",1126,60944
com.ctc.wstx.stax.WstxInputFactory.createXMLStreamReader(Source),1116,98
"org.apache.cxf.wsdl11.SchemaUtil.getSchemas(Definition, SchemaCollection, ServiceInfo)",1112,88
"org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser.traverseLocal(Element, XSDocumentInfo, SchemaGrammar,",1112,12628
"org.apache.xerces.impl.xs.opti.SchemaDOM.startAnnotation(QName, XMLAttributes,",1110,19028
org.apache.cxf.binding.coloc.ColocMessageObserverTest.setUp(),1106,4
"org.apache.xerces.impl.xs.opti.SchemaDOM.startAnnotation(String, XMLAttributes,",1104,19028
org.apache.cxf.tools.common.AbstractCXFToolContainer.hasInfoOption(),1102,72
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngine.stop(),1080,24
org.apache.cxf.aegis.type.XMLTypeCreator.createDefaultType(TypeClassInfo),1074,70
"org.apache.cxf.common.util.ReflectionInvokationHandler.getParameterTypes(Method, Object[])",1074,4886
org.eclipse.jetty.util.component.AbstractLifeCycle.stop(),1072,166
org.apache.cxf.tools.common.AbstractCXFToolContainer.execute(boolean),1068,36
org.apache.cxf.aegis.type.java5.Java5TypeCreator.createDefaultType(TypeClassInfo),1060,70
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleResource(StringBuilder, Set, ElementQNameResolver, Map, ClassResourceInfo, Set, boolean)",1050,62
"org.apache.cxf.tools.validator.internal.WSDLRefValidator.<init>(Definition, Document, Bus)",1046,50
"org.apache.cxf.jaxrs.model.wadl.WadlGeneratorTest.mockMessage(String, String, String, List)",1016,20
org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.getBus(),1008,72
"org.apache.cxf.jaxrs.provider.atom.AbstractAtomProvider.readFrom(Class, Type, Annotation[], MediaType, MultivaluedMap, InputStream)",1004,16
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleOperation(StringBuilder, Set, ElementQNameResolver, Map, OperationResourceInfo, Map, OperationResourceInfo, boolean, boolean, int)",1004,286
org.easymock.EasyMock.createMock(Class),1002,380
"org.apache.cxf.aegis.type.basic.BeanTypeInfo.<init>(Class, String)",978,70
org.apache.cxf.aegis.AegisContext.processRootTypes(),978,44
org.apache.cxf.aegis.type.basic.BeanTypeInfo.initializeProperties(),976,70
"org.apache.cxf.jaxrs.provider.aegis.AegisJSONProviderTest.writeCollection(boolean, boolean, String, boolean, boolean)",964,16
com.ctc.wstx.stax.WstxInputFactory.createXMLStreamReader(InputStream),950,48
java.util.HashMap.get(Object),928,642720
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineTest.testJettyHTTPHandler(),928,2
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineFactory.destroyForPort(int),906,28
"org.apache.cxf.jaxrs.model.OperationResourceInfo.<init>(Method, Method, ClassResourceInfo)",900,1310
org.apache.cxf.transport.http.HTTPConduitTest.testAuthPolicyPrecedence(),866,2
"org.apache.cxf.management.web.logging.ReadOnlyFileStorage.createRecord(Map, ReadOnlyFileStorage$FileInfo)",842,1238
"org.apache.cxf.jaxrs.utils.JAXRSUtils.processParameters(OperationResourceInfo, MultivaluedMap, Message)",832,100
"org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.setUpUsingAddressing(Message, Exchange, boolean)",828,28
org.apache.cxf.transport.http.CXFAuthenticatorCleanupTest.runCleanupTestWeakRef(),828,2
"org.apache.xerces.jaxp.DocumentBuilderImpl.<init>(DocumentBuilderFactoryImpl, Hashtable, Hashtable,",822,106
"org.apache.cxf.js.rhino.ProviderFactory.publishImpl(File, String, boolean)",812,14
org.apache.cxf.wsdl11.WSDLManagerImpl.<init>(Bus),810,36
"org.apache.cxf.wsdl.JAXBExtensionHelper.unmarshall(Class, QName, Element, Definition, ExtensionRegistry)",798,32
"org.apache.cxf.transport.http_jetty.JettyHTTPDestinationTest.setUpDoService(boolean, boolean, boolean, String, String, int)",790,18
org.apache.cxf.jaxrs.provider.ServerProviderFactory.initBaseFactory(Bus),784,496
org.apache.cxf.tools.common.ProcessorTestBase$1.before(),770,18
"org.apache.cxf.common.util.ProxyHelper.getProxy(ClassLoader, Class[], InvocationHandler)",768,52
"org.apache.cxf.common.util.CglibProxyHelper.getProxyInternal(ClassLoader, Class[], InvocationHandler)",768,52
org.apache.cxf.tools.validator.internal.WSDLRefValidator.processSchemas(Bus),764,50
"org.apache.xerces.parsers.DOMParser.<init>(SymbolTable,",762,106
"org.apache.cxf.tools.util.ToolsStaxUtils.getTagTree(InputStream, List, Map)",762,6
org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineTest.testGetContextHandler(),758,2
org.junit.rules.TemporaryFolder.before(),746,18
org.apache.cxf.tools.wsdlto.frontend.jaxws.customization.CustomizationParserTest.getDocumentElement(String),746,24
org.apache.cxf.tools.validator.internal.WSDLRefValidator.getSchemas(Bus),738,46
java.lang.Class.getDeclaredMethods(),734,2898
org.apache.cxf.rs.security.oauth2.jwe.JweCompactReaderWriterTest.testEncryptDecryptSpecExample(),732,2
"org.apache.cxf.resource.URIResolver.tryFileSystem(String, String)",726,150
"org.apache.cxf.resource.ExtendedURIResolver.resolve(String, String)",726,150
org.apache.cxf.jaxrs.model.URITemplate.<init>(String),724,2452
"org.apache.xerces.parsers.ObjectFactory.createObject(String, String,",716,106
"org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtils.unwrapKey(byte[], String, Key, KeyProperties, int)",716,2
"javax.crypto.Cipher.unwrap(byte[], String, int)",714,2
net.sf.ehcache.config.ConfigurationFactory.parseConfiguration(URL),708,4
org.apache.cxf.binding.corba.wsdl.WSDLExtensionRegister.registerCXFExtensors(WSDLManager),700,22
org.apache.abdera.i18n.iri.IRI.preinit(),684,20
"org.apache.ws.commons.schema.SchemaBuilder.handleElement(XmlSchema, Element, Element, boolean)",672,2450
org.apache.cxf.management.web.logging.ReadOnlyFileStorageTest.testReadRecordsWithMultipleFiles(),666,2
"org.apache.cxf.test.XPathAssert.assertValid(String, Node, Map)",660,40
java.lang.StringBuilder.toString(),644,819592
org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage),644,52
"org.apache.wss4j.common.saml.OpenSAMLUtil.toDom(XMLObject, Document, boolean)",636,26
"org.apache.cxf.jaxrs.provider.AbstractJAXBProvider.getPackageContext(Class, Type)",588,178
org.apache.cxf.transport.http.DestinationRegistryImplTest.setUpDestinations(),586,4
java.security.cert.CertificateFactory.generateCertificate(InputStream),582,40
"org.apache.neethi.AssertionBuilderFactoryImpl.invokeBuilder(Object, AssertionBuilder)",562,282
"org.apache.cxf.ws.addressing.impl.MAPAggregatorImpl.mediate(Message, boolean)",562,58
org.apache.cxf.jaxrs.provider.AbstractJAXBProvider.objectFactoryOrIndexAvailable(Class),558,202
java.util.regex.Matcher.matches(),554,7636
org.apache.cxf.staxutils.StaxUtils.read(InputStream),548,36
org.apache.cxf.wsdl11.WSDLServiceBuilderTest.buildService(QName),540,36
"org.apache.ws.commons.schema.XmlSchema.serializeInternal(Writer, Map)",538,12
"org.apache.cxf.binding.xml.wsdl11.XMLWSDLExtensionLoader.createExtensor(WSDLManager, Class, Class)",528,42
org.apache.wss4j.common.saml.SamlAssertionWrapper.parseCallback(SAMLCallback),528,8
java.lang.reflect.AccessibleObject.getAnnotations(),528,11972
org.apache.cxf.binding.soap.MustUnderstandInterceptorTest.prepareSoapMessage(String),522,8
org.apache.cxf.bus.extension.ExtensionManagerImpl.initialize(),510,72
"org.terracotta.statistics.StatisticsManager.createOperationStatistic(Object, String, Set, Map, Class)",510,60
org.opensaml.xml.XMLConfigurator.validateConfiguration(Document),506,66
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.writeParam(StringBuilder, Parameter, OperationResourceInfo, boolean)",492,476
"org.apache.xerces.parsers.XIncludeAwareParserConfiguration.<init>(SymbolTable, XMLGrammarPool,",488,106
"java.lang.Class.forName(String, boolean, ClassLoader)",474,852
"org.apache.cxf.transport.http.HTTPConduitURLEasyMockTest.setUpConduit(boolean, boolean, String)",460,18
org.apache.cxf.ws.policy.attachment.external.URIDomainExpressionTest.mockInfoObjects(),460,14
"org.apache.xerces.parsers.XML11Configuration.<init>(SymbolTable, XMLGrammarPool,",458,106
"org.apache.neethi.builders.converters.ConverterRegistry.convert(Object, Class)",458,282
org.apache.neethi.builders.converters.StaxToDOMConverter.convert(XMLStreamReader),456,150
org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean.createEndpoint(),448,96
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.createEndpoints(),446,12
"org.apache.cxf.jaxrs.client.JAXRSClientFactoryBean.initClient(AbstractClient, Endpoint, boolean)",440,96
org.apache.cxf.jaxrs.utils.AnnotationUtils.doGetAnnotatedMethod(Method),434,3478
org.apache.cxf.jaxrs.utils.AnnotationUtils.getAnnotatedMethod(Method),434,3344
org.apache.cxf.xkms.service.XKMSService.register(RegisterRequestType),432,8
"org.apache.cxf.jaxws.support.JaxWsEndpointImpl.<init>(Bus, Service, EndpointInfo, JaxWsImplementorInfo, List, List, boolean)",432,12
"org.terracotta.context.ContextManager.associate(Object, Object)",430,74
"org.apache.cxf.rs.security.oauth2.jwe.JweCompactReaderWriterTest.encryptContent(String, boolean)",426,4
org.terracotta.context.ContextManager.getOrCreateTreeNode(Object),424,150
"org.apache.cxf.ws.rm.soap.RMSoapInInterceptor.decodeHeaders(SoapMessage, List, RMProperties)",418,8
org.apache.cxf.binding.soap.MustUnderstandInterceptorTest.setUp(),418,8
java.lang.Class.getAnnotation(Class),402,21682
org.apache.cxf.jaxrs.utils.ResourceUtils.getParameters(Method),402,1304
javax.xml.validation.Validator.validate(Source),394,66
org.apache.cxf.rs.security.oauth2.grants.TokenGrantHandlerTest.testSimpleGrantSupported(),394,2
org.apache.cxf.ws.rm.persistence.RMMessageTest.testContentCachedOutputStream(),392,4
org.apache.cxf.configuration.spring.AbstractBeanDefinitionParser.getContext(Class),392,12
org.apache.cxf.tools.common.dom.ExtendedDocumentBuilder.getParser(),388,62
"org.apache.cxf.jaxrs.utils.ResourceUtils.getResourceURL(String, Bus)",388,64
java.lang.StringBuilder.append(char),388,511746
org.apache.cxf.helpers.DOMUtils.createDocument(),388,20
org.apache.cxf.binding.corba.runtime.CorbaObjectReaderTest.setUp(),384,42
"org.apache.cxf.transport.http_jetty.spring.JettyHTTPServerEngineFactoryBeanDefinitionParser.doParse(Element, ParserContext, BeanDefinitionBuilder)",382,4
java.io.ObjectInputStream.<clinit>(),378,4
"javax.net.ssl.SSLContext.init(KeyManager[], TrustManager[], SecureRandom)",376,2
org.apache.cxf.jaxrs.client.ClientProviderFactory.createInstance(Bus),374,98
"org.apache.cxf.ws.policy.PolicyInterceptorsTest.doTestBasics(Interceptor, boolean, boolean)",374,24
javax.xml.validation.SchemaFactory.newInstance(String),370,54
org.apache.cxf.jaxrs.client.ClientProviderFactory.initBaseFactory(Bus),368,98
"org.apache.cxf.tools.wsdlto.frontend.jaxws.customization.CustomizationParser.internalizeBinding(Element, Element, String)",368,68
org.apache.cxf.jaxrs.model.URITemplate.createTemplate(Path),360,958
org.apache.cxf.jaxrs.model.URITemplate.createTemplate(String),358,966
org.apache.cxf.ws.rm.policy.PolicyUtilsTest.testRMAssertionEquals(),352,2
org.apache.cxf.jaxrs.provider.ServerProviderFactory.setProviders(Object[]),346,130
"org.apache.cxf.jaxrs.impl.UriBuilderImpl.doBuild(boolean, boolean, Object[])",346,438
"java.security.KeyStore.load(InputStream, char[])",336,10
org.terracotta.context.extractor.ObjectContextExtractor.extract(Object),334,80
java.lang.reflect.Method.getDeclaredAnnotations(),328,5560
com.sun.org.apache.xerces.internal.jaxp.SAXParserFactoryImpl.newSAXParser(),318,22
org.apache.cxf.helpers.DOMUtils.getDocumentBuilder(),316,20
"org.apache.cxf.tools.wsdlto.frontend.jaxws.customization.CustomNodeSelector.queryNodes(Node, String)",316,28
org.apache.cxf.jaxrs.SelectMethodCandidatesTest.createMessage(boolean),316,84
org.apache.cxf.transport.http.CXFAuthenticator.addAuthenticator(),312,114
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleParameter(StringBuilder, Set, ElementQNameResolver, Map, OperationResourceInfo, Parameter, boolean)",312,492
"org.apache.cxf.rs.security.oauth2.jwe.AbstractJweEncryption.encrypt(byte[], String)",306,6
org.apache.cxf.bus.extension.ExtensionManagerImpl.load(String),304,32
"org.apache.cxf.transport.http.HTTPConduitURLEasyMockTest.verifySentMessage(HTTPConduit, Message, boolean, HTTPConduitURLEasyMockTest$ResponseStyle, HTTPConduitURLEasyMockTest$ResponseDelimiter, boolean, String)",304,18
org.apache.cxf.binding.coloc.ColocMessageObserverTest.testObserverOnMessage(),302,2
javax.xml.bind.JAXBException.printStackTrace(PrintWriter),302,160
"org.apache.cxf.js.rhino.ProviderFactory.compileScript(Context, String, Scriptable, File)",302,12
"org.apache.cxf.jaxrs.utils.JAXRSUtils.findTargetMethod(Map, Message, String, MultivaluedMap, String, List, boolean)",300,142
org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.setResourceClass(Class),294,34
"org.apache.cxf.ws.policy.PolicyInterceptorsTest.setupMessage(boolean, boolean, boolean, boolean, Boolean, Boolean)",290,122
java.lang.reflect.Method.getAnnotation(Class),288,33756
"org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.createResourceInfo(Class, boolean)",288,30
"org.apache.cxf.ws.addressing.impl.MAPAggregatorImpl.aggregate(Message, boolean)",286,36
org.apache.cxf.jaxrs.provider.AbstractJAXBProvider.handleExceptionStart(Exception),286,144
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleFormRepresentation(StringBuilder, Set, ElementQNameResolver, Map, OperationResourceInfo, Class, boolean)",286,112
org.apache.cxf.js.rhino.AbstractDOMProviderTest.testIllegalInvoke(),286,2
org.apache.cxf.xkms.service.CheckXKRSS.createXKMSService(boolean),284,14
"org.apache.cxf.jaxrs.impl.UriBuilderImpl.doBuildUriParts(boolean, boolean, boolean, Object[])",280,434
org.apache.cxf.jaxrs.provider.AbstractJAXBProvider.getStackTrace(Exception),280,144
"org.apache.cxf.xkms.service.XKMSResponseFactory.createResponse(RequestAbstractType, ResultType)",280,16
org.apache.cxf.service.model.ServiceInfo.<init>(),276,40
org.apache.cxf.xkms.service.XKMSResponseFactory.generateUniqueID(),276,14
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.findContextSetterMethods(Class, Object)",276,1216
org.apache.cxf.jaxrs.client.ClientProviderFactory.setProviders(Object[]),276,100
org.mozilla.javascript.ContextFactory.enterContext(),274,12
org.apache.cxf.ws.rm.policy.RMPolicyUtilities.<clinit>(),272,4
org.apache.cxf.staxutils.StaxUtils.<clinit>(),272,4
"java.lang.String.<init>(char[], int, int)",272,540850
org.apache.cxf.ws.addressing.impl.ContextUtilsTest.testGetActionFromMessage(),266,2
org.apache.cxf.transport.http.HTTPWSDLExtensionLoader.<init>(Bus),266,24
"org.apache.cxf.ws.addressing.soap.MAPCodecTest.setUpMessage(boolean, boolean, boolean, boolean, Boolean, String)",258,34
org.apache.cxf.binding.corba.runtime.CorbaObjectWriterTest.setUp(),256,36
org.apache.cxf.staxutils.StaxUtils.createXMLStreamReader(InputStream),256,36
org.apache.cxf.binding.coloc.ColocMessageObserverTest.testSetExchangeProperties(),248,2
org.apache.cxf.rs.security.oauth2.utils.OAuthUtils.generateRandomTokenKey(String),248,16
"org.apache.cxf.rs.security.oauth2.tokens.bearer.BearerAccessToken.<init>(Client, long)",246,12
org.apache.cxf.xkms.x509.handlers.X509LocatorTest.getAliceCert(),246,2
org.apache.cxf.xkms.x509.repo.ldap.LDAPCertificateRepoTest.getTestCert(),246,4
"org.apache.cxf.rs.security.oauth2.grants.AbstractGrantHandler.doCreateAccessToken(Client, UserSubject, String, List, String)",244,4
org.apache.cxf.tools.wsdlto.frontend.jaxws.customization.CustomizationParser.parse(ToolContext),238,6
"org.apache.cxf.jaxrs.SelectMethodCandidatesTest.doTestProducesResource(Class, String, String, String, String)",224,36
org.apache.cxf.ws.addressing.impl.MAPAggregatorImpl.assembleGeneric(Message),224,36
org.apache.cxf.io.CachedOutputStream.createFileOutputStream(),218,4
com.sun.org.apache.xerces.internal.jaxp.validation.XMLSchemaFactory.newSchema(Source[]),216,16
org.apache.cxf.binding.soap.interceptor.SoapFaultSerializerTest.testCXF4181(),216,2
"org.apache.cxf.jca.core.classloader.PlugInClassLoader.getProperties(ClassLoader, String)",212,60
java.io.ByteArrayOutputStream.write(int),212,494428
"org.apache.cxf.helpers.FileUtils.createTempFile(String, String, File, boolean)",206,4
org.apache.cxf.xkms.x509.handlers.X509LocatorTest.setGenericRequestParams(MessageAbstractType),206,2
"org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtils.initCipher(Key, KeyProperties, int)",204,20
java.util.regex.Pattern.compile(String),204,2850
org.apache.cxf.service.ServiceModelVisitor.visitOperation(OperationInfo),200,312
org.apache.cxf.jca.cxf.ManagedConnectionFactoryImplTest.setUp(),200,64
java.nio.charset.Charset.forName(String),198,3578
"org.apache.cxf.jaxrs.utils.JAXRSUtils.intersectMimeTypes(List, List, boolean, boolean)",196,1240
"java.io.File.createTempFile(String, String, File)",196,4
javax.xml.bind.JAXBContext.newInstance(Class[]),194,74
org.apache.cxf.ws.addressing.soap.MAPCodec.mediate(SoapMessage),194,34
org.apache.cxf.jaxb.JAXBContextInitializer.begin(MessagePartInfo),192,642
java.net.URI.<init>(String),190,1454
org.apache.cxf.ws.rm.policy.PolicyUtilsTest.setUp(),190,6
"org.apache.cxf.binding.soap.interceptor.SoapFaultSerializerTest.assertValid(String, Document)",188,22
"org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.setUpMethod(Message, Exchange, Method)",188,28
"java.util.HashMap.put(Object, Object)",182,35558
"org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.setUpRequestor(Message, Exchange, boolean, boolean, boolean, boolean)",180,20
"org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.setUpBindingOperationInfo(String, String, String, String, Method)",180,28
org.apache.cxf.transport.local.LocalTransportFactoryTest.testInvocation(boolean),178,4
org.apache.cxf.ws.addressing.ContextUtils.generateUUID(),176,34
"org.apache.cxf.jaxrs.model.OperationResourceInfo.checkMediaTypes(String, String)",174,900
java.util.ArrayList.get(int),170,416814
"org.apache.cxf.jaxrs.utils.HttpUtils.encodePartiallyEncoded(String, boolean)",168,3204
org.apache.cxf.staxutils.StaxUtils.createXMLStreamReader(InputSource),168,16
com.ctc.wstx.sr.BasicStreamReader.next(),164,15228
"java.io.File.createTempFile(String, String)",164,2
"org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.initializeClassInfo(OperationInfo, Method, List)",158,126
"org.apache.cxf.common.util.PropertiesLoaderUtils.loadAllProperties(String, ClassLoader, Logger, Level, String)",158,10
"org.apache.cxf.jca.core.classloader.PlugInClassLoader.getFilterList(ClassLoader, String)",154,40
"javax.crypto.Cipher.init(int, Key, AlgorithmParameterSpec)",154,12
org.apache.cxf.common.xmlschema.SchemaCollection.<init>(),154,28
org.apache.cxf.jaxrs.provider.ProviderFactory.setCommonProviders(List),152,130
org.apache.cxf.binding.coloc.ColocOutInterceptorTest.testColocOutIsColocatedPropertySet(),152,2
java.util.ArrayList.add(Object),150,163138
org.easymock.EasyMock.createNiceControl(),150,6
java.security.Signature.verify(byte[]),150,32
org.apache.cxf.xkms.x509.validator.TrustedAuthorityValidatorTest.<init>(),144,10
"org.apache.cxf.test.XPathAssert.assertInvalid(String, Node, Map)",144,4
org.apache.cxf.jaxrs.utils.JAXRSUtils.parseMediaTypes(String),144,2636
org.apache.cxf.xkms.x509.validator.TrustedAuthorityValidatorTest.readCertificate(String),144,20
org.apache.cxf.jaxrs.utils.JAXRSUtils.toMediaType(String),136,2974
"java.lang.String.substring(int, int)",136,310086
org.apache.cxf.jaxrs.utils.JAXRSUtils.getMediaTypes(String[]),134,1266
org.apache.ws.commons.schema.XmlSchemaCollection.init(),134,30
org.apache.cxf.jaxrs.impl.UriBuilderImpl.buildPath(),132,464
"org.apache.cxf.jaxrs.utils.InjectionUtils.handleBean(Class, Annotation[], MultivaluedMap, ParameterType, Message, boolean)",132,70
org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.create(),132,124
org.apache.cxf.jaxrs.utils.HttpUtils.pathEncode(String),130,3384
org.apache.cxf.rs.security.oauth.utils.OAuthUtilsTest.testCheckRequestURI(),128,2
"org.apache.cxf.ws.addressing.soap.MAPCodec.encodeAsExposed(AddressingProperties, SoapMessage, Object, QName, Class, JAXBContext)",126,96
"org.apache.cxf.ws.addressing.soap.MAPCodec.encode(SoapMessage, AddressingProperties)",126,16
java.lang.StringBuilder.<init>(),126,277714
"org.apache.cxf.ws.addressing.soap.VersionTransformer.encodeAsExposed(SoapMessage, String, Object, String, Class, JAXBContext, boolean)",124,90
"org.apache.cxf.ws.addressing.impl.InternalContextUtils.rebaseResponse(EndpointReferenceType, AddressingProperties, Message)",124,8
org.apache.cxf.rs.security.saml.DeflateEncoderDecoderTest.testInvalidContentAfterBase64(),124,2
"org.apache.cxf.ws.addressing.soap.MAPCodec.encodeMAP(SoapMessage, Object, QName, Class, JAXBContext, boolean)",124,90
"java.text.SimpleDateFormat.<init>(String, Locale)",122,36
org.apache.cxf.staxutils.StaxUtils.toString(Source),122,6
org.apache.cxf.binding.coloc.ColocOutInterceptorTest.verifyIsColocatedWithDifferentOperation(),122,2
org.apache.cxf.ws.addressing.impl.ContextUtilsTest.testGetActionFromExtensible(),120,2
"org.apache.cxf.jaxrs.utils.HttpUtils.componentEncode(String, String)",120,3536
org.apache.cxf.test.XPathAssert.createXPath(Map),118,14
"org.apache.cxf.jaxrs.utils.InjectionUtils.handleParameter(String, boolean, Class, Annotation[], ParameterType, Message)",118,394
"org.apache.cxf.jaxrs.provider.ProviderFactory.matchesReaderCriterias(ProviderInfo, Class, Type, Annotation[], MediaType, Message)",118,160
java.lang.String.indexOf(int),116,299590
"org.apache.cxf.jaxrs.model.OperationResourceInfoComparator.compare(OperationResourceInfo, OperationResourceInfo)",116,226
org.apache.cxf.ws.addressing.impl.MAPAggregatorTest.getExchange(),112,56
javax.xml.xpath.XPathFactory.newInstance(),104,14
"org.apache.cxf.rs.security.oauth.utils.OAuthUtils.checkRequestURI(String, String)",102,16
org.apache.cxf.ws.rm.persistence.PersistenceUtilsTest.testSerialiseDeserialiseAcknowledgement(),100,2
java.security.cert.CertificateFactory.getInstance(String),94,42
javax.xml.bind.JAXBContext.newInstance(String),88,18
com.intellij.rt.execution.application.AppMain.<clinit>(),84,2
org.apache.cxf.common.logging.LogUtils.<clinit>(),36,4
org.apache.cxf.ws.rm.blueprint.RMBPHandlerTest.testGetSchemaLocation(),22,2
