method,Time,Count
org.apache.tomcat.util.bcel.classfile.ConstantUtf8.getInstance(String),25190,6278016
com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl.newTransformer(Source),25060,186
"org.apache.derby.impl.store.access.heap.Heap.create(Transaction, int, long, DataValueDescriptor[], Properties,",25014,184
java.lang.String.charAt(int),23824,205614166
org.apache.tomcat.util.bcel.classfile.ConstantUtf8.getCachedInstance(String),23472,6278016
"org.apache.wss4j.dom.WSSecurityEngine.processSecurityHeader(Element, RequestData)",22608,198
org.apache.cxf.aegis.databinding.AegisDatabinding.initialize(Service),22256,244
"org.apache.cxf.bus.extension.Extension.load(ClassLoader, Bus)",22210,9490
"org.apache.derby.impl.store.raw.log.LogToFile.flush(long,",21722,2930
java.io.DataInputStream.readInt(),20492,3253376
org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.buildServiceFromWSDL(String),20226,118
"java.util.ResourceBundle.getBundle(String, Locale, ClassLoader)",20172,10154
java.lang.String.startsWith(String),20040,42390776
"org.apache.cxf.bus.spring.SpringBusFactory.createBus(String[], boolean)",19612,46
"org.apache.derby.impl.store.raw.log.FileLogger.undo(RawTransaction, TransactionId, LogInstant,",19496,142
org.apache.pdfbox.util.PDFStreamEngine.processSubStream(COSStream),19140,40
"org.apache.pdfbox.util.PDFStreamEngine.processOperator(PDFOperator, List)",18992,52980
java.security.Signature.sign(),18498,326
org.apache.cxf.jaxb.JAXBDataBinding.initialize(Service),18184,514
org.apache.cxf.wsdl11.WSDLManagerImpl.loadDefinition(String),17468,316
"org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.createOperation(ServiceInfo, InterfaceInfo, Method)",17368,1904
"org.apache.cxf.bus.extension.ExtensionManagerImpl.getBeanOfType(String, Class)",17334,7804
org.apache.cxf.bus.extension.ExtensionManagerImpl.getBeansOfType(Class),17132,9200
"org.apache.derby.impl.store.raw.log.LogAccessFile.writeToLog(byte[], int,",17100,822
"org.apache.derby.impl.store.raw.log.FileLogger.logAndUndo(RawTransaction, Compensation, LogInstant,",16896,538
"org.apache.cxf.bus.extension.ExtensionManagerImpl.load(String, ClassLoader)",16438,1164
org.apache.cxf.aegis.AegisContext.initialize(),15996,638
"org.apache.cxf.helpers.XPathUtils.getValue(String, Node, QName)",15930,7220
"org.apache.xerces.impl.xs.XMLSchemaValidator.handleStartElement(QName, XMLAttributes,",15612,1826
"org.apache.cxf.aegis.databinding.AegisDatabinding.initializeMessage(Service, TypeMapping, AbstractMessageContainer, int, Set)",15500,2322
org.apache.cxf.tools.corba.processors.idl.IDLToWSDLProcessor.parseIDL(AST),14352,134
"org.apache.cxf.staxutils.StaxUtils.readDocElements(Document, Node, XMLStreamReader, boolean, boolean, boolean)",14220,1098
org.apache.cxf.tools.validator.WSDLValidator.execute(boolean),14098,36
java.lang.Class.getResourceAsStream(String),13926,6850
java.net.DatagramSocket.receive(DatagramPacket),13698,570
java.lang.Class.forName(String),13462,20580
"org.apache.cxf.aegis.type.DefaultTypeMapping.createDefaultTypeMapping(boolean, boolean, boolean)",13436,608
"java.net.SocketInputStream.read(byte[], int, int)",13434,60
"org.apache.tomcat.util.bcel.classfile.LineNumberTable.<init>(int, int, DataInputStream, ConstantPool)",13418,655034
org.apache.cxf.tools.common.ClassUtils.compile(ToolContext),13320,12
"org.apache.derby.impl.sql.GenericStatement.prepMinion(LanguageConnectionContext, boolean, Object[], SchemaDescriptor,",13224,800
"org.apache.cxf.aegis.databinding.AegisDatabinding.getParameterType(Service, TypeMapping, MessagePartInfo, int)",13148,1582
javax.xml.datatype.DatatypeFactory.newInstance(),12958,5454
