method,pattern,space
"org.apache.cxf.jaxrs.impl.MetadataMap.MetadataMap(Map<K, List>, boolean, boolean, boolean)",FreqExec,"org.apache.cxf.jaxrs.impl.MetadataMap.MetadataMap(Map<K, List>, boolean, boolean, boolean); org.apache.cxf.jaxrs.impl.MetadataMap.MetadataMap(Map<K, List>, boolean); org.apache.cxf.jaxrs.impl.MetadataMap.MetadataMap(Map<K, List>, boolean, boolean)"
"org.apache.cxf.ws.security.tokenstore.EHCacheTokenStoreFactory.newTokenStore(String, Message)",HotCallee,"org.apache.cxf.ws.security.tokenstore.EHCacheTokenStoreFactory.newTokenStore(String, Message); org.apache.cxf.ws.security.tokenstore.EHCacheTokenStore.EHCacheTokenStore(String, Bus, URL)"
org.apache.cxf.transport.http.ReferencingAuthenticator.check(),FreqExec,"org.apache.cxf.transport.http.ReferencingAuthenticator.check(); java.lang.reflect.Method.invoke(Object, Object[])"
org.apache.cxf.staxutils.transform.InTransformReader.getLocalName(),FreqExec,org.apache.cxf.staxutils.transform.InTransformReader.getLocalName(); org.apache.cxf.staxutils.transform.InTransformReader.getName()
org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.isRPC(Method),FreqExec,"org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.isRPC(Method); org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.isRPC(Method); org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.getParameterName(OperationInfo, Method, int, int, String, boolean); org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.getOutParameterName(OperationInfo, Method, int); org.apache.cxf.jaxws.support.JaxWsServiceConfiguration.getPartName(OperationInfo, Method, int, MessageInfo, String, boolean)"
"org.apache.cxf.jaxrs.utils.ResourceUtils.createClassResourceInfo(Class<?>, Class<?>, boolean, boolean, Bus)",HotExec,"org.apache.cxf.jaxrs.utils.ResourceUtils.createClassResourceInfo(Class<?>, Class<?>, boolean, boolean, Bus); org.apache.cxf.jaxrs.JAXRSServiceFactoryBean.createResourceInfo(Class<?>, boolean); org.apache.cxf.jaxrs.utils.ResourceUtils.createClassResourceInfo(Class<?>, Class<?>, boolean, boolean)"
"org.apache.cxf.transport.jms.wsdl11.JMSWSDLExtensionLoader.addExtensions(WSDLManager, Class<?>, Class<?>)",HotCallee,"org.apache.cxf.transport.jms.wsdl11.JMSWSDLExtensionLoader.addExtensions(WSDLManager, Class<?>, Class<?>); org.apache.cxf.wsdl.JAXBExtensionHelper.addExtensions(ExtensionRegistry, Class<?>, Class<?>)"
org.apache.cxf.tools.common.dom.ExtendedDocumentBuilder.getParser(),HotCallee,org.apache.cxf.tools.common.dom.ExtendedDocumentBuilder.getParser()
org.apache.cxf.tools.wadlto.jaxrs.JAXRSContainer.processWadl(),HotCallee,"org.apache.cxf.tools.wadlto.jaxrs.JAXRSContainer.processWadl(); org.apache.cxf.tools.common.ClassUtils.compile(ToolContext); org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator.generateSource(String, File, String)"
org.apache.cxf.tools.corba.processors.idl.IDLLexer.mDIGIT(boolean),FreqExec,org.apache.cxf.tools.corba.processors.idl.IDLLexer.mDIGIT(boolean); org.apache.cxf.tools.corba.processors.idl.IDLLexer.mINT(boolean)
