method,Time,OwnTime,count
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test36(),0,0,1
org.apache.xmpbox.schema.AdobePDFSchema.setPDFVersionProperty(TextType),0,0,1
org.apache.xmpbox.type.AbstractComplexProperty_ESTest.test07(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm.getDefaultResources(),0,0,3
org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators$AbstractNumberComparisonOperator.execute(ExecutionContext),0,0,1
org.apache.pdfbox.pdmodel.interactive.action.PDWindowsLaunchParams_ESTest.test10(),0,0,1
org.apache.fontbox.ttf.MaximumProfileTable.<init>(TrueTypeFont),0,0,47
org.apache.pdfbox.pdmodel.fdf.FDFAnnotationSquare.<init>(Element),0,0,1
org.apache.pdfbox.preflight.font.descriptor.Type1DescriptorHelper.checkMandatoryFields(COSDictionary),1,0,1
org.apache.xmpbox.schema.XMPSchema_ESTest.test17(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDField.getFullyQualifiedName(),3,0,10
org.apache.pdfbox.pdfparser.PDFStreamParser_ESTest.test36(),3,0,1
org.apache.pdfbox.pdmodel.documentinterchange.markedcontent.PDMarkedContent_ESTest.test08(),0,0,1
org.apache.pdfbox.pdfwriter.COSWriter_ESTest.test25(),0,0,1
org.apache.fontbox.ttf.HorizontalMetricsTable_ESTest.test6(),0,0,1
org.apache.pdfbox.preflight.graphic.StandardColorSpaceHelper_ESTest.test05(),0,0,1
org.apache.fontbox.afm.CompositePart_ESTest.test4(),0,0,1
org.apache.pdfbox.pdmodel.font.PDFontDescriptor_ESTest.test104(),0,0,1
org.apache.pdfbox.examples.interactive.form.PrintFields.<init>(),0,0,1
org.apache.fontbox.cmap.CMapParser_ESTest.test03(),4,0,1
org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification_ESTest.test6(),0,0,1
org.apache.pdfbox.pdmodel.fdf.FDFOptionElement.<init>(),0,0,7
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode_ESTest.test26(),0,0,1
org.apache.pdfbox.debugger.hexviewer.StatusPane_ESTest.test0(),2,0,1
org.apache.pdfbox.pdmodel.graphics.state.PDSoftMask_ESTest.test4(),0,0,1
org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences_ESTest.test24(),2,0,1
org.apache.pdfbox.cos.COSDictionary_ESTest.test010(),0,0,1
org.apache.pdfbox.examples.pdmodel.CreateLandscapePDF_ESTest.test04(),0,0,1
"org.apache.pdfbox.preflight.graphic.ColorSpaceHelperFactory$ColorSpaceRestriction.<init>(String, int)",0,0,3
java.util.BitSet.nextSetBit(int),0,0,95
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_ESTest.test24(),0,0,1
org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeTokens(List),0,0,1
org.apache.pdfbox.examples.lucene.LucenePDFDocument_ESTest.test3(),0,0,1
org.apache.pdfbox.cos.COSStream.toTextString(),0,0,11
java.util.HashSet.remove(Object),2,2,1599
org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead_ESTest.test03(),0,0,1
org.apache.fontbox.type1.Token_ESTest.test08(),0,0,1
"java.util.EnumMap.put(Object, Object)",1,1,1860
org.apache.pdfbox.pdmodel.PDDocument_ESTest.test24(),1,0,1
org.apache.pdfbox.pdmodel.font.FileSystemFontProvider_ESTest.test1(),0,0,1
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItemIterator_ESTest.<init>(),0,0,3
org.apache.pdfbox.preflight.font.container.Type0Container.<init>(PDFont),0,0,29
org.apache.tools.ant.Task.log(String),0,0,2
org.apache.pdfbox.cos.COSName_ESTest.test15(),0,0,1
org.apache.log4j.Logger.class$(String),0,0,1
org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject_ESTest.test0(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureTreeRoot_ESTest.test16(),0,0,1
java.util.ArrayList.<init>(int),77,77,67052
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_ESTest.test41(),1,0,1
org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDTransition_ESTest.test11(),1,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject_ESTest.test034(),0,0,1
org.apache.pdfbox.pdmodel.DefaultResourceCache_ESTest.test01(),0,0,1
org.apache.pdfbox.pdmodel.common.function.PDFunction_ESTest.test01(),0,0,1
org.apache.xmpbox.schema.DublinCoreSchema.setFormat(String),0,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.setStartPointEndingStyle(String),0,0,6
java.util.Arrays.toString(float[]),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject_ESTest.test098(),0,0,1
org.apache.pdfbox.pdmodel.encryption.SecurityHandler_ESTest.test10(),0,0,1
org.apache.pdfbox.pdmodel.common.function.PDFunction_ESTest.test15(),0,0,1
org.apache.xmpbox.type.ArrayProperty.getElementsAsString(),0,0,3
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.writeXML(Writer),0,0,4
org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDTransition_ESTest.test18(),0,0,1
org.apache.xmpbox.type.ResourceRefType_ESTest.test20(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDChoice.isMultiSelect(),0,0,4
