method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.pdfbox.debugger.PDFDebugger.getFindPreviousMenuItem(),0,6,2,3,0,0
org.apache.pdfbox.pdmodel.common.PDStream.getFile(),14,9,0,0,4,3
org.apache.pdfbox.preflight.font.descriptor.Type1DescriptorHelper.checkMandatoryFields(COSDictionary),14,21,0,0,4,9
"org.apache.pdfbox.pdmodel.graphics.image.ValidateXImage.checkIdent(BufferedImage, BufferedImage)",-1,1,0,0,0,0
org.apache.pdfbox.pdmodel.interactive.form.PDField.getFullyQualifiedName(),4,107,8,22,4,2
org.apache.pdfbox.pdmodel.font.PDType0Font.subset(),14,8,0,0,2,5
org.apache.pdfbox.tools.ImportXFDF.main(String[]),14,322,0,0,16,61
org.apache.pdfbox.pdmodel.interactive.measurement.PDMeasureDictionary.PDMeasureDictionary(COSDictionary),0,9,4,2,0,0
org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeTokens(List),4,621,16,100,5,13
org.apache.pdfbox.cos.COSStream.toTextString(),5,48,3,9,7,8
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.setModifiedDate(Calendar),14,12,0,0,4,4
org.apache.pdfbox.pdmodel.graphics.form.PDFormXObject.getFormType(),14,9,0,0,5,2
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner.pageHeight(float),7,49,7,15,0,0
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationTextMarkup.PDAnnotationTextMarkup(COSDictionary),4,30,5,11,4,1
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.writeXML(Writer),14,60,5,3,9,14
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),5,812,15,131,7,8
org.apache.pdfbox.pdmodel.PDPage.setRotation(int),3,389,8,111,3,2
"org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader.fromAny(PDImage, WritableRaster, COSArray)",3,25,3,3,3,10
org.apache.pdfbox.pdfparser.COSParser.COSParser(RandomAccessRead),1,33,7,8,1,2
org.apache.pdfbox.pdmodel.encryption.RC4Cipher.setKey(byte[]),0,9,3,2,1,2
org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField.getValueAsString(),14,6,0,0,3,3
org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.setDecode(COSArray),14,5,0,0,2,2
