method,method,invocation counts
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.ResolvingDecoder_ESTest.test02(),1
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),org.apache.avro.io.ResolvingDecoder.readLong(),1
org.apache.avro.io.ResolvingDecoder.readLong(),org.apache.avro.io.parsing.Parser.advance(Symbol),5
org.apache.avro.io.parsing.Parser.advance(Symbol),"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",18
"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),13
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),org.apache.avro.io.parsing.SkipParser.skipTo(int),17
org.apache.avro.io.parsing.SkipParser.skipTo(int),org.apache.avro.io.ParsingDecoder.skipTopSymbol(),736709779
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),org.apache.avro.io.parsing.Parser.pushSymbol(Symbol),17
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),"org.apache.avro.io.BinaryDecoder.<init>(int, InputStream)",1
"org.apache.avro.io.BinaryDecoder.<init>(int, InputStream)","org.apache.avro.io.BinaryDecoder.init(int, InputStream)",24
"org.apache.avro.io.BinaryDecoder.init(int, InputStream)","org.apache.avro.io.BinaryDecoder.configureSource(int, BinaryDecoder$ByteSource)",25
"org.apache.avro.io.BinaryDecoder.configureSource(int, BinaryDecoder$ByteSource)","org.apache.avro.io.BinaryDecoder$ByteSource.attach(int, BinaryDecoder)",25
"org.apache.avro.io.BinaryDecoder$ByteSource.attach(int, BinaryDecoder)","org.apache.avro.io.BinaryDecoder$BufferAccessor.<init>(BinaryDecoder, BinaryDecoder$1)",25
"org.apache.avro.io.BinaryDecoder$BufferAccessor.<init>(BinaryDecoder, BinaryDecoder$1)",org.apache.avro.io.BinaryDecoder$BufferAccessor.<init>(BinaryDecoder),32
"org.apache.avro.io.BinaryDecoder.init(int, InputStream)","org.apache.avro.io.BinaryDecoder$InputStreamByteSource.<init>(InputStream, BinaryDecoder$1)",25
"org.apache.avro.io.BinaryDecoder$InputStreamByteSource.<init>(InputStream, BinaryDecoder$1)",org.apache.avro.io.BinaryDecoder$InputStreamByteSource.<init>(InputStream),25
org.apache.avro.io.BinaryDecoder$InputStreamByteSource.<init>(InputStream),org.apache.avro.io.BinaryDecoder$ByteSource.<init>(),25
org.apache.avro.io.BinaryDecoder$ByteSource.<init>(),java.io.InputStream.<init>(),35
"org.apache.avro.io.BinaryDecoder.<init>(int, InputStream)",org.apache.avro.io.Decoder.<init>(),24
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),1
org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),org.apache.avro.io.parsing.Symbol$ImplicitAction.<init>(Symbol$1),22
org.apache.avro.io.parsing.Symbol$ImplicitAction.<init>(Symbol$1),org.apache.avro.io.parsing.Symbol$ImplicitAction.<init>(),112
org.apache.avro.io.parsing.Symbol$ImplicitAction.<init>(),org.apache.avro.io.parsing.Symbol$ImplicitAction.<init>(boolean),112
org.apache.avro.io.parsing.Symbol$ImplicitAction.<init>(boolean),org.apache.avro.io.parsing.Symbol.<init>(Symbol$Kind),116
org.apache.avro.io.parsing.Symbol.<init>(Symbol$Kind),"org.apache.avro.io.parsing.Symbol.<init>(Symbol$Kind, Symbol[])",190
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)","org.apache.avro.io.ValidatingDecoder.<init>(Symbol, Decoder)",56
"org.apache.avro.io.ValidatingDecoder.<init>(Symbol, Decoder)",org.apache.avro.io.ParsingDecoder.<init>(Symbol),131
org.apache.avro.io.ParsingDecoder.<init>(Symbol),"org.apache.avro.io.parsing.SkipParser.<init>(Symbol, Parser$ActionHandler, SkipParser$SkipHandler)",167
"org.apache.avro.io.parsing.SkipParser.<init>(Symbol, Parser$ActionHandler, SkipParser$SkipHandler)","org.apache.avro.io.parsing.Parser.<init>(Symbol, Parser$ActionHandler)",181
org.apache.avro.io.ParsingDecoder.<init>(Symbol),org.apache.avro.io.Decoder.<init>(),167
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),java.lang.Class.getName(),4
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),java.lang.String.equals(Object),2
org.apache.avro.io.ResolvingDecoder_ESTest.test02(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.ResolvingDecoder_ESTest.test06(),1
org.apache.avro.io.ResolvingDecoder_ESTest.test06(),org.apache.avro.io.ResolvingDecoder.readIndex(),1
org.apache.avro.io.ResolvingDecoder.readIndex(),org.apache.avro.io.parsing.Parser.advance(Symbol),5
org.apache.avro.io.ResolvingDecoder_ESTest.test06(),org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),1
org.apache.avro.io.ResolvingDecoder_ESTest.test06(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
org.apache.avro.io.ResolvingDecoder_ESTest.test06(),java.lang.Class.getName(),4
org.apache.avro.io.ResolvingDecoder_ESTest.test06(),java.lang.String.equals(Object),2
org.apache.avro.io.ResolvingDecoder_ESTest.test06(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.ResolvingDecoder_ESTest.test20(),1
org.apache.avro.io.ResolvingDecoder_ESTest.test20(),"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",1
org.apache.avro.io.ResolvingDecoder_ESTest.test20(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
org.apache.avro.io.ResolvingDecoder_ESTest.test20(),org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),1
org.apache.avro.io.ResolvingDecoder_ESTest.test20(),java.lang.Class.getName(),4
org.apache.avro.io.ResolvingDecoder_ESTest.test20(),java.lang.String.equals(Object),2
org.apache.avro.io.ResolvingDecoder_ESTest.test20(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.ResolvingDecoder_ESTest.test12(),1
org.apache.avro.io.ResolvingDecoder_ESTest.test12(),org.apache.avro.io.ResolvingDecoder.readEnum(),1
org.apache.avro.io.ResolvingDecoder.readEnum(),org.apache.avro.io.parsing.Parser.advance(Symbol),6
org.apache.avro.io.ResolvingDecoder_ESTest.test12(),org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),1
org.apache.avro.io.ResolvingDecoder_ESTest.test12(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
org.apache.avro.io.ResolvingDecoder_ESTest.test12(),java.lang.Class.getName(),4
org.apache.avro.io.ResolvingDecoder_ESTest.test12(),java.lang.String.equals(Object),2
org.apache.avro.io.ResolvingDecoder_ESTest.test12(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.ResolvingDecoder_ESTest.test16(),1
org.apache.avro.io.ResolvingDecoder_ESTest.test16(),org.apache.avro.io.ResolvingDecoder.readDouble(),1
org.apache.avro.io.ResolvingDecoder.readDouble(),org.apache.avro.io.parsing.Parser.advance(Symbol),5
org.apache.avro.io.ResolvingDecoder_ESTest.test16(),org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),1
org.apache.avro.io.ResolvingDecoder_ESTest.test16(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
org.apache.avro.io.ResolvingDecoder_ESTest.test16(),java.lang.Class.getName(),4
org.apache.avro.io.ResolvingDecoder_ESTest.test16(),java.lang.String.equals(Object),2
org.apache.avro.io.ResolvingDecoder_ESTest.test16(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.ResolvingDecoder_ESTest.test37(),1
org.apache.avro.io.ResolvingDecoder_ESTest.test37(),org.apache.avro.io.ResolvingDecoder.readFieldOrder(),1
org.apache.avro.io.ResolvingDecoder.readFieldOrder(),org.apache.avro.io.parsing.Parser.advance(Symbol),6
org.apache.avro.io.ResolvingDecoder_ESTest.test37(),org.apache.avro.io.parsing.Symbol$SkipAction.<init>(Symbol),1
org.apache.avro.io.ResolvingDecoder_ESTest.test37(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
org.apache.avro.io.ResolvingDecoder_ESTest.test37(),java.lang.Class.getName(),4
org.apache.avro.io.ResolvingDecoder_ESTest.test37(),java.lang.String.equals(Object),2
org.apache.avro.io.ResolvingDecoder_ESTest.test37(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.parsing.SkipParser_ESTest.test03(),1
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),org.apache.avro.io.parsing.SkipParser.skipRepeater(),1
org.apache.avro.io.parsing.SkipParser.skipRepeater(),org.apache.avro.io.parsing.SkipParser.skipTo(int),2
org.apache.avro.io.parsing.SkipParser.skipRepeater(),org.apache.avro.io.parsing.Parser.pushProduction(Symbol),2
org.apache.avro.io.parsing.Parser.pushProduction(Symbol),"java.lang.System.arraycopy(Object, int, Object, int, int)",4
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),"org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol[])",1
"org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol[])","org.apache.avro.io.parsing.Symbol$Repeater.<init>(Symbol, Symbol[], Symbol$1)",10
"org.apache.avro.io.parsing.Symbol$Repeater.<init>(Symbol, Symbol[], Symbol$1)","org.apache.avro.io.parsing.Symbol$Repeater.<init>(Symbol, Symbol[])",10
"org.apache.avro.io.parsing.Symbol$Repeater.<init>(Symbol, Symbol[])",org.apache.avro.io.parsing.Symbol$Repeater.makeProduction(Symbol[]),11
org.apache.avro.io.parsing.Symbol$Repeater.makeProduction(Symbol[]),"java.lang.System.arraycopy(Object, int, Object, int, int)",10
"org.apache.avro.io.parsing.Symbol$Repeater.<init>(Symbol, Symbol[])","org.apache.avro.io.parsing.Symbol.<init>(Symbol$Kind, Symbol[])",10
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),"org.apache.avro.io.parsing.SkipParser.<init>(Symbol, Parser$ActionHandler, SkipParser$SkipHandler)",1
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),java.lang.Class.getName(),4
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),java.lang.String.equals(Object),2
org.apache.avro.io.parsing.SkipParser_ESTest.test03(),java.lang.String.startsWith(String),1
org.junit.internal.runners.statements.FailOnTimeout$1.run(),org.apache.avro.io.parsing.SkipParser_ESTest.test06(),1
org.apache.avro.io.parsing.SkipParser_ESTest.test06(),org.apache.avro.io.parsing.SkipParser.skipTo(int),1
org.apache.avro.io.parsing.SkipParser_ESTest.test06(),"org.apache.avro.io.ResolvingDecoder.<init>(Object, Decoder)",1
