method,Time,OwnTime,count
org.apache.avro.ipc.DatagramTransceiver_ESTest.<init>(),0,0,7
org.apache.avro.ipc.ResponderServlet_ESTest.<init>(),0,0,1
java.net.HttpURLConnection.<clinit>(),0,0,1
java.io.FileInputStream.<init>(String),1,1,4
org.apache.avro.io.DirectBinaryDecoder_ESTest.test13(),0,0,1
org.apache.avro.io.BinaryEncoder_ESTest.test23(),0,0,1
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map)",3,0,4
org.apache.avro.ipc.LocalTransceiver.transceive(List),2,0,1
org.apache.avro.ipc.RPCContext_ESTest.test16(),0,0,1
org.apache.avro.io.DirectBinaryDecoder_ESTest.test24(),0,0,1
org.apache.avro.io.parsing.Symbol$Alternative.findLabel(String),0,0,3
"org.apache.avro.io.ValidatingEncoder.<init>(Schema, Encoder)",0,0,1
org.apache.avro.ipc.SocketTransceiver.getRemoteName(),0,0,1
org.apache.avro.io.DirectBinaryDecoder_ESTest.test36(),0,0,1
org.apache.avro.io.parsing.ResolvingGrammarGenerator.<init>(),0,0,2
java.util.ArrayList.<init>(int),2,2,2113
org.apache.avro.io.ParsingDecoder.skipAction(),0,0,3
org.apache.avro.file.SeekableFileInput_ESTest.test00(),0,0,1
org.apache.avro.io.ResolvingDecoder_ESTest.test13(),0,0,1
org.evosuite.runtime.mock.java.io.MockFileOutputStream.write(int),0,0,19
org.apache.avro.io.DecoderFactory_ESTest.test17(),0,0,1
org.apache.avro.SchemaParseException.<init>(String),0,0,1
org.apache.avro.io.DirectBinaryDecoder_ESTest.test49(),0,0,1
org.apache.avro.file.LengthLimitedInputStream_ESTest.test17(),0,0,1
org.apache.avro.ipc.HttpTransceiver_ESTest.test05(),0,0,1
org.apache.avro.io.ValidatingEncoder_ESTest.test48(),0,0,1
java.lang.Iterable.spliterator(),12,9,1
org.apache.avro.io.BinaryDecoder.ensureBounds(int),0,0,19
org.apache.avro.ipc.Transceiver_ESTest.test3(),0,0,1
org.apache.avro.io.ValidatingDecoder.readDouble(),0,0,4
org.apache.avro.io.parsing.Symbol$WriterUnionAction.<init>(),0,0,20
"sun.nio.ch.DatagramChannelImpl.send(ByteBuffer, SocketAddress)",0,0,3
org.apache.avro.io.DirectBinaryDecoder_ESTest.test22(),0,0,1
