method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.avro.Schema.isError(),3,1,2,2,0
org.apache.avro.Schema.getElementType(),3,1,17,2,0
org.apache.avro.Schema.getValueType(),3,1,11,2,0
org.apache.avro.Schema.getTypes(),3,1,20,2,0
org.apache.avro.Schema.getFixedSize(),3,1,13,2,0
org.apache.avro.Schema.toString(),1,1,9,2,0
org.apache.avro.Schema.toString(boolean),12,3,6,9,0
"org.apache.avro.Schema.toJson(Names, JsonGenerator)",10,2,9,7,0
org.apache.avro.Schema.writeProps(JsonGenerator),4,2,8,4,1
"org.apache.avro.Schema.fieldsToJson(Names, JsonGenerator)",3,1,1,1,0
org.apache.avro.Schema.equals(Object),7,4,14,2,0
org.apache.avro.Schema.hashCode(),1,1,8,4,0
org.apache.avro.Schema.parse(File),8,2,8,5,0
org.apache.avro.Schema.parse(InputStream),8,2,5,5,0
org.apache.avro.Schema.parse(String),3,1,51,4,0
"org.apache.avro.Schema.parse(JsonNode, Names)",96,30,11,40,4
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",8,2,4,3,0
"org.apache.avro.Schema.getOptionalText(JsonNode, String)",4,2,4,3,0
org.apache.avro.Schema.parseJson(String),9,3,6,5,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, InputStream)",4,1,3,3,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, String)",4,1,3,3,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, InputStream)",3,1,9,3,0
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, String)",3,1,3,3,0
org.apache.avro.io.JsonDecoder.advance(Symbol),6,2,24,5,0
org.apache.avro.io.JsonDecoder.init(InputStream),5,1,5,4,0
org.apache.avro.io.JsonDecoder.init(String),5,1,4,4,0
org.apache.avro.io.JsonDecoder.readNull(),8,2,3,4,0
org.apache.avro.io.JsonDecoder.readBoolean(),10,2,4,5,0
org.apache.avro.io.JsonDecoder.readInt(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readLong(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readFloat(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readDouble(),10,2,3,6,0
org.apache.avro.io.JsonDecoder.readString(Utf8),16,4,6,9,0
org.apache.avro.io.JsonDecoder.skipString(),14,4,6,6,0
org.apache.avro.io.JsonDecoder.readBytes(ByteBuffer),10,2,3,7,0
org.apache.avro.io.JsonDecoder.readByteArray(),4,1,5,3,0
org.apache.avro.io.JsonDecoder.skipBytes(),8,2,3,4,0
org.apache.avro.io.JsonDecoder.checkFixed(int),9,2,6,3,0
"org.apache.avro.io.JsonDecoder.readFixed(byte[], int, int)",14,3,6,7,0
org.apache.avro.io.JsonDecoder.skipFixed(int),4,1,1,2,0
org.apache.avro.io.JsonDecoder.doSkipFixed(int),12,3,6,5,0
org.apache.avro.io.JsonDecoder.skipFixed(),5,1,3,3,0
org.apache.avro.io.JsonDecoder.readEnum(),15,3,4,9,0
org.apache.avro.io.JsonDecoder.readArrayStart(),9,2,3,6,0
org.apache.avro.io.JsonDecoder.arrayNext(),4,1,1,3,0
org.apache.avro.io.JsonDecoder.doArrayNext(),9,2,6,4,0
org.apache.avro.io.JsonDecoder.skipArray(),11,2,4,6,0
org.apache.avro.io.JsonDecoder.readMapStart(),9,2,3,6,0
org.apache.avro.io.JsonDecoder.mapNext(),4,1,1,3,0
org.apache.avro.io.JsonDecoder.doMapNext(),9,2,5,4,0
org.apache.avro.io.JsonDecoder.skipMap(),11,2,4,6,0
org.apache.avro.io.JsonDecoder.readIndex(),20,4,7,11,0
"org.apache.avro.io.JsonDecoder.doAction(Symbol, Symbol)",30,9,9,8,0
org.apache.avro.io.JsonDecoder.error(String),4,1,21,3,0
org.apache.avro.io.JsonDecoder.setItemCount(long),2,1,0,0,0
"org.apache.avro.io.JsonEncoder.JsonEncoder(Schema, OutputStream)",3,1,7,3,0
"org.apache.avro.io.JsonEncoder.JsonEncoder(Schema, JsonGenerator)",5,1,7,5,0
org.apache.avro.io.JsonEncoder.flush(),6,2,4,2,0
org.apache.avro.io.JsonEncoder.init(OutputStream),4,1,2,3,0
org.apache.avro.io.JsonEncoder.getJsonGenerator(OutputStream),5,2,4,2,0
org.apache.avro.io.JsonEncoder.writeNull(),4,1,3,2,0
org.apache.avro.io.JsonEncoder.writeBoolean(boolean),4,1,4,2,0
org.apache.avro.io.JsonEncoder.writeInt(int),4,1,4,2,0
org.apache.avro.io.JsonEncoder.writeLong(long),4,1,4,2,0
org.apache.avro.io.JsonEncoder.writeFloat(float),4,1,4,2,0
org.apache.avro.io.JsonEncoder.writeDouble(double),4,1,4,2,0
org.apache.avro.io.JsonEncoder.writeString(Utf8),9,2,5,5,0
org.apache.avro.io.JsonEncoder.writeBytes(ByteBuffer),11,3,2,7,1
"org.apache.avro.io.JsonEncoder.writeBytes(byte[], int, int)",4,1,6,2,0
"org.apache.avro.io.JsonEncoder.writeByteArray(byte[], int, int)",5,1,7,2,0
"org.apache.avro.io.JsonEncoder.writeFixed(byte[], int, int)",10,2,6,4,0
org.apache.avro.io.JsonEncoder.writeEnum(int),10,2,5,5,0
org.apache.avro.io.JsonEncoder.writeArrayStart(),6,1,4,5,0
org.apache.avro.io.JsonEncoder.writeArrayEnd(),8,2,6,4,0
org.apache.avro.io.JsonEncoder.writeMapStart(),6,1,4,5,0
org.apache.avro.io.JsonEncoder.writeMapEnd(),8,2,6,4,0
org.apache.avro.io.JsonEncoder.startItem(),7,2,4,5,0
org.apache.avro.io.JsonEncoder.writeIndex(int),11,2,6,7,0
"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol)",13,4,6,6,0
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(),1,1,16,3,0
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(GenericData),1,1,4,2,0
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema),4,1,13,3,0
"org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema, GenericData)",4,1,5,3,0
org.apache.avro.generic.GenericDatumWriter.setSchema(Schema),1,1,4,1,0
"org.apache.avro.generic.GenericDatumWriter.write(D, Encoder)",3,1,17,1,0
"org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder)",24,15,23,19,0
"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)",6,2,4,6,1
"org.apache.avro.generic.GenericDatumWriter.getField(Object, String, int)",3,1,3,2,0
"org.apache.avro.generic.GenericDatumWriter.writeEnum(Schema, Object, Encoder)",4,1,4,2,0
"org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder)",12,2,4,10,1
org.apache.avro.generic.GenericDatumWriter.getArraySize(Object),3,1,2,2,0
org.apache.avro.generic.GenericDatumWriter.getArrayElements(Object),3,1,2,2,0
"org.apache.avro.generic.GenericDatumWriter.writeMap(Schema, Object, Encoder)",13,2,4,11,1
org.apache.avro.generic.GenericDatumWriter.getMapSize(Object),3,1,2,2,0
org.apache.avro.generic.GenericDatumWriter.getMapEntries(Object),3,1,2,2,0
"org.apache.avro.generic.GenericDatumWriter.writeString(Schema, Object, Encoder)",4,1,3,1,0
"org.apache.avro.generic.GenericDatumWriter.writeString(Object, Encoder)",3,1,4,1,0
"org.apache.avro.generic.GenericDatumWriter.writeBytes(Object, Encoder)",3,1,3,1,0
"org.apache.avro.generic.GenericDatumWriter.writeFixed(Schema, Object, Encoder)",4,1,4,3,0
"org.apache.avro.generic.GenericDatumWriter.error(Schema, Object)",3,1,3,2,0
org.apache.avro.generic.GenericData.get(),1,1,10,1,0
org.apache.avro.generic.GenericData.GenericData(),1,1,0,1,0
"org.apache.avro.generic.GenericData.validate(Schema, Object)",45,26,19,18,4
org.apache.avro.generic.GenericData.toString(Object),5,1,3,4,0
"org.apache.avro.generic.GenericData.toString(Object, StringBuilder)",51,13,3,18,4
org.apache.avro.generic.GenericData.induce(Object),45,21,11,13,2
"org.apache.avro.generic.GenericData.resolveUnion(Schema, Object)",9,3,5,5,1
"org.apache.avro.generic.GenericData.instanceOf(Schema, Object)",21,15,16,13,0
org.apache.avro.generic.GenericData.isArray(Object),3,1,2,1,0
org.apache.avro.generic.GenericData.isRecord(Object),3,1,2,1,0
org.apache.avro.generic.GenericData.getRecordSchema(Object),3,1,2,2,0
org.apache.avro.generic.GenericData.isEnum(Object),3,1,2,1,0
org.apache.avro.generic.GenericData.isMap(Object),3,1,2,1,0
org.apache.avro.generic.GenericData.isFixed(Object),3,1,2,1,0
org.apache.avro.generic.GenericData.isString(Object),3,1,3,1,0
org.apache.avro.generic.GenericData.isBytes(Object),3,1,3,1,0
"org.apache.avro.generic.GenericData.hashCode(Object, Schema)",26,9,14,14,2
"org.apache.avro.generic.GenericData.hashCodeAdd(int, Object, Schema)",3,1,4,2,0
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema)",42,17,15,18,2
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),1,1,14,1,0
