method,pattern,space
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",HotCyclic,"java.util.HashMap.put(Object, Object); org.apache.commons.httpclient.HostConfiguration.hashCode(); org.apache.commons.httpclient.util.LangUtils.hashCode(int, Object); org.apache.commons.httpclient.protocol.DefaultProtocolSocketFactory.hashCode(); org.apache.commons.httpclient.protocol.DefaultProtocolSocketFactory.class$(String); java.lang.Class.forName(String); org.apache.commons.httpclient.HttpClient.<clinit>(); org.apache.commons.logging.LogFactory.getLog(Class); org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class); org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String); org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String); org.apache.commons.logging.impl.LogFactoryImpl.getLogConstructor(); org.apache.commons.logging.impl.LogFactoryImpl.getLogClassName(); org.apache.commons.logging.impl.LogFactoryImpl.isJdk14Available(); org.apache.commons.logging.impl.LogFactoryImpl.loadClass(String); org.apache.commons.logging.impl.LogFactoryImpl$1.run(); org.apache.commons.logging.impl.LogFactoryImpl.access$001(); org.apache.commons.logging.LogFactory.getContextClassLoader(); java.lang.reflect.Method.invoke(Object, Object[]); org.apache.tools.ant.UnknownElement.execute(); org.apache.ivy.ant.IvyTask.execute(); org.apache.ivy.ant.IvyConvertPom.doExecute(); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean); org.apache.ivy.plugins.parser.m2.PomReader.PomReader(URL, Resource); org.apache.ivy.util.XMLHelper.parseToDom(InputSource, EntityResolver); org.apache.xerces.jaxp.DocumentBuilderImpl.parse(InputSource); org.apache.xerces.parsers.DOMParser.parse(InputSource); org.apache.xerces.parsers.XMLParser.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean); org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher.scanRootElementHook(); org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(); org.apache.xerces.impl.xs.XMLSchemaValidator.startElement(QName, XMLAttributes, Augmentations); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.startElement(String, String, String, Attributes); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.extendsStarted(Attributes); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.parseOtherIvyFile(ModuleRevisionId); org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findIvyFileRef(DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResourceUsingPatterns(ModuleRevisionId, List, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.RepositoryResolver.findResourceUsingPattern(ModuleRevisionId, String, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date); org.apache.ivy.plugins.resolver.BasicResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date); org.apache.ivy.plugins.resolver.BasicResolver$2.parse(Resource, String); org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions); org.apache.ivy.plugins.resolver.BasicResolver$6.download(Artifact, Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.util.ChecksumHelper.<clinit>()"
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",FreqExec,"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)"
"org.apache.ivy.core.report.ConfigurationResolveReport.addDependency(IvyNode, DownloadReport)",FreqExec,"org.apache.ivy.core.report.ConfigurationResolveReport.addDependency(IvyNode, DownloadReport); org.apache.ivy.core.resolve.ResolveEngine.downloadArtifacts(ResolveReport, Filter, DownloadOptions); org.apache.ivy.core.report.ConfigurationResolveReport_ESTest.test11()"
"org.apache.ivy.plugins.lock.FileBasedLockStrategy.decrementLock(File, Thread)",FreqExec,"org.apache.ivy.plugins.lock.FileBasedLockStrategy.decrementLock(File, Thread); org.apache.ivy.plugins.lock.FileBasedLockStrategy.releaseLock(File)"
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),HotCyclic,"java.lang.StringBuilder.append(Object); org.apache.ivy.core.report.ArtifactDownloadReport.toString(); java.lang.Object.toString(); org.apache.ivy.core.report.ArtifactDownloadReport.hashCode(); org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(); org.apache.ivy.core.module.descriptor.AbstractArtifact.getQualifiedExtraAttributes(); org.apache.ivy.core.module.descriptor.MDArtifact.getId(); org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map); org.apache.ivy.core.module.id.ArtifactRevisionId.ArtifactRevisionId(ArtifactId, ModuleRevisionId, Map); org.apache.ivy.util.extendable.UnmodifiableExtendableItem.UnmodifiableExtendableItem(Map, Map); org.apache.ivy.util.extendable.UnmodifiableExtendableItem.setExtraAttribute(String, String); java.util.HashMap.put(Object, Object); org.apache.commons.httpclient.HostConfiguration.hashCode(); org.apache.commons.httpclient.util.LangUtils.hashCode(int, Object); org.apache.commons.httpclient.protocol.DefaultProtocolSocketFactory.hashCode(); org.apache.commons.httpclient.protocol.DefaultProtocolSocketFactory.class$(String); java.lang.Class.forName(String); org.apache.commons.httpclient.HttpClient.<clinit>(); org.apache.commons.logging.LogFactory.getLog(Class); org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class); org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String); org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String); org.apache.commons.logging.impl.LogFactoryImpl.getLogConstructor(); org.apache.commons.logging.impl.LogFactoryImpl.getLogClassName(); org.apache.commons.logging.impl.LogFactoryImpl.isJdk14Available(); org.apache.commons.logging.impl.LogFactoryImpl.loadClass(String); org.apache.commons.logging.impl.LogFactoryImpl$1.run(); org.apache.commons.logging.impl.LogFactoryImpl.access$001(); org.apache.commons.logging.LogFactory.getContextClassLoader(); java.lang.reflect.Method.invoke(Object, Object[]); org.apache.tools.ant.UnknownElement.execute(); org.apache.ivy.ant.IvyTask.execute(); org.apache.ivy.ant.IvyConvertPom.doExecute(); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean); org.apache.ivy.plugins.parser.m2.PomReader.PomReader(URL, Resource); org.apache.ivy.util.XMLHelper.parseToDom(InputSource, EntityResolver); org.apache.xerces.jaxp.DocumentBuilderImpl.parse(InputSource); org.apache.xerces.parsers.DOMParser.parse(InputSource); org.apache.xerces.parsers.XMLParser.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean); org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher.scanRootElementHook(); org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(); org.apache.xerces.impl.xs.XMLSchemaValidator.startElement(QName, XMLAttributes, Augmentations); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.startElement(String, String, String, Attributes); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.infoStarted(Attributes); org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map); org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String, Map); org.apache.ivy.core.module.id.ModuleRevisionId.ModuleRevisionId(ModuleId, String, String, Map, boolean); org.apache.ivy.core.IvyContext.getSettings(); org.apache.ivy.core.IvyContext.getIvy(); org.apache.ivy.core.IvyContext.getDefaultIvy(); org.apache.ivy.Ivy.configureDefault(); org.apache.ivy.core.settings.IvySettings.loadDefault(); org.apache.ivy.core.settings.IvySettings.load(URL); org.apache.ivy.core.settings.XmlSettingsParser.parse(URL); org.apache.ivy.core.settings.XmlSettingsParser.doParse(URL); org.apache.ivy.core.settings.IvySettings.validate(); org.apache.ivy.core.settings.IvySettings.validateAll(Collection); org.apache.ivy.plugins.resolver.MirroredURLResolver.validate(); org.apache.ivy.plugins.resolver.MirroredURLResolver.setupMirrors(); org.apache.ivy.plugins.resolver.MirroredURLResolver.downloadMirrorList(); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.downloadRepositoryResource(Resource, String, String, String, CacheResourceOptions, Repository); org.apache.ivy.plugins.repository.url.URLRepository.get(String, File); org.apache.ivy.util.FileUtil.copy(URL, File, CopyProgressListener); org.apache.ivy.util.url.BasicURLHandler.download(URL, File, CopyProgressListener); org.apache.ivy.util.FileUtil.copy(InputStream, File, CopyProgressListener); org.apache.ivy.util.FileUtil.copy(InputStream, OutputStream, CopyProgressListener); org.apache.ivy.util.FileUtil.copy(InputStream, OutputStream, CopyProgressListener, boolean); org.apache.ivy.plugins.repository.RepositoryCopyProgressListener.start(CopyProgressEvent); org.apache.ivy.plugins.repository.AbstractRepository.fireTransferStarted(long); org.apache.ivy.plugins.repository.AbstractRepository.fireTransferEvent(TransferEvent); org.apache.ivy.core.event.EventManager.transferProgress(TransferEvent); org.apache.ivy.core.event.EventManager.fireIvyEvent(IvyEvent); org.apache.ivy.core.event.FilteredIvyListener.progress(IvyEvent); org.apache.ivy.ant.AntBuildTrigger.progress(IvyEvent); org.apache.ivy.ant.AntBuildTrigger.getBuildFile(IvyEvent); org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map); org.apache.ivy.core.IvyPatternHelper$OriginalArtifactNameValue.toString(); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getSavedArtifactOrigin(Artifact); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.lockMetadataArtifact(ModuleRevisionId); org.apache.ivy.plugins.lock.ArtifactLockStrategy.lockArtifact(Artifact, File); org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File); org.apache.ivy.plugins.lock.FileBasedLockStrategy.debugLocking(String)"
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),FreqExec,"org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File); org.apache.ivy.plugins.lock.ArtifactLockStrategy.lockArtifact(Artifact, File)"
org.apache.ivy.core.module.id.ModuleRevisionId.getOrganisation(),FreqExec,"org.apache.ivy.core.module.id.ModuleRevisionId.getOrganisation(); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.dependencyStarted(Attributes); org.apache.ivy.core.module.id.ArtifactRevisionId.ArtifactRevisionId(ArtifactId, ModuleRevisionId, Map); org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin); org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printInfoTag(ModuleDescriptor, PrintWriter); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.convertM2IdForResourceSearch(ModuleRevisionId); org.apache.ivy.core.resolve.ResolveEngine.getDependenciesFetchedKey(IvyNode, String); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler.infoStarted(Attributes); org.apache.ivy.core.cache.DefaultResolutionCacheManager.getResolvedIvyFileInCache(ModuleRevisionId); org.apache.ivy.plugins.report.XmlReportWriter.outputCallers(ConfigurationResolveReport, PrintWriter, IvyNode); org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream); org.apache.ivy.core.cache.DefaultResolutionCacheManager.getResolvedIvyPropertiesInCache(ModuleRevisionId); org.apache.ivy.plugins.resolver.BasicResolver.checkDescriptorConsistency(ModuleRevisionId, ModuleDescriptor, ResolvedResource); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler.startElementInDependency(Attributes); org.apache.ivy.osgi.repo.AbstractOSGiResolver.findIvyFileRef(DependencyDescriptor, ResolveData); org.apache.ivy.osgi.repo.AbstractOSGiResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date); org.apache.ivy.osgi.repo.AbstractOSGiResolver.checkModuleDescriptorRevision(ModuleDescriptor, ModuleRevisionId); org.apache.ivy.core.resolve.IvyNodeEviction.getResolvedRevisions(ModuleId, String); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependency(ModuleDescriptor, DependencyDescriptor, PrintWriter); org.apache.ivy.core.module.descriptor.OverrideDependencyDescriptorMediator.mediate(DependencyDescriptor); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.convertM2ResourceSearchIdToNormal(ModuleRevisionId); org.apache.ivy.plugins.namespace.MRIDTransformationRule$MridRuleMatcher.match(MRIDRule, ModuleRevisionId); org.apache.ivy.ant.IvyResolve.doExecute(); org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)"
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",HotCyclic,"java.lang.StringBuilder.append(Object); org.apache.ivy.core.report.ArtifactDownloadReport.toString(); java.lang.Object.toString(); org.apache.ivy.core.report.ArtifactDownloadReport.hashCode(); org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(); org.apache.ivy.core.module.descriptor.AbstractArtifact.getQualifiedExtraAttributes(); org.apache.ivy.core.module.descriptor.MDArtifact.getId(); org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map); org.apache.ivy.core.module.id.ArtifactRevisionId.ArtifactRevisionId(ArtifactId, ModuleRevisionId, Map); org.apache.ivy.util.extendable.UnmodifiableExtendableItem.UnmodifiableExtendableItem(Map, Map); org.apache.ivy.util.extendable.UnmodifiableExtendableItem.setExtraAttribute(String, String); java.util.HashMap.put(Object, Object); org.apache.commons.httpclient.HostConfiguration.hashCode(); org.apache.commons.httpclient.util.LangUtils.hashCode(int, Object); org.apache.commons.httpclient.protocol.DefaultProtocolSocketFactory.hashCode(); org.apache.commons.httpclient.protocol.DefaultProtocolSocketFactory.class$(String); java.lang.Class.forName(String); org.apache.commons.httpclient.HttpClient.<clinit>(); org.apache.commons.logging.LogFactory.getLog(Class); org.apache.commons.logging.impl.LogFactoryImpl.getInstance(Class); org.apache.commons.logging.impl.LogFactoryImpl.getInstance(String); org.apache.commons.logging.impl.LogFactoryImpl.newInstance(String); org.apache.commons.logging.impl.LogFactoryImpl.getLogConstructor(); org.apache.commons.logging.impl.LogFactoryImpl.getLogClassName(); org.apache.commons.logging.impl.LogFactoryImpl.isJdk14Available(); org.apache.commons.logging.impl.LogFactoryImpl.loadClass(String); org.apache.commons.logging.impl.LogFactoryImpl$1.run(); org.apache.commons.logging.impl.LogFactoryImpl.access$001(); org.apache.commons.logging.LogFactory.getContextClassLoader(); java.lang.reflect.Method.invoke(Object, Object[]); org.apache.tools.ant.UnknownElement.execute(); org.apache.ivy.ant.IvyTask.execute(); org.apache.ivy.ant.IvyConvertPom.doExecute(); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, boolean); org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean); org.apache.ivy.plugins.parser.m2.PomReader.PomReader(URL, Resource); org.apache.ivy.util.XMLHelper.parseToDom(InputSource, EntityResolver); org.apache.xerces.jaxp.DocumentBuilderImpl.parse(InputSource); org.apache.xerces.parsers.DOMParser.parse(InputSource); org.apache.xerces.parsers.XMLParser.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean); org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher.scanRootElementHook(); org.apache.xerces.impl.XMLNSDocumentScannerImpl.scanStartElement(); org.apache.xerces.impl.xs.XMLSchemaValidator.startElement(QName, XMLAttributes, Augmentations); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.startElement(String, String, String, Attributes); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.extendsStarted(Attributes); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.parseOtherIvyFile(ModuleRevisionId); org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findIvyFileRef(DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResourceUsingPatterns(ModuleRevisionId, List, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.RepositoryResolver.findResourceUsingPattern(ModuleRevisionId, String, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date); org.apache.ivy.plugins.resolver.BasicResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date); org.apache.ivy.plugins.resolver.BasicResolver$2.parse(Resource, String); org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions); org.apache.ivy.plugins.resolver.BasicResolver$6.download(Artifact, Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File); org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.file.FileRepository.get(String, File); org.apache.ivy.plugins.repository.file.FileRepository.copy(File, File, boolean); org.apache.ivy.util.FileUtil.copy(File, File, CopyProgressListener, boolean); org.apache.ivy.util.FileUtil.prepareCopy(File, File, boolean)"
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",FreqExec,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)"
org.apache.ivy.plugins.resolver.AbstractResolver.fromSystem(Artifact),FreqExec,org.apache.ivy.plugins.resolver.AbstractResolver.fromSystem(Artifact); org.apache.ivy.plugins.resolver.BasicResolver$5.resolve(Artifact)
