method,method,invocation counts
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map, boolean)","org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",402
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",org.apache.ivy.core.module.id.ModuleRevisionId.normalizeRevision(String),6339
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)","org.apache.ivy.util.extendable.UnmodifiableExtendableItem.setStandardAttribute(String, String)",25540
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)","org.apache.ivy.util.extendable.UnmodifiableExtendableItem.<init>(Map, Map)",6394
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",org.apache.ivy.core.IvyContext.getContext(),6390
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map, boolean)","org.apache.ivy.core.module.id.ModuleId.newInstance(String, String)",403
"org.apache.ivy.core.module.id.ModuleId.newInstance(String, String)","org.apache.ivy.core.module.id.ModuleId.<init>(String, String)",5943
"org.apache.ivy.core.module.id.ModuleId.newInstance(String, String)",org.apache.ivy.core.module.id.ModuleId.intern(ModuleId),5924
org.apache.ivy.core.module.descriptor.Configuration.replaceWildcards(ModuleDescriptor),org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfigurations(),3493
org.apache.ivy.core.module.descriptor.Configuration.replaceWildcards(ModuleDescriptor),org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfiguration(String),3497
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.addDependencyConfiguration(String, String)",org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfiguration(String),905
"org.apache.ivy.core.module.id.ModuleRevisionId.newInstance(String, String, String, String, Map)","org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map)",1186
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map)","org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",5993
"org.apache.ivy.core.module.id.ModuleRevisionId.<init>(ModuleId, String, String, Map, boolean)",org.apache.ivy.core.settings.IvySettings.getDefaultBranch(ModuleId),2264
