class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\util\cli\CommandLine.java,getOptionValues,String,0,0,31
src\java\org\apache\ivy\core\sort\SortEngine.java,<init>,SortEngineSettings,0,0,1436
test\java\org\apache\ivy\plugins\resolver\URLResolverTest.java,testFile,,4,0,1
src\java\org\apache\ivy\ant\IvyCachePath.java,doExecute,,0,0,2
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,setPattern,String,0,0,4
src\java\org\apache\ivy\osgi\core\ManifestHeaderValue.java,getValues,,0,0,262
src\java\org\apache\ivy\core\module\descriptor\DefaultExtendsDescriptor.java,isDescriptionInherited,,0,0,5
src\java\org\apache\ivy\util\url\URLHandlerDispatcher.java,isReachable,URL,6,0,4
src\java\org\apache\ivy\core\search\OrganisationEntry.java,<init>,"DependencyResolver, String",0,0,89
test\java\org\apache\ivy\plugins\resolver\FileSystemResolverTest.java,testAbortTransaction,,16,0,1
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,hasError,,1,0,43
src\java\org\apache\ivy\osgi\filter\CompareFilter.java,<init>,"String, CompareFilter$Operator, String",27,19,68587
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,addTTL,"Map, PatternMatcher, long",1,0,2
src\java\org\apache\ivy\osgi\core\ManifestHeaderValue.java,addElement,ManifestHeaderElement,1,0,818
src\java\org\apache\ivy\ant\IvyDeliver.java,setCache,File,0,0,1
src\java\org\apache\ivy\core\resolve\ResolveData.java,isSubMap,"Map, Map",30,3,4424
src\java\org\apache\ivy\util\AbstractMessageLogger.java,clearProblems,,0,0,59
src\java\org\apache\ivy\plugins\resolver\DualResolver.java,setDescriptor,String,0,0,1
test\java\org\apache\ivy\plugins\namespace\MRIDTransformationRuleTest.java,<init>,,0,0,1
src\java\org\apache\ivy\ant\IvyTask.java,getIvyInstance,,926,0,56
src\java\org\apache\ivy\core\resolve\ResolveEngine.java,checkConflictSolvedSelected,"VisitNode, VisitNode",52,4,2221
src\java\org\apache\ivy\plugins\resolver\packager\PackagerCacheEntry.java,build,"Resource, Map",3,0,3
src\java\org\apache\ivy\plugins\conflict\RegexpConflictManager.java,nodeIsGreater,"IvyNode, IvyNode",0,0,2
src\java\org\apache\ivy\plugins\latest\LatestTimeStrategy.java,<init>,,0,0,2106
test\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorWriterTest.java,setUp,,1,0,10
src\java\org\apache\ivy\plugins\version\SubVersionMatcher.java,<init>,,0,0,140
test\java\org\apache\ivy\plugins\resolver\IBiblioResolverTest.java,testIBiblioArtifacts,,421,0,1
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,convertM2OrganizationForResourceSearch,String,0,0,8
