class,path,package,methods
BuildOBRTask,src\java\org\apache\ivy\ant\BuildOBRTask.java,org.apache.ivy.ant,"setResolver,setCache,setOut,setEncoding,setIndent,setBaseDir,setQuiet,setSourceType,prepareTask,doExecute"
Ivy,src\java\org\apache\ivy\Ivy.java,org.apache.ivy,"getIvyVersion,getIvyDate,getIvyHomeURL,newInstance,newInstance,Ivy,bind,execute,pushContext,popContext,configure,configure,configureDefault,configureDefault14,check,resolve,resolve,resolve,resolve,resolve,resolve,install,retrieve,retrieve,deliver,deliver,deliver,publish,sortNodes,sortModuleDescriptors,findModule,listModuleEntries,listModules,listModules,listModules,listOrganisationEntries,listOrganisations,listRevisionEntries,listRevisions,listTokenValues,interrupt,interrupt,isInterrupted,checkInterrupted,getWorkingRevision,getResolutionCacheManager,assertBound,postConfigure,getVariable,substitute,setVariable,getSettings,getEventManager,getCheckEngine,setCheckEngine,getDeliverEngine,setDeliverEngine,getInstallEngine,setInstallEngine,getPublishEngine,setPublishEngine,getResolveEngine,setResolveEngine,getRetrieveEngine,setRetrieveEngine,getSearchEngine,setSearchEngine,getSortEngine,setSortEngine,getRepositoryEngine,setRepositoryEngine,setEventManager,setSettings,getLoggerEngine"
IvyContext,src\java\org\apache\ivy\core\IvyContext.java,org.apache.ivy.core,"IvyContext,IvyContext,getContext,getCurrentStack,pushNewContext,pushNewCopyContext,pushContext,popContext,peekInContextStack,getIvy,peekIvy,getDefaultIvy,setIvy,getSettings,getCircularDependencyStrategy,get,set,peek,pop,pop,push,getOperatingThread,getMessageLogger,getEventManager,checkInterrupted,setResolveData,getResolveData,setDependencyDescriptor,getDependencyDescriptor"
DefaultRepositoryCacheManager,src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,org.apache.ivy.core.cache,"DefaultRepositoryCacheManager,DefaultRepositoryCacheManager,getSettings,setSettings,getIvyFileInCache,getIvyPattern,getArtifactPattern,setArtifactPattern,getBasedir,setBasedir,getDefaultTTL,setDefaultTTL,setDefaultTTL,getDataFilePattern,setDataFilePattern,setIvyPattern,getName,setName,getChangingMatcherName,setChangingMatcher,getChangingPattern,setChangingPattern,addTTL,addConfiguredTtl,setMemorySize,getMemoryCache,parseDuration,getGroupIntValue,isCheckmodified,setCheckmodified,isUseOrigin,setUseOrigin,getArchiveFileInCache,getArchiveFileInCache,getArchiveFileInCache,getArchivePathInCache,getArchivePathInCache,saveResolver,saveResolvers,getSavedResolverName,getSavedArtResolverName,saveArtifactOrigin,removeSavedArtifactOrigin,getSavedArtifactOrigin,getPrefixKey,getLocationKey,getIsLocalKey,getLastCheckedKey,getExistsKey,getOriginalKey,getCachedDataFile,getCachedDataFile,findModuleInCache,doFindModuleInCache,getModuleDescriptorParser,getMdFromCache,getStaledMd,getResolvedRevision,saveResolvedRevision,getTTL,toString,getRepositoryCacheRoot,getLockStrategy,setLockStrategy,setLockStrategy,download,unpackArtifact,downloadRepositoryResource,computeResourceNameHash,checkCacheUptodate,originalToCachedModuleDescriptor,cacheModuleDescriptor,lockMetadataArtifact,unlockMetadataArtifact,getDefaultMetadataArtifactOrigin,getDefaultMetadataArtifact,getOriginalMetadataArtifact,isOriginalMetadataArtifact,isChanging,getChangingMatcher,isCheckmodified,clean,dumpSettings"
IvySettings,src\java\org\apache\ivy\core\settings\IvySettings.java,org.apache.ivy.core.settings,"IvySettings,IvySettings,addSystemProperties,configureRepositories,typeDefs,typeDefs,typeDefs,typeDefs,load,load,defaultInit,loadDefault,loadDefault14,loadDefaultProperties,getDefaultPropertiesURL,getDefaultSettingsURL,getDefault14SettingsURL,getDefaultSettingsDir,getSettingsURL,setSettingsVariables,setDeprecatedVariable,setSettingsVariables,dumpSettings,loadProperties,loadProperties,loadProperties,loadProperties,loadProperties,setVariable,setVariable,setVariable,addAllVariables,addAllVariables,substitute,substitute,getVariables,typeDef,typeDef,classForName,getClassLoader,addClasspathURL,getTypeDefs,getTypeDef,addConfigured,addConfigured,addConfigured,addSignatureGenerator,getSignatureGenerator,addResolver,setDefaultCache,setDefaultResolver,checkResolverName,addModuleConfiguration,resolveFile,setBaseDir,getBaseDir,getDefaultIvyUserDir,setDefaultIvyUserDir,getDefaultCache,setDefaultRepositoryCacheBasedir,setDefaultResolutionCacheBasedir,getDefaultRepositoryCacheBasedir,getDefaultResolutionCacheBasedir,setDictatorResolver,getResolver,hasResolver,getResolver,getDefaultResolver,getResolverName,getDefaultBranch,getDefaultBranch,setDefaultBranch,getConflictManager,getResolveMode,getDefaultResolveMode,setDefaultResolveMode,addConfigured,getConflictManager,addConflictManager,addConfigured,getLatestStrategy,addLatestStrategy,addConfigured,getLockStrategy,addLockStrategy,addConfigured,getNamespace,getSystemNamespace,addNamespace,addConfigured,getMatcher,addMatcher,addConfigured,getRepositoryCacheManager,addRepositoryCacheManager,getRepositoryCacheManagers,addConfigured,getReportOutputter,addReportOutputter,getReportOutputters,addConfigured,getVersionMatcher,addVersionMatcher,getVersionMatchers,getVersionMatcher,configureDefaultVersionMatcher,getCircularDependencyStrategy,getCircularDependencyStrategy,setCircularDependencyStrategy,addConfigured,addCircularDependencyStrategy,configureDefaultCircularDependencyStrategies,getStatusManager,setStatusManager,getIgnorableFilenames,filterIgnore,isCheckUpToDate,setCheckUpToDate,doValidate,setValidate,getVariable,getDefaultConflictManager,setDefaultConflictManager,getDefaultLatestStrategy,setDefaultLatestStrategy,getDefaultLockStrategy,setDefaultLockStrategy,getDefaultRepositoryCacheManager,setDefaultRepositoryCacheManager,getResolutionCacheManager,setResolutionCacheManager,addTrigger,getTriggers,addConfigured,isUseRemoteConfig,setUseRemoteConfig,logModulesInUse,logModuleWhenFound,logResolvedRevision,debugConflictResolution,debugLocking,dumpMemoryUsage,logNotConvertedExclusionRule,setLogNotConvertedExclusionRule,init,getInterruptTimeout,getResolvers,getResolverNames,getMatcherNames,getVariableContainer,setVariableContainer,getRelativeUrlResolver,setDefaultCacheIvyPattern,getDefaultCacheIvyPattern,setDefaultCacheArtifactPattern,getDefaultCacheArtifactPattern,setDefaultUseOrigin,isDefaultUseOrigin,useDeprecatedUseOrigin,validate,validateAll,getContextNamespace,addConfigured,getPackingRegistry"
OBRXMLWriter,src\java\org\apache\ivy\osgi\obr\xml\OBRXMLWriter.java,org.apache.ivy.osgi.obr.xml,"newHandler,writeManifests,writeBundles,saxBundleInfo,saxCapability,saxCapabilityProperty,saxCapabilityProperty,saxRequirement,buildFilter,appendVersion,addAttr,addAttr,startElement,endElement,characters"
ArtifactReportManifestIterable,src\java\org\apache\ivy\osgi\repo\ArtifactReportManifestIterable.java,org.apache.ivy.osgi.repo,"ArtifactReportManifestIterable,iterator"
FSManifestIterable,src\java\org\apache\ivy\osgi\repo\FSManifestIterable.java,org.apache.ivy.osgi.repo,"FSManifestIterable,getDirFilter,setDirFilter,getBundleFilter,setBundleFilter,buildBundleURI,getInputStream,listBundleFiles,listDirs"
ManifestAndLocation,src\java\org\apache\ivy\osgi\repo\ManifestAndLocation.java,org.apache.ivy.osgi.repo,"ManifestAndLocation,getUri,getManifest,getSourceURI"
ResolverManifestIterable,src\java\org\apache\ivy\osgi\repo\ResolverManifestIterable.java,org.apache.ivy.osgi.repo,"ResolverManifestIterable,iterator"
BasicResolver,src\java\org\apache\ivy\plugins\resolver\BasicResolver.java,org.apache.ivy.plugins.resolver,"BasicResolver,getWorkspaceName,setWorkspaceName,isEnvDependent,setEnvDependent,getDependency,shouldReturnResolvedModule,checkForcedResolvedModuleRevision,cacheModuleDescriptor,checkNotConvertedExclusionRule,resolveAndCheckPublicationDate,checkModuleDescriptorRevision,getAndCheckIsDynamic,checkRevision,resolveAndCheckRevision,getRevision,parse,getRMDParser,getDefaultRMDParser,checkDescriptorConsistency,findResource,filterNames,clearIvyAttempts,logIvyAttempt,logArtifactAttempt,logAttempt,reportFailure,reportFailure,acceptLatest,download,clearArtifactAttempts,download,getResource,exists,locate,getPublicationDate,toString,listTokenValues,listOrganisations,listModules,listRevisions,findNames,findFirstArtifactRef,getAndCheck,check,getArtifactRef,doFindArtifactRef,findArtifactRef,get,isCheckconsistency,setCheckconsistency,setForce,isForce,isAllownomd,setAllownomd,setDescriptor,getChecksumAlgorithms,setChecksums"
Message,src\java\org\apache\ivy\util\Message.java,org.apache.ivy.util,"getDefaultLogger,setDefaultLogger,getLogger,showInfo,debug,verbose,info,rawinfo,deprecated,warn,error,log,getProblems,sumupProblems,progress,endProgress,endProgress,isShowProgress,setShowProgress,Message,debug,verbose,info,warn,error,debug"
IvyCacheTask,src\java\org\apache\ivy\ant\IvyCacheTask.java,org.apache.ivy.ant,"getArtifactReports,getAllArtifactReports"
AntMessageLogger,src\java\org\apache\ivy\ant\AntMessageLogger.java,org.apache.ivy.ant,"register,AntMessageLogger,log,rawlog,doProgress,doEndProgress,toString"
VersionTest,test\java\org\apache\ivy\osgi\util\VersionTest.java,org.apache.ivy.osgi.util,"testParsing,testCompareTo"
Version,src\java\org\apache\ivy\osgi\util\Version.java,org.apache.ivy.osgi.util,"Version,Version,Version,Version,ensureSplitted,ensureToString,toString,hashCode,equals,withNudgedPatch,withoutQualifier,qualifier,compareUnqualified,compareTo"
