id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
22,org.apache.ivy.plugins.repository.Resource.clone(String),24,5,7,0,0
23,"org.apache.ivy.core.module.descriptor.DefaultArtifact.cloneWithAnotherType(Artifact, String)",31,2,1,5,9
24,org.apache.ivy.core.resolve.ResolveOptions.isRefresh(),653,15,97,0,0
25,org.apache.ivy.core.event.publish.PublishEvent.getData(),1,0,0,0,0
26,org.apache.ivy.ant.IvyDependencyTree.doExecute(),311,0,0,20,47
27,"org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map)",35,2,10,3,9
28,org.apache.ivy.core.module.descriptor.ModuleDescriptor.getModuleRevisionId(),1714,10,552,0,0
29,org.apache.ivy.core.retrieve.RetrieveOptions.setDestIvyPattern(String),715,15,189,0,0
30,org.apache.ivy.util.CopyProgressListener.progress(CopyProgressEvent),6,2,4,0,0
31,org.apache.ivy.osgi.util.DelegatingHandler.error(SAXParseException),2,0,0,1,1
32,"org.apache.ivy.Ivy.deliver(ModuleRevisionId, String, String)",251,0,0,15,55
33,"org.apache.ivy.plugins.resolver.BasicResolver.findArtifactRef(Artifact, Date)",23,5,12,0,0
34,org.apache.ivy.util.MessageLoggerEngine.peekLogger(),33,3,15,2,2
35,"org.apache.ivy.osgi.util.DelegatingHandler.doIgnorableWhitespace(char[], int, int)",2,1,1,0,0
36,org.apache.ivy.osgi.p2.PropertiesParser.PropertyHandler.handleAttributes(Attributes),1,0,0,0,0
37,org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.addExtraInfos(List),399,12,105,2,3
38,org.apache.ivy.core.resolve.VisitNode.getResolvedId(),471,14,92,2,4
39,org.apache.ivy.core.resolve.IvyNode.getDescriptor(),794,13,160,0,0
40,org.apache.ivy.plugins.repository.vsftp.VsftpRepository.dirExists(String),46,2,1,8,14
41,org.apache.ivy.core.report.ArtifactDownloadReport.getArtifactOrigin(),891,13,182,0,0
42,org.apache.ivy.plugins.conflict.LatestConflictManager.toString(),1,0,0,0,0
43,org.apache.ivy.ant.IvyCachePath.setOsgi(boolean),1,0,0,0,0
44,org.apache.ivy.plugins.parser.m2.PomDependencyMgt.getExcludedModules(),399,12,102,0,0
45,org.apache.ivy.osgi.p2.P2MetadataParser.namespace2Type(String),20,5,6,0,0
46,org.apache.ivy.ant.AntCallTrigger.setPrefix(String),1,0,0,0,0
47,"org.apache.ivy.Ivy14.resolve(URL, String, String[], File, Date, boolean, boolean, boolean, boolean, Filter)",654,0,0,15,100
48,org.apache.ivy.plugins.repository.vsftp.VsftpRepository.mkdirs(String),188,12,46,8,14
49,org.apache.ivy.osgi.p2.P2MetadataParser.RepositoryHandler.RepositoryHandler(P2Descriptor),25,1,1,5,8
50,org.apache.ivy.ant.IvyPostResolveTask.getBranch(),124,10,33,0,0
51,org.apache.ivy.osgi.repo.EditableRepoDescriptor.getBaseUri(),50,6,30,0,0
52,org.apache.ivy.plugins.repository.vsftp.VsftpRepository.get.(Anon_1).run(),47,0,0,8,16
53,org.apache.ivy.plugins.parser.ParserSettings.substitute(String),20,5,6,0,0
54,org.apache.ivy.plugins.resolver.AbstractResolver.getChangingMatcherName(),40,7,16,0,0
55,org.apache.ivy.osgi.util.DelegatingHandler.doEndDocument(),2,1,1,0,0
