method,pattern,space
"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float)",HotExec,"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float); org.apache.pdfbox.examples.pdmodel.Annotation.main(String[])"
"org.apache.pdfbox.pdfwriter.COSStandardOutputStream.write(byte[], int, int)",FreqExec,"org.apache.pdfbox.pdfwriter.COSStandardOutputStream.write(byte[], int, int); java.io.FilterOutputStream.write(byte[]); org.apache.pdfbox.pdfwriter.COSWriter.visitFromStream(COSStream); org.apache.pdfbox.pdfwriter.COSStandardOutputStream_ESTest.test04(); org.apache.pdfbox.pdfwriter.COSStandardOutputStream_ESTest.test15(); org.apache.pdfbox.pdfwriter.COSStandardOutputStream_ESTest.test14(); org.apache.pdfbox.pdfwriter.COSStandardOutputStream_ESTest.test17()"
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getAction(),HotExec,org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getAction()
"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float); org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition); org.apache.pdfbox.pdmodel.font.PDFont.drawString(String, Graphics, float, AffineTransform, float, float); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test49(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test10(); org.apache.pdfbox.pdmodel.font.PDSimpleFont_ESTest.test13(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test45(); org.apache.pdfbox.pdmodel.font.PDSimpleFont_ESTest.test26(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test02()"
org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(),FreqExec,org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(); org.apache.pdfbox.pdmodel.PDPage.findParentCropBox(PDPageNode)
org.apache.pdfbox.util.PDFStreamEngine.PDFStreamEngine(Properties),HotCallee,org.apache.pdfbox.util.PDFStreamEngine.PDFStreamEngine(Properties)
org.apache.pdfbox.io.PushBackInputStream.read(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.read(); org.apache.pdfbox.io.PushBackInputStream.peek(); org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(); org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(); org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean); org.apache.pdfbox.pdfparser.BaseParser.readString(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(); org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(); org.apache.pdfbox.pdfparser.BaseParser.readLine(); org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess); org.apache.pdfbox.pdfparser.BaseParser.readString(int); org.apache.pdfbox.pdfparser.PDFParser.parseObject(); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.readPattern(char[]); org.apache.pdfbox.pdfparser.BaseParser.readExpectedString(String)"
"org.apache.pdfbox.util.operator.ShowText.process(PDFOperator, List<COSBase>)",FreqExec,"org.apache.pdfbox.util.operator.ShowText.process(PDFOperator, List<COSBase>); org.apache.pdfbox.util.PDFStreamEngine.processOperator(PDFOperator, List<COSBase>); org.apache.pdfbox.util.operator.ShowText_ESTest.test2(); org.apache.pdfbox.util.operator.ShowText_ESTest.test1(); org.apache.pdfbox.util.operator.ShowText_ESTest.test0(); org.apache.pdfbox.util.operator.ShowText_ESTest.test3()"
"org.apache.pdfbox.util.DateConverter.parseTimeField(String, ParsePosition, int, int)",FreqExec,"org.apache.pdfbox.util.DateConverter.parseTimeField(String, ParsePosition, int, int); org.apache.pdfbox.util.DateConverter.parseBigEndianDate(String, ParsePosition); org.apache.pdfbox.util.DateConverter.parseTZoffset(String, GregorianCalendar, ParsePosition); org.apache.pdfbox.util.DateConverter_ESTest.test39(); org.apache.pdfbox.util.DateConverter_ESTest.test15(); org.apache.pdfbox.util.DateConverter_ESTest.test54(); org.apache.pdfbox.util.DateConverter_ESTest.test36(); org.apache.pdfbox.util.DateConverter_ESTest.test37(); org.apache.pdfbox.util.DateConverter_ESTest.test38()"
"org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.decode(byte[], byte[])",FreqExec,"org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.decode(byte[], byte[]); org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.main(String[])"
