method,Time,Count
org.apache.pdfbox.util.PDFStreamEngine.processSubStream(COSStream),72132,67
"org.apache.pdfbox.util.PDFStreamEngine.processOperator(PDFOperator, List)",53663,162271
sun.java2d.SunGraphics2D.setClip(Shape),40862,34592
"java.lang.String.format(String, Object[])",28394,335774
org.apache.fontbox.afm.AFMParser.readString(),25545,153626
org.apache.pdfbox.pdfparser.PDFStreamParser$1.hasNext(),22472,681062
org.apache.pdfbox.pdfparser.PDFStreamParser$1.tryNext(),22375,1362057
org.apache.pdfbox.pdfviewer.PageDrawer.fillPath(int),22202,18124
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),21988,681274
org.apache.pdfbox.util.PDFStreamEngine.processEncodedText(byte[]),21624,7393
org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition),20780,15184
"org.apache.fontbox.ttf.GlyfCompositeDescript.<init>(TTFDataStream, GlyphTable)",17974,23
java.lang.StringBuffer.append(char),15993,22563960
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.appendChild(PDOutlineItem),15790,5
org.apache.fontbox.ttf.GlyfCompositeComp.<init>(TTFDataStream),14688,3579582
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling(),14410,8005985
java.lang.ClassLoader.loadClass(String),11949,10026
org.apache.fontbox.ttf.MemoryTTFDataStream.readSignedShort(),8843,14326513
org.apache.pdfbox.io.PushBackInputStream.read(),8373,10066324
org.apache.pdfbox.io.PushBackInputStream.peek(),8128,4299134
org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),7816,8043545
"org.apache.pdfbox.util.operator.ShowTextGlyph.process(PDFOperator, List)",7433,227
java.util.regex.Matcher.matches(),6592,45910
sun.print.Win32PrintServiceLookup$PrinterChangeListener.run(),6106,1
"org.apache.pdfbox.filter.LZWFilter.encode(InputStream, OutputStream, COSDictionary, int)",4761,20
org.apache.pdfbox.filter.LZWDictionary.visit(byte),4625,1369864
org.apache.fontbox.ttf.MemoryTTFDataStream.read(),3885,36622219
org.apache.pdfbox.pdmodel.graphics.xobject.CompositeImage.createMaskedImage(COSArray),3794,4
java.io.ByteArrayInputStream.read(),3484,21527424
java.lang.StringBuilder.append(String),3311,2304181
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.<init>(COSDictionary),3116,8006002
org.apache.fontbox.ttf.MemoryTTFDataStream.readUnsignedShort(),3017,3747756
"java.awt.image.BufferedImage.getRGB(int, int)",2945,1152162
java.lang.String.charAt(int),2882,28277125
java.util.ArrayList.add(Object),2876,4482709
