method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage.getMask(),6,153,9,33,2,2
org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.getWidth(),0,23,2,14,0,0
"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float)",10,406,8,86,14,46
org.apache.pdfbox.pdmodel.common.PDStream.getFile(),12,6,0,0,2,3
org.apache.pdfbox.pdmodel.edit.PDPageContentStream.appendCOSName(COSName),2,7,2,2,2,1
org.apache.pdfbox.pdmodel.encryption.SecurityHandlersManager.getInstance(),0,224,9,58,3,2
org.apache.pdfbox.preflight.font.descriptor.Type1DescriptorHelper.checkMandatoryFields(COSDictionary),12,22,0,0,4,6
org.apache.pdfbox.pdmodel.interactive.form.PDField.getFullyQualifiedName(),5,106,8,13,6,17
org.apache.pdfbox.pdmodel.interactive.measurement.PDMeasureDictionary.PDMeasureDictionary(COSDictionary),0,9,4,2,0,0
org.apache.pdfbox.io.PushBackInputStream.read(),0,221,7,88,0,0
org.apache.pdfbox.pdfwriter.ContentStreamWriter.writeTokens(List),2,383,10,74,4,14
org.apache.pdfbox.examples.pdmodel.HelloWorldType1AfmPfb.main(String[]),12,247,0,0,16,54
"org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.decode(byte[], byte[])",12,14,3,6,2,3
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.setStartPointEndingStyle(String),12,14,0,0,3,7
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner.pageHeight(float),6,40,5,13,0,0
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationTextMarkup.PDAnnotationTextMarkup(COSDictionary),2,29,5,11,2,1
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.writeXML(Writer),12,69,7,4,8,12
org.apache.pdfbox.ExtractText.startProcessing(String),11,517,11,115,0,0
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),4,696,11,119,6,7
org.apache.pdfbox.pdmodel.PDPage.setRotation(int),3,433,12,104,3,2
org.apache.pdfbox.pdmodel.interactive.digitalsignature.SignatureOptions.setPage(int),8,161,8,53,0,0
"org.apache.pdfbox.pdfwriter.COSStandardOutputStream.write(byte[], int, int)",12,80,7,20,2,2
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.setBaselineShift(float),12,35,0,0,8,12
org.apache.pdfbox.pdmodel.PDPage.convertToImage(),12,140,1,1,11,36
"org.apache.pdfbox.pdmodel.graphics.predictor.Paeth.decodeLine(byte[], byte[], int, int, int, int)",12,7,0,0,1,6
org.apache.pdfbox.pdmodel.PDDestinationNameTreeNode.convertCOSToPD(COSBase),12,16,0,0,3,12
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler.computeRevisionNumber(),12,58,5,29,3,4
org.apache.pdfbox.preflight.xobject.XObjFormValidator.checkSubtype2Value(),12,121,12,26,5,6
org.apache.pdfbox.pdmodel.PDDocumentInformation.setKeywords(String),12,5,0,0,3,2
org.apache.pdfbox.pdmodel.encryption.AccessPermission.AccessPermission(byte[]),12,19,7,8,0,0
org.apache.pdfbox.examples.pdmodel.CreateBlankPDF.create(String),12,50,2,1,5,20
org.apache.pdfbox.pdmodel.PDPage.equals(Object),12,2,0,0,1,1
"org.apache.pdfbox.cos.COSDictionary.getEmbeddedString(String, COSName, String)",5,18,1,3,5,3
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDPropBuild.getCOSObject(),12,2,0,0,1,1
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder.token(String),12,9,1,1,1,7
org.apache.pdfbox.pdmodel.PDPage.getActions(),12,7,0,0,2,4
"org.apache.pdfbox.io.ccitt.PackedBitArray.clearBits(int, int)",1,7,3,2,1,1
org.apache.pdfbox.pdmodel.fdf.FDFField.getOptions(),12,14,0,0,3,6
org.apache.pdfbox.pdmodel.interactive.form.PDField.getKids(),4,143,8,26,4,19
org.apache.pdfbox.examples.pdmodel.AddMessageToEachPage.main(String[]),12,235,0,0,16,46
org.apache.pdfbox.pdmodel.common.function.PDFunction.PDFunction(COSBase),7,56,10,11,2,3
"org.apache.pdfbox.util.operator.SetStrokingICCBasedColor.process(PDFOperator, List)",12,13,0,0,5,6
org.apache.pdfbox.ExportFDF.main(String[]),12,111,0,0,8,37
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLink.getHighlightMode(),12,14,0,0,5,4
org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSigProperties.buildSignature(),12,370,13,58,8,52
"org.apache.pdfbox.preflight.action.GoToAction.GoToAction(ActionManagerFactory, COSDictionary, PreflightContext, String)",4,23,5,9,1,1
org.apache.pdfbox.pdmodel.interactive.measurement.PDViewportDictionary.getName(),12,13,0,0,4,4
