method,Time,OwnTime,count
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),0,0,42
org.apache.pdfbox.pdmodel.PDPage.setRotation(int),0,0,13
org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement_ESTest.test85(),0,0,1
org.apache.pdfbox.preflight.font.descriptor.Type1DescriptorHelper.checkMandatoryFields(COSDictionary),0,0,1
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem_ESTest.test12(),0,0,1
org.apache.pdfbox.io.ASCII85InputStream_ESTest.test03(),0,0,1
org.apache.pdfbox.preflight.PreflightConfiguration_ESTest.test08(),0,0,1
org.apache.xmpbox.type.TypeMapping.initialize(),1906,30,1181
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext_ESTest.notGeneratedAnyTest(),0,0,1
org.apache.pdfbox.pdmodel.interactive.form.PDVariableText_ESTest.test13(),0,0,1
org.apache.xmpbox.type.ResourceRefType_ESTest.test10(),3,0,1
org.apache.xmpbox.type.ResourceRefType_ESTest.test56(),1,0,1
org.apache.pdfbox.preflight.process.TrailerValidationProcess_ESTest.test00(),0,0,1
org.apache.pdfbox.util.operator.SetStrokingCMYKColor.<init>(),0,0,22
"org.apache.jempbox.xmp.XMPSchema.setLanguageProperty(String, String, String)",1,0,23
org.apache.pdfbox.pdfviewer.MapEntry_ESTest.test6(),0,0,1
org.apache.pdfbox.preflight.process.PageTreeValidationProcess.<init>(),0,0,3
org.apache.xmpbox.schema.PDFAIdentificationSchema.<init>(XMPMetadata),0,0,50
org.apache.pdfbox.pdmodel.graphics.color.PDICCBased_ESTest.test17(),0,0,1
"org.apache.lucene.store.FSDirectory$FSIndexInput.readInternal(byte[], int, int)",0,0,8
org.apache.pdfbox.pdfparser.ConformingPDFParser_ESTest.test02(),0,0,1
org.apache.pdfbox.pdmodel.font.PDTrueTypeFont_ESTest.test11(),3,0,1
org.apache.jempbox.xmp.XMPSchemaRightsManagement_ESTest.test10(),0,0,1
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_ESTest.test39(),0,0,1
org.apache.pdfbox.cos.COSNumber_ESTest.test13(),0,0,1
"java.util.SimpleTimeZone.<init>(int, String)",0,0,243
org.apache.pdfbox.util.ResourceLoader_ESTest.test09(),0,0,1
java.lang.Iterable.spliterator(),3,3,10
org.apache.jempbox.xmp.XMPSchemaPDF_ESTest.<init>(),0,0,19
org.apache.lucene.index.StoredFieldsWriter.<clinit>(),0,0,1
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN_ESTest.test08(),0,0,1
java.math.BigDecimal.floatValue(),5,5,987
org.apache.pdfbox.pdmodel.interactive.form.PDAcroForm_ESTest.test04(),0,0,1
"java.lang.StringBuilder.insert(int, char[], int, int)",0,0,1
org.apache.pdfbox.pdmodel.font.PDCIDFontType2Font_ESTest.test02(),0,0,1
org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler_ESTest.test25(),0,0,1
org.apache.pdfbox.preflight.font.container.CIDType2Container_ESTest.test3(),0,0,1
org.apache.xmpbox.type.PDFATypeType.<init>(XMPMetadata),0,0,19
org.apache.pdfbox.pdmodel.common.function.PDFunction.getDictionary(),0,0,113
org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValue_ESTest.test50(),0,0,1
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.setBaselineShift(float),0,0,4
org.apache.pdfbox.pdfwriter.COSFilterInputStream_ESTest.test04(),0,0,1
org.apache.pdfbox.cos.COSNull_ESTest.test0(),0,0,1
"org.apache.log4j.helpers.OptionConverter.getSystemProperty(String, String)",0,0,8
org.apache.pdfbox.pdmodel.graphics.PDGraphicsState_ESTest.<init>(),0,0,76
org.apache.pdfbox.pdmodel.common.COSStreamArray_ESTest.test18(),0,0,1
org.apache.pdfbox.preflight.font.container.FontContainer_ESTest.test00(),0,0,1
java.awt.Toolkit.getDefaultToolkit(),103,103,2301
java.lang.StringBuilder.append(String),2976,2976,2035779
org.apache.xmpbox.schema.XMPSchema_ESTest.test044(),1,0,1
org.apache.pdfbox.util.operator.SetStrokingColor_ESTest.<init>(),0,0,1
org.apache.jempbox.xmp.Thumbnail_ESTest.test01(),2,0,1
org.apache.pdfbox.preflight.font.TrueTypeFontValidator.checkEncoding(),0,0,5
org.apache.lucene.store.BufferedIndexInput.<clinit>(),0,0,1
org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test17(),0,0,1
org.apache.pdfbox.cos.COSArray_ESTest.test55(),0,0,1
org.apache.pdfbox.pdmodel.font.PDFontDescriptor_ESTest.test019(),0,0,1
org.apache.pdfbox.pdmodel.PDPage.convertToImage(),124,0,10
org.apache.pdfbox.preflight.font.Type0FontValidator.checkCMapEncoding(COSBase),3,0,4
org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitRectangleDestination_ESTest.test02(),0,0,1
org.apache.jempbox.xmp.ResourceEvent.getManagerTo(),0,0,1
"org.apache.pdfbox.pdmodel.graphics.predictor.Paeth.decodeLine(byte[], byte[], int, int, int, int)",1,0,48
org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage_ESTest.test18(),10,0,1
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation_ESTest.test73(),0,0,1
org.apache.pdfbox.pdmodel.PDDestinationNameTreeNode.convertCOSToPD(COSBase),0,0,5
