method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
org.apache.cxf.message.MessageImpl.MessageImpl(),0,6265,19,1880,2,1,436,1,0,0,0,2164,1.0,1.0,0.3584905660377358,1.0,0.00796812749003984,1e-13,0.6449704142011834,0.0136986301369863,1e-13,1e-13,1e-13,0.01095378444896843,0.972950075875116
org.apache.cxf.BusFactory.setDefaultBus(Bus),1,5412,18,1259,9,2,676,5,0,22,0,1612,0.9565217391304348,0.8638250319284803,0.33962264150943394,0.6696808510638298,0.035856573705179286,0.008547008547008548,1.0,0.0684931506849315,1e-13,0.0002593116454502593,1e-13,0.00815836650360062,0.9299919124954885
org.apache.cxf.bus.spring.SpringBusFactory.SpringBusFactory(),0,4891,17,1159,3,1,669,2,0,0,0,239,1.0,0.7806513409961686,0.32075471698113206,0.6164893617021276,0.01195219123505976,1e-13,0.9896449704142012,0.0273972602739726,1e-13,1e-13,1e-13,0.0012052707807926428,0.8852727393045439
org.apache.cxf.common.util.StringUtils.isEmpty(String),0,5331,19,1379,11,4,324,3,1,87,54,183127,1.0,0.8508939974457216,0.3584905660377358,0.7335106382978723,0.043824701195219126,0.02564102564102564,0.47928994082840237,0.0410958904109589,0.1111111111111111,0.0010254596888260256,0.05549845837615622,0.927379903375771,0.8759163342826759
"org.apache.cxf.jaxrs.utils.JAXRSUtils.findTargetMethod(Map<ClassResourceInfo, MultivaluedMap>, Message, String, MultivaluedMap<String, String>, String, List<MediaType>, boolean)",6,620,25,119,145,28,21,58,4,179,4,89,0.7391304347826086,0.09881864623243934,0.4716981132075472,0.06329787234042553,0.5776892430278885,0.23076923076923078,0.03106508875739645,0.7945205479452054,0.4444444444444444,0.00210985384252711,0.0041109969167523125,0.0004456463391166074,0.7589339776295883
org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage),5,807,22,168,117,22,19,73,3,731,2,222,0.782608695652174,0.12867177522349937,0.41509433962264153,0.08936170212765958,0.46613545816733065,0.1794871794871795,0.028106508875739646,1.0,0.3333333333333333,0.008616218764733617,0.0020554984583761563,0.0011191800107360254,0.7553466241292102
org.apache.cxf.message.ExchangeImpl.ExchangeImpl(),0,5021,19,1238,2,1,150,1,0,0,0,1188,1.0,0.801404853128991,0.3584905660377358,0.6585106382978724,0.00796812749003984,1e-13,0.22189349112426035,0.0136986301369863,1e-13,1e-13,1e-13,0.006011161415129693,0.7533135641164471
org.apache.cxf.bus.spring.SpringBusFactory.createBus(String),1,3589,22,721,3,1,495,3,0,32500,0,226,0.9565217391304348,0.5727969348659003,0.41509433962264153,0.38351063829787235,0.01195219123505976,1e-13,0.7322485207100592,0.0410958904109589,1e-13,0.38307402168788307,1e-13,0.0011394366625140531,0.7390402334504678
org.apache.cxf.frontend.ClientProxy.getClient(Object),1,4393,18,1105,3,1,251,3,0,0,0,27,0.9565217391304348,0.7011494252873564,0.33962264150943394,0.5877659574468085,0.01195219123505976,1e-13,0.371301775147929,0.0410958904109589,1e-13,1e-13,1e-13,0.00013166823655717946,0.731134912202338
org.apache.cxf.BusFactory.setThreadDefaultBus(Bus),3,3882,21,741,19,4,387,7,0,0,0,192,0.8695652173913043,0.6195721583652618,0.39622641509433965,0.3941489361702128,0.07569721115537849,0.02564102564102564,0.5724852071005917,0.0958904109589041,1e-13,1e-13,1e-13,0.0009672551224008184,0.7238209527264797
