hash,author,date,title,file,methods
5c7031e8f5,Colm O hEigeartaigh,2017-07-24 17:06:45,Fixing some whitespace issues with log messages in the STS,services/sts/sts-core/src/main/java/org/apache/cxf/sts/token/provider/SAMLTokenProvider.java,"createCallbackHandler(TokenProviderParameters,byte[],RealmProperties,Document)->createCallbackHandler(TokenProviderParameters,byte[],RealmProperties,Document)"
1502f6ca31,Sergey Beryozkin,2017-07-24 15:49:21,Keeping ParseConfiguration emptu for now,rt/rs/description-swagger/src/main/java/org/apache/cxf/jaxrs/swagger/parse/ParseConfiguration.java,"getDocLocation()->[None]; ParseConfiguration(String,Bus)->[None]; setDocLocation(String)->[None]; setBus(Bus)->[None]; getBus()->[None]"
1502f6ca31,Sergey Beryozkin,2017-07-24 15:49:21,Keeping ParseConfiguration emptu for now,rt/rs/description-swagger/src/main/java/org/apache/cxf/jaxrs/swagger/parse/SwaggerParseUtils.java,"getUserApplicationFromJson(String)->getUserApplicationFromJson(String); getUserApplication(String,Bus)->getUserApplication(String,Bus); getUserApplication(ParseConfiguration)->[None]; [None]->getUserApplicationFromStream(InputStream,ParseConfiguration); [None]->getUserApplication(String,Bus,ParseConfiguration); getUserApplicationFromStream(InputStream)->getUserApplicationFromStream(InputStream); [None]->getUserApplicationFromJson(String,ParseConfiguration)"
f33f5f5bff,Sergey Beryozkin,2017-07-24 15:35:51,"Renaming SwaggerUtils to SwaggerParseUtils, moving it to swagger.parse subpackage, introducing ParseConfiguration (to be enhanced)",rt/rs/description-swagger/src/main/java/org/apache/cxf/jaxrs/swagger/parse/ParseConfiguration.java,
f33f5f5bff,Sergey Beryozkin,2017-07-24 15:35:51,"Renaming SwaggerUtils to SwaggerParseUtils, moving it to swagger.parse subpackage, introducing ParseConfiguration (to be enhanced)",rt/rs/description-swagger/src/main/java/org/apache/cxf/jaxrs/swagger/parse/SwaggerParseUtils.java,
f33f5f5bff,Sergey Beryozkin,2017-07-24 15:35:51,"Renaming SwaggerUtils to SwaggerParseUtils, moving it to swagger.parse subpackage, introducing ParseConfiguration (to be enhanced)",rt/rs/description-swagger/src/test/java/org/apache/cxf/jaxrs/swagger/parse/SwaggerParseUtilsTest.java,
f33f5f5bff,Sergey Beryozkin,2017-07-24 15:35:51,"Renaming SwaggerUtils to SwaggerParseUtils, moving it to swagger.parse subpackage, introducing ParseConfiguration (to be enhanced)",systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/description/AbstractSwagger2ServiceDescriptionTest.java,doTestApiListingIsProperlyReturnedJSON()->doTestApiListingIsProperlyReturnedJSON()
fd16ded598,Sergey Beryozkin,2017-07-23 18:10:11,Completing the initial testing of pet shop resource,rt/rs/description-swagger/src/test/java/org/apache/cxf/jaxrs/swagger/SwaggerUtilsTest.java,verifyPetResource(UserResource)->verifyPetResource(UserResource)
29b273dcc2,reta,2017-07-22 14:42:02,CXF-7085: Introduce support for Server Sent Events (Client). Added SSE client sample. Included SSE module into distribution archive.,distribution/src/main/release/samples/jax_rs/sse_client/src/main/java/demo/jaxrs/sse/Stats.java,
29b273dcc2,reta,2017-07-22 14:42:02,CXF-7085: Introduce support for Server Sent Events (Client). Added SSE client sample. Included SSE module into distribution archive.,distribution/src/main/release/samples/jax_rs/sse_client/src/main/java/demo/jaxrs/sse/StatsClient.java,
29b273dcc2,reta,2017-07-22 14:42:02,CXF-7085: Introduce support for Server Sent Events (Client). Added SSE client sample. Included SSE module into distribution archive.,distribution/src/main/release/samples/jax_rs/sse_client/src/main/java/demo/jaxrs/sse/StatsRestServiceImpl.java,
