method,LOC,Cyclomatic,FanIn,FanOut
demo.hw.server.GreeterImpl.greetMe(String),6,1,3,3
demo.hw.server.GreeterImpl.greetMeOneWay(String),5,1,3,2
demo.hw.server.GreeterImpl.sayHi(),5,1,2,3
demo.hw.server.GreeterImpl.pingMe(),8,1,2,4
"org.apache.cxf.rs.security.oauth2.grants.jwt.JwtUserSubject.JwtUserSubject(String, JwtToken)",4,1,3,3
org.apache.cxf.rs.security.oauth2.grants.jwt.JwtUserSubject.getToken(),3,1,1,1
org.apache.cxf.rs.security.jose.jwt.JwtToken.JwtToken(JwtClaims),3,1,35,4
"org.apache.cxf.rs.security.jose.jwt.JwtToken.JwtToken(JwsHeaders, JwtClaims)",3,1,12,3
"org.apache.cxf.rs.security.jose.jwt.JwtToken.JwtToken(JweHeaders, JwtClaims)",3,1,4,3
"org.apache.cxf.rs.security.jose.jwt.JwtToken.JwtToken(JwsHeaders, JweHeaders, JwtClaims)",5,1,7,4
org.apache.cxf.rs.security.jose.jwt.JwtToken.getJwsHeaders(),3,1,15,1
org.apache.cxf.rs.security.jose.jwt.JwtToken.getJweHeaders(),3,1,3,1
org.apache.cxf.rs.security.jose.jwt.JwtToken.getClaims(),3,1,32,1
org.apache.cxf.rs.security.jose.jwt.JwtToken.getJwsHeader(String),3,1,4,2
org.apache.cxf.rs.security.jose.jwt.JwtToken.getJweHeader(String),3,1,2,2
org.apache.cxf.rs.security.jose.jwt.JwtToken.getClaim(String),3,1,45,2
org.apache.cxf.rs.security.jose.jwt.JwtToken.hashCode(),3,1,3,2
org.apache.cxf.rs.security.jose.jwt.JwtToken.equals(Object),6,1,4,2
org.apache.cxf.rs.security.oauth2.common.UserSubject.UserSubject(),3,1,5,3
org.apache.cxf.rs.security.oauth2.common.UserSubject.UserSubject(String),4,1,16,3
"org.apache.cxf.rs.security.oauth2.common.UserSubject.UserSubject(String, List<String>)",5,1,5,4
"org.apache.cxf.rs.security.oauth2.common.UserSubject.UserSubject(String, String)",4,2,6,4
"org.apache.cxf.rs.security.oauth2.common.UserSubject.UserSubject(String, String, List<String>)",5,2,4,5
org.apache.cxf.rs.security.oauth2.common.UserSubject.UserSubject(UserSubject),5,1,3,9
org.apache.cxf.rs.security.oauth2.common.UserSubject.newId(),3,1,3,3
org.apache.cxf.rs.security.oauth2.common.UserSubject.getLogin(),3,1,26,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.setLogin(String),3,1,3,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.getRoles(),3,1,6,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.setRoles(List<String>),3,1,3,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.getProperties(),3,1,5,1
"org.apache.cxf.rs.security.oauth2.common.UserSubject.setProperties(Map<String, String>)",3,1,2,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.getId(),3,1,13,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.setId(String),3,1,3,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.getAuthenticationMethod(),3,1,3,1
org.apache.cxf.rs.security.oauth2.common.UserSubject.setAuthenticationMethod(AuthenticationMethod),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.getJwtClaims(JWTClaimsProviderParameters),17,2,2,16
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.getSubjectName(JWTClaimsProviderParameters),19,4,4,8
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.getPrincipal(JWTClaimsProviderParameters),18,5,3,9
"org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.handleWSTrustClaims(JWTClaimsProviderParameters, JwtClaims)",17,5,3,12
"org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.handleConditions(JWTClaimsProviderParameters, JwtClaims)",53,8,9,23
"org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.handleAudienceRestriction(JWTClaimsProviderParameters, JwtClaims)",30,9,3,11
"org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.handleActAs(JWTClaimsProviderParameters, JwtClaims)",11,3,4,8
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.isUseX500CN(),3,1,1,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.setUseX500CN(boolean),3,1,1,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.getFutureTimeToLive(),3,1,1,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.setFutureTimeToLive(long),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.setLifetime(long),3,1,4,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.getLifetime(),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.setMaxLifetime(long),3,1,3,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.getMaxLifetime(),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.isAcceptClientLifetime(),3,1,1,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.setAcceptClientLifetime(boolean),3,1,8,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.isFailLifetimeExceedance(),3,1,2,1
org.apache.cxf.sts.token.provider.jwt.DefaultJWTClaimsProvider.setFailLifetimeExceedance(boolean),3,1,2,1
org.apache.cxf.common.logging.LogUtils.LogUtils(),2,1,0,1
org.apache.cxf.common.logging.LogUtils.setLoggerClass(Class<? extends AbstractDelegatingLogger>),3,1,2,1
org.apache.cxf.common.logging.LogUtils.getLogger(Class<?>),3,1,2,3
"org.apache.cxf.common.logging.LogUtils.getLogger(Class<?>, String)",3,1,2,3
"org.apache.cxf.common.logging.LogUtils.getLogger(Class<?>, String, String)",5,1,7,2
org.apache.cxf.common.logging.LogUtils.getL7dLogger(Class<?>),3,1,8,3
"org.apache.cxf.common.logging.LogUtils.getL7dLogger(Class<?>, String)",3,1,2,3
"org.apache.cxf.common.logging.LogUtils.getL7dLogger(Class<?>, String, String)",5,1,15,2
"org.apache.cxf.common.logging.LogUtils.createLogger(Class<?>, String, String)",72,16,13,15
org.apache.cxf.common.logging.LogUtils.setContextClassLoader(ClassLoader),13,2,2,4
org.apache.cxf.common.logging.LogUtils.getContextClassLoader(),11,2,1,5
org.apache.cxf.common.logging.LogUtils.getClassLoader(Class<?>),11,2,2,4
"org.apache.cxf.common.logging.LogUtils.log(Logger, Level, String, Throwable, Object)",11,2,10,4
"org.apache.cxf.common.logging.LogUtils.log(Logger, Level, String, Throwable, Object...)",11,2,5,4
"org.apache.cxf.common.logging.LogUtils.log(Logger, Level, String)",5,1,20,1
"org.apache.cxf.common.logging.LogUtils.log(Logger, Level, String, Throwable)",6,1,17,1
"org.apache.cxf.common.logging.LogUtils.log(Logger, Level, String, Object)",6,1,29,1
"org.apache.cxf.common.logging.LogUtils.log(Logger, Level, String, Object[])",13,3,9,4
"org.apache.cxf.common.logging.LogUtils.doLog(Logger, Level, String, Throwable)",20,4,8,17
"org.apache.cxf.common.logging.LogUtils.localize(Logger, String)",8,3,5,3
org.apache.cxf.rs.security.jose.jwt.JwtClaims.JwtClaims(),2,1,52,1
"org.apache.cxf.rs.security.jose.jwt.JwtClaims.JwtClaims(Map<String, Object>)",3,1,4,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setIssuer(String),3,1,55,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getIssuer(),3,1,9,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setSubject(String),3,1,48,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getSubject(),3,1,16,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setAudience(String),3,1,10,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getAudience(),8,2,4,4
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setAudiences(List<String>),3,1,42,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getAudiences(),9,3,7,4
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setExpiryTime(Long),3,1,13,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getExpiryTime(),3,1,9,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setNotBefore(Long),3,1,7,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getNotBefore(),3,1,2,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setIssuedAt(Long),3,1,49,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getIssuedAt(),3,1,8,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.setTokenId(String),3,1,4,1
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getTokenId(),3,1,2,2
"org.apache.cxf.rs.security.jose.jwt.JwtClaims.setClaim(String, Object)",4,1,19,2
org.apache.cxf.rs.security.jose.jwt.JwtClaims.getClaim(String),3,1,22,2
org.apache.cxf.sts.claims.ClaimsUtils.ClaimsUtils(),2,1,0,1
org.apache.cxf.sts.claims.ClaimsUtils.processClaims(TokenProviderParameters),32,4,4,30
org.apache.cxf.sts.claims.ProcessedClaim.ProcessedClaim(),2,1,14,1
org.apache.cxf.sts.claims.ProcessedClaim.ProcessedClaim(ProcessedClaim),6,1,5,5
org.apache.cxf.sts.claims.ProcessedClaim.getIssuer(),3,1,4,1
org.apache.cxf.sts.claims.ProcessedClaim.setIssuer(String),3,1,8,1
org.apache.cxf.sts.claims.ProcessedClaim.getOriginalIssuer(),3,1,4,1
org.apache.cxf.sts.claims.ProcessedClaim.setOriginalIssuer(String),3,1,7,1
org.apache.cxf.sts.claims.ProcessedClaim.getPrincipal(),3,1,2,1
org.apache.cxf.sts.claims.ProcessedClaim.setPrincipal(Principal),3,1,6,1
org.apache.cxf.sts.claims.ProcessedClaim.toString(),13,1,3,6
org.apache.cxf.sts.claims.ProcessedClaim.hashCode(),11,3,2,3
org.apache.cxf.sts.claims.ProcessedClaim.equals(Object),27,10,3,3
org.apache.cxf.sts.claims.ProcessedClaim.clone(),4,1,11,3
org.apache.cxf.sts.request.Lifetime.getCreated(),3,1,3,1
org.apache.cxf.sts.request.Lifetime.setCreated(String),6,2,28,3
org.apache.cxf.sts.request.Lifetime.getExpires(),3,1,3,1
org.apache.cxf.sts.request.Lifetime.setExpires(String),6,2,26,3
org.apache.cxf.sts.request.Participants.getPrimaryParticipant(),3,1,3,1
org.apache.cxf.sts.request.Participants.setPrimaryParticipant(Object),3,1,2,1
org.apache.cxf.sts.request.Participants.getParticipants(),3,1,3,1
org.apache.cxf.sts.request.Participants.setParticipants(List<Object>),3,1,2,1
org.apache.cxf.sts.request.ReceivedToken.ReceivedToken(Object),31,7,61,12
org.apache.cxf.sts.request.ReceivedToken.getToken(),3,1,33,1
org.apache.cxf.sts.request.ReceivedToken.setToken(Object),3,1,1,1
org.apache.cxf.sts.request.ReceivedToken.isBinarySecurityToken(),3,1,4,1
org.apache.cxf.sts.request.ReceivedToken.setBinarySecurityToken(boolean),3,1,1,1
org.apache.cxf.sts.request.ReceivedToken.isUsernameToken(),3,1,3,1
org.apache.cxf.sts.request.ReceivedToken.setUsernameToken(boolean),3,1,1,1
org.apache.cxf.sts.request.ReceivedToken.isDOMElement(),3,1,6,1
org.apache.cxf.sts.request.ReceivedToken.setDOMElement(boolean),3,1,1,1
org.apache.cxf.sts.request.ReceivedToken.getTokenContext(),3,1,1,1
org.apache.cxf.sts.request.ReceivedToken.setTokenContext(String),3,1,1,1
org.apache.cxf.sts.request.ReceivedToken.getState(),3,1,55,1
org.apache.cxf.sts.request.ReceivedToken.setState(STATE),3,1,25,1
org.apache.cxf.sts.request.ReceivedToken.getPrincipal(),3,1,10,1
org.apache.cxf.sts.request.ReceivedToken.setPrincipal(Principal),3,1,15,1
org.apache.cxf.sts.request.ReceivedToken.getRoles(),3,1,2,1
org.apache.cxf.sts.request.ReceivedToken.setRoles(Set<Principal>),3,1,2,1
