method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.cxf.performance.server.BenchmarkImpl.receiveDoubles(java.util.List),-1,1,0,0,0,0
org.apache.cxf.staxutils.W3CNamespaceContext.W3CNamespaceContext(),0,7,3,3,0,0
"org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtils.wrapSecretKey(Key, Key, KeyProperties)",22,264,1,1,12,58
"org.apache.cxf.staxutils.PartialXMLStreamReader.PartialXMLStreamReader(XMLStreamReader, QName)",4,644,18,113,5,2
org.apache.cxf.jaxrs.client.WebClient.create(String),10,1861,17,338,16,85
org.apache.cxf.bus.resource.ResourceManagerImpl.setResolvers(List),-1,1,0,0,0,0
org.apache.cxf.transport.jms.JMSConfigFactory.getTransactionManagerFromJndi(String),10,6,2,4,0,0
org.apache.cxf.rs.security.saml.sso.SSOValidatorResponse.getSessionNotOnOrAfter(),6,135,14,27,0,0
"org.apache.cxf.wsn.jms.JmsCreatePullPoint.JmsCreatePullPoint(String, ConnectionFactory)",2,6,1,1,3,2
org.apache.cxf.ws.security.wss4j.saml.AbstractSAMLCallbackHandler.setConfirmationMethod(String),0,1262,19,124,0,0
"org.apache.cxf.transport.https.CertificateHostnameVerifier.AbstractVerifier.check(String[], String[], String[], boolean, boolean)",0,9,2,4,1,3
org.apache.cxf.bus.osgi.OSGiBeanLocator.hasBeanOfName(String),22,2,0,0,1,1
"org.apache.cxf.jaxrs.provider.ProviderFactory.createContextResolver(Type, Message)",10,455,15,26,18,36
"org.apache.cxf.ws.rm.VersionTransformer.convert(org.apache.cxf.ws.rm.v200502.CreateSequenceType, org.apache.cxf.ws.rm.v200502.CreateSequenceType)",1,5,1,2,1,2
org.apache.cxf.staxutils.DocumentDepthProperties.isEffective(),16,34,8,8,0,0
"org.apache.cxf.xkms.x509.repo.file.FileCertificateRepo.saveCategorizedCertificate(X509Certificate, UseKeyWithType, boolean, boolean)",2,16,1,2,6,5
org.apache.cxf.sts.token.validator.X509TokenValidator.setSubjectConstraints(List),22,35,0,0,4,17
org.apache.cxf.ws.addressing.impl.InternalContextUtils.getAction(Message),3,171,8,33,5,19
org.apache.cxf.jaxrs.ext.search.SearchUtils.containsEscapedChar(String),22,6,2,3,1,1
org.apache.cxf.tools.common.ToolException.ToolException(String),0,1601,20,229,0,0
org.apache.cxf.jaxws.JaxWsConfigurationException.JaxWsConfigurationException(Throwable),22,2,0,0,1,1
org.apache.cxf.binding.object.LocalServerListener.startServer(Server),22,17,0,0,3,10
org.apache.cxf.tools.corba.utils.FileOutputStreamFactory.createSubpackageOutputStreamFactory(String),22,2,0,0,1,1
org.apache.cxf.systest.ws.xkms.Server.run(),22,8,0,0,2,4
org.apache.cxf.ws.security.trust.AuthPolicyValidatingInterceptor.createSecurityContext(Principal),22,15,5,8,0,0
org.apache.cxf.systest.type_test.AbstractTypeTestClient5.testComplexRestriction4(),22,2,0,0,1,1
org.apache.cxf.management.InstrumentationManager.register(ManagedComponent),0,70,12,34,0,0
org.apache.cxf.ws.security.tokenstore.SecurityToken.getSHA1(),0,131,7,41,0,0
org.apache.cxf.sts.SignatureProperties.getAcceptedC14nAlgorithms(),5,50,5,23,0,0
org.apache.cxf.ws.security.tokenstore.MemoryTokenStore.remove(String),22,11,0,0,1,10
org.apache.cxf.aegis.xml.stax.ElementWriter.getPrefixForNamespace(String),22,3,0,0,2,1
"org.apache.cxf.jaxrs.client.blueprint.JAXRSBPNamespaceHandler.parse(Element, ParserContext)",22,26,0,0,5,10
org.apache.cxf.transport.common.gzip.GZIPOutInterceptor.gzipPermitted(Message),22,24,4,3,2,12
org.apache.cxf.ws.rm.EncoderDecoder11Impl.decodeSequenceAcknowledgement(Element),22,5,0,0,3,2
org.apache.cxf.aegis.type.AegisType.getDependencies(),0,1325,19,151,0,0
"org.apache.cxf.binding.soap.interceptor.MustUnderstandInterceptor.checkUltimateReceiverHeaders(Set, Set, SoapMessage)",22,69,7,14,4,9
"org.apache.cxf.jaxrs.servlet.CXFNonSpringJaxrsServlet.setInvoker(JAXRSServerFactoryBean, ServletConfig)",22,908,16,107,25,36
"org.apache.cxf.tools.wsdlto.databinding.jaxb.TypesCodeWriter.TypesCodeWriter(File, List, String, OutputStreamCreator)",22,152,12,28,2,1
org.apache.cxf.transport.http_jetty.JettyHTTPDestination.finalizeConfig(),22,263,10,51,10,10
org.apache.cxf.systest.sts.batch.BatchRequest.setKeyType(String),22,428,14,64,0,0
org.apache.cxf.aegis.AegisContext.createDomElementReader(),22,6,0,0,3,2
org.apache.cxf.tools.corba.processors.idl.IDLLexer.mDIGIT(boolean),22,5,2,3,0,0
org.apache.cxf.wsn.jms.InvalidTopicException.InvalidTopicException(String),0,4,3,1,0,0
org.apache.cxf.systest.jaxrs.BookContinuationStore.init(),22,2,1,1,0,0
org.apache.cxf.tools.corba.common.XmlSchemaPrimitiveMap.initializeMap(),22,2,1,1,0,0
org.apache.cxf.frontend.ClientProxyFactoryBean.setServiceClass(Class),1,3607,17,617,1,1
org.apache.cxf.transport.http_jetty.JettyHTTPHandler.setName(String),2,31,4,14,0,0
"org.apache.cxf.staxutils.StaxUtils.isDeclared(Element, String, String)",1,6,2,3,1,1
org.apache.cxf.systest.mtom_schema_validation.Server.run(),22,49,0,0,10,10
org.apache.cxf.aegis.type.basic.BeanTypeInfo.setExtensibleElements(boolean),0,85,7,37,0,0
"org.apache.cxf.transport.jms.AbstractJMSTester.setupServiceInfo(String, String)",10,524,12,62,12,43
org.apache.cxf.bus.spring.BusWiringBeanFactoryPostProcessor.BusWiringBeanFactoryPostProcessor(Bus),8,90,11,18,0,0
org.apache.cxf.management.web.browser.client.service.settings.RemoteStorageProxyImpl.Callback.parse(Response),22,10,0,0,3,4
org.apache.cxf.ws.security.wss4j.AbstractUsernameTokenAuthenticatingInterceptor.handleMessage(SoapMessage),22,216,0,0,14,47
org.apache.cxf.rs.security.oauth2.utils.crypto.CryptoUtils.getSecretKey(String),22,263,13,57,2,5
org.apache.cxf.rs.security.oauth2.jws.JwsCompactProducer.signWith(JwsSignatureProvider),8,146,8,9,8,45
org.apache.cxf.binding.soap.saaj.SAAJOutInterceptor.handleMessage(SoapMessage),4,478,17,71,4,8
org.apache.cxf.binding.corba.types.CorbaTypeEventProducer.getName(),0,16,3,8,0,0
org.apache.cxf.sts.token.provider.TokenProviderResponse.getExpires(),0,279,9,100,0,0
org.apache.cxf.transport.http.Headers.setFromClientPolicy(HTTPClientPolicy),22,56,5,16,1,2
org.apache.cxf.validation.BeanValidationOutInterceptor.BeanValidationOutInterceptor(String),22,5,1,1,3,1
org.apache.cxf.jaxrs.impl.ResourceInfoImpl.ResourceInfoImpl(OperationResourceInfo),16,11,3,5,0,0
"org.apache.cxf.clustering.LoadDistributorTargetSelector.getDistributionTarget(Exchange, InvocationContext)",22,46,5,11,2,12
"org.apache.cxf.systest.type_test.AbstractTypeTestClient3.equals(ChoiceWithGroups, ChoiceWithGroups)",22,3,2,1,0,0
org.apache.cxf.rs.security.oauth2.grants.AbstractGrantHandler.AbstractGrantHandler(List),0,13,4,8,0,0
"org.apache.cxf.systest.jaxrs.BookServer20.PostMatchDynamicContainerRequestResponseFilter.filter(ContainerRequestContext, ContainerResponseContext)",-1,1,0,0,0,0
"org.apache.cxf.jaxrs.impl.tl.ThreadLocalProviders.getMessageBodyWriter(Class, Type, Annotation[], MediaType)",22,2,0,0,1,1
org.apache.cxf.rs.security.oauth2.jws.HmacJwsSignatureProvider.HmacJwsSignatureProvider(byte[]),22,3,0,0,2,1
org.apache.cxf.sts.token.provider.CustomAuthDecisionProvider.getStatement(TokenProviderParameters),-1,1,0,0,0,0
org.apache.cxf.message.AbstractWrappedMessage.getContextualPropertyKeys(),22,2,0,0,1,1
org.apache.cxf.phase.AbstractPhaseInterceptor.setBefore(Collection),-1,1,0,0,0,0
org.apache.cxf.phase.PhaseInterceptorChain.PhaseInterceptorChain(PhaseInterceptorChain),0,3,1,1,1,1
org.apache.cxf.transport.http.AbstractHTTPDestination.BackChannelConduit.close(Message),22,6,0,0,1,5
org.apache.cxf.jaxrs.client.WebClient.WebClient(String),10,449,0,0,19,69
org.apache.cxf.configuration.jsse.TLSClientParametersConfig.createTLSClientParameters(String),22,46,0,0,8,24
org.apache.cxf.jaxws.handler.soap.SOAPMessageContextImpl.getWrappedSoapMessage(),1,160,13,43,1,1
org.apache.cxf.rs.security.oauth2.grants.code.AuthorizationCodeGrantHandler.AuthorizationCodeGrantHandler(),22,7,2,4,1,1
org.apache.cxf.rs.security.oauth2.jwt.jwk.JsonWebKey.setKeyType(String),8,115,8,41,1,1
org.apache.cxf.ws.policy.mtom.MTOMPolicyInterceptorProvider.MTOMPolicyInterceptorProvider(),22,14,0,0,2,10
org.apache.cxf.tools.common.ToolContext.containsKey(String),0,488,12,114,0,0
org.apache.cxf.systest.provider.HWStreamSourcePayloadProvider.getSOAPBodyStream(Document),22,2,1,1,0,0
org.apache.cxf.transport.http.HTTPConduit.WrappedOutputStream.retransmit(String),4,86,5,21,4,11
org.apache.cxf.jaxrs.client.WebClient.cookie(Cookie),22,6,1,1,3,2
org.apache.cxf.ws.addressing.AddressingConstants.getRelationshipReply(),22,31,2,29,0,0
org.apache.cxf.ws.security.wss4j.policyhandlers.AbstractStaxBindingHandler.addUsernameToken(UsernameToken),22,63,7,13,3,11
org.apache.cxf.jaxrs.provider.jsonp.JsonpInInterceptor.JsonpInInterceptor(String),22,37,0,0,7,13
org.apache.cxf.tools.common.toolspec.AbstractToolContainer.getBus(),5,1667,20,242,7,7
org.apache.cxf.common.logging.AbstractDelegatingLogger.getLevel(),0,2,1,1,0,0
org.apache.cxf.jaxrs.model.Parameter.isEncoded(),0,483,23,84,0,0
"org.apache.cxf.jaxrs.impl.AsyncResponseImpl.register(Class, Class...)",22,2,1,1,0,0
org.apache.cxf.management.web.browser.client.ui.browser.ViewerPresenter.onEntryItemClicked(int),22,3,0,0,1,2
org.apache.cxf.tools.corba.processors.idl.WSDLSchemaManager.setIgnoreImports(boolean),7,315,12,62,0,0
"org.apache.cxf.jaxrs.servlet.CXFNonSpringJaxrsServlet.setExtensions(JAXRSServerFactoryBean, ServletConfig)",22,908,23,121,2,5
"org.apache.cxf.sts.request.RequestParser.parseTokenRequirements(JAXBElement, TokenRequirements, WebServiceContext, List)",7,154,11,24,4,20
org.apache.cxf.management.web.browser.client.service.settings.Subscription.hashCode(),-1,1,0,0,0,0
org.apache.cxf.jibx.JibxDataBinding.createWriter(Class),-1,1,0,0,0,0
"org.apache.cxf.wsdl11.ServiceWSDLBuilder.newDefinition(QName, String)",2,88,6,34,1,2
"org.apache.cxf.management.web.logging.atom.AtomPullServer.fillSubList(List, int, SearchCondition)",2,26,5,8,2,2
"org.apache.cxf.rs.security.oauth2.jwt.JwtTokenReaderWriter.fromJson(String, String)",1,18,2,2,4,6
"org.apache.cxf.aegis.type.encoded.SoapEncodingUtil.writeRef(MessageWriter, String)",1,80,6,23,2,3
org.apache.cxf.greeter_control.ControlImpl.startGreeter(String),22,15,0,0,7,3
org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator.Application.getAppElement(),22,756,20,105,0,0
org.apache.cxf.tools.corba.processors.idl.OperationDeferredAction.OperationDeferredAction(ArgType),7,7,4,3,0,0
org.apache.cxf.management.web.browser.client.ui.browser.NavigationSidebarView.Presenter.onEditCriteriaHyperinkClicked(),22,2,1,1,0,0
org.apache.cxf.xkms.x509.repo.ldap.LdapSchemaConfig.getAttrEndpoint(),0,29,4,13,0,0
org.apache.cxf.jaxws.EndpointImpl.getWsdlLocation(),14,1043,19,134,0,0
"org.apache.cxf.rs.security.oauth.utils.OAuthUtils.checkRequestURI(String, String)",5,68,3,6,9,14
"org.apache.cxf.systest.sts.secure_conv.SCTTokenValidator.validate(Credential, RequestData)",22,1046,0,0,24,95
"org.apache.cxf.service.model.BindingInfo.buildOperation(QName, String, String)",3,302,11,92,4,10
"org.apache.cxf.binding.AbstractBindingFactory.AbstractBindingFactory(Bus, Collection)",2,388,15,93,2,2
"org.apache.cxf.rs.security.oauth2.utils.MessageDigestUtils.createDigest(byte[], String)",1,3,2,1,0,0
"org.apache.cxf.jaxrs.client.AbstractClient.query(String, Object...)",8,37,1,1,12,9
"org.apache.cxf.bus.spring.Jsr250BeanPostProcessor.postProcessBeforeDestruction(Object, String)",22,24,0,0,5,8
org.apache.cxf.authservice.AuthService.getRolesAsArray(String),22,959,19,123,0,0
org.apache.cxf.jaxrs.provider.jsonp.JsonpInInterceptor.getAcceptType(),22,15,7,4,0,0
org.apache.cxf.continuations.Continuation.suspend(long),0,846,20,100,0,0
org.apache.cxf.systest.jms.continuations.IncomingMessageCounterInterceptor.IncomingMessageCounterInterceptor(),22,1051,0,0,22,125
org.apache.cxf.xmlbeans.DataWriterImpl.setSchema(Schema),22,2,1,1,0,0
"org.apache.cxf.maven_plugin.wsdl2java.WsdlOption.addList(List, String, boolean, List)",22,32,2,30,0,0
org.apache.cxf.service.model.ServiceModelUtil.getServiceQName(EndpointInfo),2,393,18,56,2,5
org.apache.cxf.management.persistence.FilesystemExchangeDataDAO.save(ExchangeData),22,18,0,0,1,17
org.apache.cxf.bus.resource.ResourceManagerImpl.setBus(Bus),22,8,4,1,1,3
"org.apache.cxf.common.util.URIParserUtil.tokenize(String, String)",2,7,3,4,0,0
org.apache.cxf.staxutils.DepthXMLStreamReader.getPITarget(),-1,1,0,0,0,0
org.apache.cxf.tools.corba.processors.idl.VisitorBase.getFullyQualifiedName(),2,171,7,69,0,0
org.apache.cxf.jaxrs.spring.AbstractSpringComponentScanServer.setRootResources(JAXRSServerFactoryBean),22,37,0,0,7,10
org.apache.cxf.jca.core.classloader.FireWallClassLoader.getResource(String),-1,1,0,0,0,0
"org.apache.cxf.jca.inbound.MDBInvoker.releaseServiceObject(Exchange, Object)",22,2,0,0,1,1
"org.apache.cxf.aegis.util.stax.JDOMStreamWriter.writeAttribute(String, String, String, String)",-1,1,0,0,0,0
org.apache.cxf.common.xmlschema.SchemaCollection.validateQNameNamespace(QName),22,2,0,0,1,1
org.apache.cxf.ws.security.wss4j.Echo.echo(String),0,1345,19,133,0,0
org.apache.cxf.endpoint.Server.getDestination(),0,892,18,115,0,0
"org.apache.cxf.ws.addressing.impl.AddressingFeatureApplier.initializeProvider(WSAddressingFeature, InterceptorProvider, Bus)",22,21,0,0,4,16
org.apache.cxf.staxutils.CachingXmlEventWriter.NSContext.getPrefix(String),0,3,1,2,0,0
org.apache.cxf.management.web.browser.client.ui.browser.EntryTable.EntryTable(),22,3,0,0,2,1
"org.apache.cxf.binding.coloc.ColocOutInterceptor.invokeInboundChain(Exchange, Endpoint)",22,212,6,28,7,45
"org.apache.cxf.jaxrs.blueprint.JAXRSServerFactoryBeanDefinitionParser.mapElement(ParserContext, MutableBeanMetadata, Element, String)",22,34,0,0,4,11
org.apache.cxf.jaxrs.ext.multipart.MultipartBody.MultipartBody(Attachment),0,1788,17,327,0,0
org.apache.cxf.bus.spring.BusDefinitionParser.BusConfig.getOutFaultInterceptors(),22,17,3,10,1,2
org.apache.cxf.systest.ws.wssec11.server.Server12Restricted.Server12Restricted(String),22,2,0,0,1,1
org.apache.cxf.ws.rm.ManagedRMEndpoint.getObjectName(),6,293,15,52,9,11
"org.apache.cxf.jaxws.support.JaxWsServiceFactoryBean.initializeParameter(MessagePartInfo, Class, Type)",22,32,0,0,4,14
"org.apache.cxf.configuration.ConfiguredBeanLocator.BeanLoaderListener.loadBean(String, Class)",0,59,7,15,0,0
org.apache.cxf.systest.sts.realms.STSServer.STSServer(),22,10,3,4,0,0
org.apache.cxf.staxutils.OverlayW3CDOMStreamWriter.OverlayW3CDOMStreamWriter(Document),22,2,0,0,1,1
"org.apache.cxf.binding.soap.interceptor.SoapActionInInterceptor.getAndSetOperation(SoapMessage, String)",5,186,14,27,6,13
"org.apache.cxf.management.interceptor.PersistInInterceptor.getSoapRequest(Message, ExchangeData)",22,68,2,1,10,13
org.apache.cxf.jaxrs.model.UserOperation.setOneway(boolean),2,15,4,10,0,0
"org.apache.cxf.jaxws.EndpointImpl.DoubleAddInterceptorList.subList(int, int)",-1,1,0,0,0,0
"org.apache.cxf.transport.jms.JMSConduit.processReplyMessage(Exchange, javax.jms.Message)",10,496,1,1,21,68
"org.apache.cxf.configuration.spring.ConfigurerImpl.MatcherHolder.MatcherHolder(String, Matcher)",0,3,2,1,0,0
org.apache.cxf.configuration.jsse.TLSClientParameters.setHostnameVerifier(HostnameVerifier),22,3,2,1,0,0
org.apache.cxf.systest.jaxrs.CustomWebApplicationExceptionMapper.toResponse(WebApplicationException),22,12,0,0,3,7
