method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.OAuthDefaultServices(),2,1,0,1,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.setMessageContext(MessageContext),5,1,4,1,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.setAuthorizationService(AuthorizationRequestService),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.setAccessTokenService(AccessTokenService),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.setRequestTokenservice(RequestTokenService),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.getRequestToken(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.getRequestTokenWithGET(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.authorize(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.authorizeDecision(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.authorizeDecisionForm(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.getAccessTokenWithGET(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.OAuthDefaultServices.getAccessToken(),3,1,1,2,0
org.apache.cxf.rs.security.oauth.services.AccessTokenService.setAccessTokenHandler(AccessTokenHandler),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.AccessTokenService.getAccessTokenWithGET(),3,1,0,2,0
org.apache.cxf.rs.security.oauth.services.AccessTokenService.getAccessToken(),5,1,4,5,0
org.apache.cxf.rs.security.oauth.services.AuthorizationRequestService.setAuthorizationRequestHandler(AuthorizationRequestHandler),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.AuthorizationRequestService.authorize(),9,2,3,11,0
org.apache.cxf.rs.security.oauth.services.AuthorizationRequestService.authorizeDecision(),3,1,3,2,0
org.apache.cxf.rs.security.oauth.services.AuthorizationRequestService.authorizeDecisionForm(),3,1,0,2,0
org.apache.cxf.rs.security.oauth.services.RequestTokenService.setRequestTokenHandler(RequestTokenHandler),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.RequestTokenService.getRequestTokenWithGET(),3,1,0,2,0
org.apache.cxf.rs.security.oauth.services.RequestTokenService.getRequestToken(),5,1,4,5,0
org.apache.cxf.rs.security.oauth.services.AbstractOAuthService.setMessageContext(MessageContext),3,1,2,1,0
org.apache.cxf.rs.security.oauth.services.AbstractOAuthService.getMessageContext(),3,1,4,1,0
org.apache.cxf.rs.security.oauth.services.AbstractOAuthService.setDataProvider(OAuthDataProvider),3,1,1,1,0
org.apache.cxf.rs.security.oauth.services.AbstractOAuthService.getDataProvider(),3,1,5,3,0
org.apache.cxf.rs.security.oauth.services.AbstractOAuthService.getValidator(),3,1,3,1,0
org.apache.cxf.rs.security.oauth.services.AbstractOAuthService.setValidator(OAuthValidator),3,1,1,1,0
org.apache.cxf.systest.jaxrs.JAXRSClientServerResourceCreatedOutsideBookTest.startServers(),6,1,0,4,0
org.apache.cxf.systest.jaxrs.JAXRSClientServerResourceCreatedOutsideBookTest.testGetBook123(),13,1,1,10,0
org.apache.cxf.systest.jaxrs.JAXRSClientServerResourceCreatedOutsideBookTest.testAddBookHTTPURL(),34,2,1,25,1
org.apache.cxf.systest.jaxrs.JAXRSClientServerResourceCreatedOutsideBookTest.stripXmlInstructionIfNeeded(String),7,2,3,4,0
org.apache.cxf.systest.jaxrs.JAXRSClientServerResourceCreatedOutsideBookTest.getStringFromInputStream(InputStream),8,1,3,7,0
org.apache.cxf.helpers.IOUtils.IOUtils(),2,1,0,1,0
"org.apache.cxf.helpers.IOUtils.newStringFromBytes(byte[], String)",9,2,4,3,0
org.apache.cxf.helpers.IOUtils.newStringFromBytes(byte[]),3,1,26,3,0
"org.apache.cxf.helpers.IOUtils.newStringFromBytes(byte[], String, int, int)",9,2,7,3,0
"org.apache.cxf.helpers.IOUtils.newStringFromBytes(byte[], int, int)",3,1,7,3,0
"org.apache.cxf.helpers.IOUtils.copy(InputStream, OutputStream)",7,2,68,3,0
"org.apache.cxf.helpers.IOUtils.copyAndCloseInput(InputStream, OutputStream)",8,1,17,3,0
"org.apache.cxf.helpers.IOUtils.copyAndCloseInput(InputStream, OutputStream, int)",8,1,4,3,0
"org.apache.cxf.helpers.IOUtils.copyAndCloseInput(Reader, Writer)",8,1,5,2,0
"org.apache.cxf.helpers.IOUtils.copyAndCloseInput(Reader, Writer, int)",8,1,4,2,0
"org.apache.cxf.helpers.IOUtils.copy(InputStream, OutputStream, int)",23,5,10,5,1
"org.apache.cxf.helpers.IOUtils.copyAtLeast(InputStream, OutputStream, int)",19,6,5,3,1
"org.apache.cxf.helpers.IOUtils.copy(Reader, Writer, int)",10,2,9,2,1
"org.apache.cxf.helpers.IOUtils.transferTo(InputStream, File)",15,3,5,6,0
org.apache.cxf.helpers.IOUtils.toString(InputStream),3,1,26,2,0
"org.apache.cxf.helpers.IOUtils.toString(InputStream, String)",3,1,8,2,0
"org.apache.cxf.helpers.IOUtils.toString(InputStream, int)",4,1,3,2,0
"org.apache.cxf.helpers.IOUtils.toString(InputStream, int, String)",10,3,6,5,0
org.apache.cxf.helpers.IOUtils.toString(Reader),3,1,5,2,0
"org.apache.cxf.helpers.IOUtils.toString(Reader, int)",15,3,4,8,1
org.apache.cxf.helpers.IOUtils.readStringFromStream(InputStream),9,2,39,6,1
org.apache.cxf.helpers.IOUtils.loadIntoBAIS(InputStream),11,2,5,6,0
org.apache.cxf.helpers.IOUtils.consume(InputStream),19,6,4,3,1
"org.apache.cxf.helpers.IOUtils.consume(InputStream, int)",17,6,4,2,1
org.apache.cxf.helpers.IOUtils.readBytesFromStream(InputStream),10,2,30,6,0
org.apache.cxf.io.CachedOutputStream.CachedOutputStream(),3,1,53,2,0
org.apache.cxf.io.CachedOutputStream.CachedOutputStream(long),6,1,4,6,0
org.apache.cxf.io.CachedOutputStream.readBusProperties(),17,5,3,6,0
"org.apache.cxf.io.CachedOutputStream.getBusProperty(Bus, String, String)",4,2,4,2,0
org.apache.cxf.io.CachedOutputStream.holdTempFile(),3,1,4,1,0
org.apache.cxf.io.CachedOutputStream.releaseTempFileHold(),3,1,5,1,0
org.apache.cxf.io.CachedOutputStream.registerCallback(CachedOutputStreamCallback),6,2,7,3,0
org.apache.cxf.io.CachedOutputStream.deregisterCallback(CachedOutputStreamCallback),5,2,2,1,0
org.apache.cxf.io.CachedOutputStream.getCallbacks(),3,2,2,2,0
org.apache.cxf.io.CachedOutputStream.doFlush(),2,1,1,0,0
org.apache.cxf.io.CachedOutputStream.flush(),9,3,14,3,1
org.apache.cxf.io.CachedOutputStream.doClose(),2,1,2,0,0
org.apache.cxf.io.CachedOutputStream.postClose(),2,1,2,0,0
org.apache.cxf.io.CachedOutputStream.lockOutputStream(),14,4,8,5,1
org.apache.cxf.io.CachedOutputStream.close(),13,3,36,7,1
org.apache.cxf.io.CachedOutputStream.equals(Object),9,3,2,2,0
"org.apache.cxf.io.CachedOutputStream.resetOut(OutputStream, boolean)",32,7,10,13,0
"org.apache.cxf.io.CachedOutputStream.copyStream(InputStream, OutputStream, int)",3,1,5,1,0
org.apache.cxf.io.CachedOutputStream.size(),3,1,10,1,0
org.apache.cxf.io.CachedOutputStream.getBytes(),13,3,18,6,0
org.apache.cxf.io.CachedOutputStream.writeCacheTo(OutputStream),13,3,9,5,0
"org.apache.cxf.io.CachedOutputStream.writeCacheTo(StringBuilder, long)",3,1,6,1,0
"org.apache.cxf.io.CachedOutputStream.writeCacheTo(StringBuilder, String, long)",48,10,9,13,1
org.apache.cxf.io.CachedOutputStream.writeCacheTo(StringBuilder),3,1,2,1,0
"org.apache.cxf.io.CachedOutputStream.writeCacheTo(StringBuilder, String)",34,7,7,14,1
org.apache.cxf.io.CachedOutputStream.getOut(),3,1,7,1,0
org.apache.cxf.io.CachedOutputStream.hashCode(),3,1,1,2,0
org.apache.cxf.io.CachedOutputStream.toString(),10,2,1,6,0
org.apache.cxf.io.CachedOutputStream.onWrite(),2,1,3,0,0
org.apache.cxf.io.CachedOutputStream.enforceLimits(),8,3,8,2,0
"org.apache.cxf.io.CachedOutputStream.write(byte[], int, int)",8,2,6,4,0
org.apache.cxf.io.CachedOutputStream.write(byte[]),8,2,10,4,0
org.apache.cxf.io.CachedOutputStream.write(int),8,2,4,4,0
org.apache.cxf.io.CachedOutputStream.createFileOutputStream(),25,5,6,11,0
org.apache.cxf.io.CachedOutputStream.getTempFile(),3,2,6,2,0
org.apache.cxf.io.CachedOutputStream.getInputStream(),31,6,43,10,0
org.apache.cxf.io.CachedOutputStream.deleteTempFile(),7,2,4,2,0
org.apache.cxf.io.CachedOutputStream.maybeDeleteTempFile(Object),15,4,8,8,0
org.apache.cxf.io.CachedOutputStream.setOutputDir(File),3,1,2,1,0
org.apache.cxf.io.CachedOutputStream.getThreshold(),3,1,1,1,0
org.apache.cxf.io.CachedOutputStream.setThreshold(long),3,1,5,1,0
org.apache.cxf.io.CachedOutputStream.setMaxSize(long),3,1,2,1,0
org.apache.cxf.io.CachedOutputStream.setCipherTransformation(String),3,1,2,1,0
org.apache.cxf.io.CachedOutputStream.setDefaultMaxSize(long),8,2,2,3,0
org.apache.cxf.io.CachedOutputStream.setDefaultThreshold(int),11,3,9,3,0
org.apache.cxf.io.CachedOutputStream.setDefaultCipherTransformation(String),6,2,2,2,0
org.apache.cxf.io.CachedOutputStream.createOutputStream(File),22,4,5,8,0
org.apache.cxf.io.CachedOutputStream.createInputStream(File),15,2,8,3,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.AbstractResourceInfo(Bus),3,1,2,2,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.AbstractResourceInfo(Class<?>, Class<?>, boolean, boolean, Bus)",4,1,6,2,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.AbstractResourceInfo(Class<?>, Class<?>, boolean, boolean, Map<Class, ThreadLocalProxy>, Bus, Object)",15,2,9,6,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.findContexts(Class<?>, Object, Map<Class, ThreadLocalProxy>)",13,2,9,7,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.contextsAvailable(),3,1,6,1,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getBus(),3,1,5,1,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.setResourceClass(Class<?>),6,2,6,3,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getServiceClass(),3,1,47,1,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.findContextFields(Class<?>, Object)",16,6,5,10,2
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.getFieldThreadLocalProxy(Field, Object)",18,4,3,5,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.getMethodThreadLocalProxy(Method, Object)",20,4,3,6,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.getProxyMap(Class<T>, String, boolean)",13,2,5,5,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getConstructorProxies(),7,2,3,3,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getConstructorProxyMap(boolean),10,2,5,5,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getFieldProxyMap(boolean),3,1,5,2,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getSetterProxyMap(boolean),3,1,5,2,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.findContextSetterMethods(Class<?>, Object)",21,7,5,9,3
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.checkContextMethod(Method, Object)",6,2,3,5,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getContextMethods(),5,3,4,4,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.addContextMethod(Class<?>, Method, Object)",9,3,6,6,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.isRoot(),3,1,6,1,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getResourceClass(),3,1,13,1,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getContextFields(),3,1,4,2,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getContextFieldProxy(Field),3,1,3,3,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.getContextSetterProxy(Method),3,1,3,3,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.isSingleton(),1,1,5,1,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.clearAllMaps(),17,5,38,3,0
org.apache.cxf.jaxrs.model.AbstractResourceInfo.clearThreadLocalProxies(),5,1,3,4,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.clearProxies(Map<Class, Map>)",11,5,2,4,1
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.addContextField(Map<Class, List>, Field)",14,4,4,7,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.addToMap(Map<Class, Map>, T, V)",12,3,6,4,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.getList(Map<Class, List>)",9,3,2,5,0
"org.apache.cxf.jaxrs.model.AbstractResourceInfo.getProxy(Map<Class, Map>, T)",9,3,4,3,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.createBus(String),8,2,4,6,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.createBus(),3,1,13,1,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.getStaticBus(),3,1,19,1,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.createStaticBus(String),9,2,14,7,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.createStaticBus(),3,1,60,2,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.deleteBus(),6,2,1,2,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.deleteStaticBus(),6,2,1,2,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.getBus(),6,2,17,1,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.setBus(Bus),3,1,2,1,0
org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.getHttpConnection(String),6,1,8,4,0
"org.apache.cxf.testutil.common.AbstractBusClientServerTestBase.runClient(Runnable, long, TimeUnit)",13,2,4,8,0
org.apache.cxf.systest.jaxrs.BookServerResourceCreatedOutside.run(),9,1,1,9,0
org.apache.cxf.systest.jaxrs.BookServerResourceCreatedOutside.tearDown(),5,1,1,3,0
org.apache.cxf.systest.jaxrs.BookServerResourceCreatedOutside.main(String[]),11,2,2,4,0
org.apache.cxf.systest.exception.ObjectWithGenerics.ObjectWithGenerics(),2,1,0,1,0
"org.apache.cxf.systest.exception.ObjectWithGenerics.ObjectWithGenerics(A, B)",4,1,3,3,0
org.apache.cxf.systest.exception.ObjectWithGenerics.getA(),3,1,2,1,0
org.apache.cxf.systest.exception.ObjectWithGenerics.setA(A),3,1,1,1,0
org.apache.cxf.systest.exception.ObjectWithGenerics.getB(),3,1,2,1,0
org.apache.cxf.systest.exception.ObjectWithGenerics.setB(B),3,1,1,1,0
org.apache.cxf.transport.http.URLConnectionInfo.URLConnectionInfo(URL),8,2,2,3,0
org.apache.cxf.transport.http.URLConnectionInfo.URLConnectionInfo(URI),3,1,2,2,0
org.apache.cxf.transport.http.URLConnectionInfo.getURI(),3,1,2,1,0
org.apache.cxf.ws.security.policy.interceptors.SecurityVerificationOutInterceptor.SecurityVerificationOutInterceptor(),3,1,1,2,0
org.apache.cxf.ws.security.policy.interceptors.SecurityVerificationOutInterceptor.handleMessage(SoapMessage),20,4,6,11,0
org.apache.cxf.ws.security.policy.interceptors.SecurityVerificationOutInterceptor.isThereASecurityBinding(AssertionInfoMap),6,1,5,2,0
org.apache.cxf.ws.security.policy.interceptors.SecurityVerificationOutInterceptor.getSecuredPart(AssertionInfoMap),28,6,7,5,0
org.apache.cxf.binding.soap.SoapMessage.SoapMessage(Message),4,1,41,4,0
org.apache.cxf.binding.soap.SoapMessage.SoapMessage(SoapVersion),4,1,2,3,0
org.apache.cxf.binding.soap.SoapMessage.getVersion(),3,1,65,1,0
org.apache.cxf.binding.soap.SoapMessage.setVersion(SoapVersion),4,1,14,2,0
org.apache.cxf.binding.soap.SoapMessage.getHeaders(),8,2,41,5,0
org.apache.cxf.binding.soap.SoapMessage.hasHeader(QName),8,3,2,4,1
org.apache.cxf.binding.soap.SoapMessage.getHeader(QName),8,3,3,4,1
org.apache.cxf.binding.soap.SoapMessage.hasHeaders(),3,1,4,4,0
org.apache.cxf.binding.soap.SoapMessage.getEnvelopeNs(),3,1,3,3,0
org.apache.cxf.binding.soap.SoapMessage.hasAdditionalEnvNs(),4,1,1,3,0
org.apache.cxf.common.logging.LogUtils.LogUtils(),2,1,0,1,0
org.apache.cxf.common.logging.LogUtils.setLoggerClass(Class<? extends AbstractDelegatingLogger>),3,1,2,1,0
org.apache.cxf.common.logging.LogUtils.getLogger(Class<?>),3,1,2,3,0
