class,path,package,methods
OAuthDefaultServices,rt\rs\security\oauth-parent\oauth\src\main\java\org\apache\cxf\rs\security\oauth\services\OAuthDefaultServices.java,org.apache.cxf.rs.security.oauth.services,"OAuthDefaultServices,setMessageContext,setAuthorizationService,setAccessTokenService,setRequestTokenservice,getRequestToken,getRequestTokenWithGET,authorize,authorizeDecision,authorizeDecisionForm,getAccessTokenWithGET,getAccessToken"
AccessTokenService,rt\rs\security\oauth-parent\oauth\src\main\java\org\apache\cxf\rs\security\oauth\services\AccessTokenService.java,org.apache.cxf.rs.security.oauth.services,"setAccessTokenHandler,getAccessTokenWithGET,getAccessToken"
AuthorizationRequestService,rt\rs\security\oauth-parent\oauth\src\main\java\org\apache\cxf\rs\security\oauth\services\AuthorizationRequestService.java,org.apache.cxf.rs.security.oauth.services,"setAuthorizationRequestHandler,authorize,authorizeDecision,authorizeDecisionForm"
RequestTokenService,rt\rs\security\oauth-parent\oauth\src\main\java\org\apache\cxf\rs\security\oauth\services\RequestTokenService.java,org.apache.cxf.rs.security.oauth.services,"setRequestTokenHandler,getRequestTokenWithGET,getRequestToken"
AbstractOAuthService,rt\rs\security\oauth-parent\oauth\src\main\java\org\apache\cxf\rs\security\oauth\services\AbstractOAuthService.java,org.apache.cxf.rs.security.oauth.services,"setMessageContext,getMessageContext,setDataProvider,getDataProvider,getValidator,setValidator"
JAXRSClientServerResourceCreatedOutsideBookTest,systests\jaxrs\src\test\java\org\apache\cxf\systest\jaxrs\JAXRSClientServerResourceCreatedOutsideBookTest.java,org.apache.cxf.systest.jaxrs,"startServers,testGetBook123,testAddBookHTTPURL,stripXmlInstructionIfNeeded,getStringFromInputStream"
IOUtils,core\src\main\java\org\apache\cxf\helpers\IOUtils.java,org.apache.cxf.helpers,"IOUtils,newStringFromBytes,newStringFromBytes,newStringFromBytes,newStringFromBytes,copy,copyAndCloseInput,copyAndCloseInput,copyAndCloseInput,copyAndCloseInput,copy,copyAtLeast,copy,transferTo,toString,toString,toString,toString,toString,toString,readStringFromStream,loadIntoBAIS,consume,consume,readBytesFromStream"
CachedOutputStream,core\src\main\java\org\apache\cxf\io\CachedOutputStream.java,org.apache.cxf.io,"CachedOutputStream,CachedOutputStream,readBusProperties,getBusProperty,holdTempFile,releaseTempFileHold,registerCallback,deregisterCallback,getCallbacks,doFlush,flush,doClose,postClose,lockOutputStream,close,equals,resetOut,copyStream,size,getBytes,writeCacheTo,writeCacheTo,writeCacheTo,writeCacheTo,writeCacheTo,getOut,hashCode,toString,onWrite,enforceLimits,write,write,write,createFileOutputStream,getTempFile,getInputStream,deleteTempFile,maybeDeleteTempFile,setOutputDir,getThreshold,setThreshold,setMaxSize,setCipherTransformation,setDefaultMaxSize,setDefaultThreshold,setDefaultCipherTransformation,createOutputStream,createInputStream"
AbstractResourceInfo,rt\frontend\jaxrs\src\main\java\org\apache\cxf\jaxrs\model\AbstractResourceInfo.java,org.apache.cxf.jaxrs.model,"AbstractResourceInfo,AbstractResourceInfo,AbstractResourceInfo,findContexts,contextsAvailable,getBus,setResourceClass,getServiceClass,findContextFields,getFieldThreadLocalProxy,getMethodThreadLocalProxy,getProxyMap,getConstructorProxies,getConstructorProxyMap,getFieldProxyMap,getSetterProxyMap,findContextSetterMethods,checkContextMethod,getContextMethods,addContextMethod,isRoot,getResourceClass,getContextFields,getContextFieldProxy,getContextSetterProxy,isSingleton,clearAllMaps,clearThreadLocalProxies,clearProxies,addContextField,addToMap,getList,getProxy"
AbstractBusClientServerTestBase,testutils\src\main\java\org\apache\cxf\testutil\common\AbstractBusClientServerTestBase.java,org.apache.cxf.testutil.common,"createBus,createBus,getStaticBus,createStaticBus,createStaticBus,deleteBus,deleteStaticBus,getBus,setBus,getHttpConnection,runClient"
