method,pattern,space
"org.apache.pdfbox.pdmodel.font.PDType1Font.encode(byte[], int, int)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDType1Font.encode(byte[], int, int); org.apache.pdfbox.util.PDFStreamEngine.processEncodedText(byte[]); org.apache.pdfbox.pdmodel.font.PDFont.encodeToCID(byte[], int, int); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test10(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test15(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test17(); org.apache.pdfbox.pdmodel.font.PDType1Font_ESTest.test07(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test41(); org.apache.pdfbox.pdmodel.font.PDType1Font_ESTest.test09(); org.apache.pdfbox.pdmodel.font.PDType1Font_ESTest.test04(); org.apache.pdfbox.pdmodel.font.PDType1Font_ESTest.test03()"
"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float)",HotExec,"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float); org.apache.pdfbox.examples.pdfa.CreatePDFA.doIt(String, String); org.apache.pdfbox.examples.pdmodel.HelloWorld.doIt(String, String)"
org.apache.pdfbox.pdfparser.NonSequentialPDFParser.setPdfSource(long),FreqExec,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.setPdfSource(long); org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.getLength(COSBase); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseXref(long); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseObjectDynamically(int, int, boolean); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.checkXRefOffset(long)"
"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float); org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test23(); org.apache.pdfbox.pdmodel.font.PDFont_ESTest.test21(); org.apache.pdfbox.pdmodel.font.PDFont.drawString(String, Graphics, float, AffineTransform, float, float)"
org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(),FreqExec,org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(); org.apache.pdfbox.pdmodel.PDPage.findParentCropBox(PDPageNode); org.apache.pdfbox.pdmodel.PDPageNode.findCropBox()
org.apache.pdfbox.io.PushBackInputStream.read(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.read(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(); org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(); org.apache.pdfbox.io.PushBackInputStream.peek(); org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(); org.apache.pdfbox.pdfparser.BaseParser.readString(); org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(); org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(); org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(); org.apache.pdfbox.pdfparser.BaseParser.readLine(); org.apache.pdfbox.preflight.parser.PreflightParser.nextIsEOL(); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseCOSStream(COSDictionary, RandomAccess); org.apache.pdfbox.preflight.parser.PreflightParser.checkStreamKeyWord(); org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.readPattern(char[]); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.checkXRefOffset(long); org.apache.pdfbox.pdfparser.BaseParser.readString(int); org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess); org.apache.pdfbox.pdfparser.PDFParser.parseObject()"
"org.apache.pdfbox.util.DateConverter.parseTimeField(String, ParsePosition, int, int)",FreqExec,"org.apache.pdfbox.util.DateConverter.parseTimeField(String, ParsePosition, int, int); org.apache.pdfbox.util.DateConverter.parseBigEndianDate(String, ParsePosition); org.apache.pdfbox.util.DateConverter.parseTZoffset(String, GregorianCalendar, ParsePosition)"
"org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.decode(byte[], byte[])",FreqExec,"org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.decode(byte[], byte[]); org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm.main(String[]); org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm_ESTest.test04(); org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm_ESTest.test33(); org.apache.pdfbox.pdmodel.graphics.predictor.PredictorAlgorithm_ESTest.test06()"
org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption.PDStandardEncryption(),FreqExec,org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption.PDStandardEncryption(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test32(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test15(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test44(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test19(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test03(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test35(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test48(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test28(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test34(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test01(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test00(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test02(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test07(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test43(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test52(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test49(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test36(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test04(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test11(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test50(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test56(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test38(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test06(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test41(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test54(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test42(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test10(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test37(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test46(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test47(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test53(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test09(); org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption_ESTest.test39()
"org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.PDPixelMap(PDDocument, BufferedImage, boolean)",HotCallee,"org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.PDPixelMap(PDDocument, BufferedImage, boolean); org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.createImageStream(PDDocument, BufferedImage, boolean)"
org.apache.pdfbox.util.DateConverter.toISO8601(Calendar),FreqExec,"org.apache.pdfbox.util.DateConverter.toISO8601(Calendar); org.apache.pdfbox.util.TestDateUtil.checkParse(int, int, int, int, int, int, int, int, String); org.apache.pdfbox.util.TestDateUtil.checkToString(int, int, int, int, int, int, TimeZone, int, int)"
