sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
1;org.apache.pdfbox.cos.COSInteger.equals(Object);17;4;7;1;1
2;org.apache.pdfbox.pdmodel.common.PDRectangle.PDRectangle(BoundingBox);168;7;52;3;3
3;org.apache.pdfbox.pdmodel.PDDocument.getSignatureDictionary();21;0;0;7;6
4;org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap.clear();2;0;0;1;1
5;org.apache.pdfbox.cos.COSDictionary.containsKey(COSName);96;6;25;0;0
6;org.apache.pdfbox.pdfparser.NonSequentialPDFParser.createTmpFile(InputStream);15;4;7;1;2
7;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.setToggleNoView(boolean);14;0;0;6;4
8;org.apache.pdfbox.Decrypt.usage();154;10;32;0;0
9;org.apache.pdfbox.pdmodel.edit.PDPageContentStream.appendRawCommands(float);165;15;48;0;0
10;org.apache.pdfbox.pdmodel.fdf.FDFTemplate.getTemplateReference();7;0;0;3;2
11;org.apache.pdfbox.pdmodel.interactive.action.type.PDAction.getNext();25;0;0;5;11
12;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.setCaptionVerticalOffset(float);18;0;0;3;7
13;org.apache.pdfbox.pdmodel.PDResources.getFonts();275;8;41;12;48
14;org.apache.pdfbox.examples.signature.CMSProcessableInputStream.CMSProcessableInputStream(InputStream);3;1;2;0;0
15;org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption.setCanAssembleDocument(boolean);14;0;0;5;4
16;org.apache.pdfbox.pdmodel.graphics.color.ColorSpaceLab.ColorSpaceLab();2;1;1;0;0
17;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.incrementRevisionNumber();15;0;0;6;4
18;org.apache.pdfbox.pdmodel.PDPage.findCropBox();402;7;125;4;8
19;org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(String, String);38;5;14;2;2
