method,method,invocation counts
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),org.apache.tools.ant.types.selectors.SelectorUtils.rtrimWildcardTokens(String),73
org.apache.tools.ant.types.selectors.SelectorUtils.rtrimWildcardTokens(String),"org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePath(String, String)",73
"org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePath(String, String)","java.util.StringTokenizer.<init>(String, String)",73
"org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePath(String, String)",java.util.StringTokenizer.nextToken(),89
"org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePath(String, String)",java.util.StringTokenizer.hasMoreTokens(),162
"org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePath(String, String)",java.util.Vector.<init>(),73
"org.apache.tools.ant.types.selectors.SelectorUtils.tokenizePath(String, String)",java.util.Vector.addElement(Object),89
org.apache.tools.ant.types.selectors.SelectorUtils.rtrimWildcardTokens(String),org.apache.tools.ant.types.selectors.SelectorUtils.hasWildcards(String),73
org.apache.tools.ant.types.selectors.SelectorUtils.hasWildcards(String),java.lang.String.indexOf(int),129
org.apache.tools.ant.types.selectors.SelectorUtils.rtrimWildcardTokens(String),java.lang.StringBuffer.<init>(),73
org.apache.tools.ant.types.selectors.SelectorUtils.rtrimWildcardTokens(String),java.lang.StringBuffer.toString(),73
org.apache.tools.ant.types.selectors.SelectorUtils.rtrimWildcardTokens(String),java.util.Vector.elementAt(int),129
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),java.util.Hashtable.<init>(),73
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),"java.util.Hashtable.put(Object, Object)",73
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns(),java.util.Hashtable.containsKey(Object),73
org.apache.tools.ant.DirectoryScanner.scan(),org.apache.tools.ant.DirectoryScanner.isExcluded(String),1
org.apache.tools.ant.DirectoryScanner.scan(),java.io.File.exists(),73
org.apache.tools.ant.DirectoryScanner.scan(),org.apache.tools.ant.DirectoryScanner.clearCaches(),73
org.apache.tools.ant.DirectoryScanner.clearCaches(),java.util.HashSet.clear(),73
org.apache.tools.ant.DirectoryScanner.clearCaches(),java.util.HashMap.clear(),73
org.apache.tools.ant.DirectoryScanner.scan(),java.io.File.isDirectory(),73
org.apache.tools.ant.DirectoryScanner.scan(),org.apache.tools.ant.DirectoryScanner.isIncluded(String),73
org.apache.tools.ant.DirectoryScanner.scan(),java.util.Vector.<init>(),584
org.apache.tools.ant.DirectoryScanner.scan(),java.util.Vector.addElement(Object),73
org.apache.tools.ant.DirectoryScanner.scan(),"org.apache.tools.ant.DirectoryScanner.isSelected(String, File)",1
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.append(String),219
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.types.AbstractFileSet.getDataTypeName(),73
org.apache.tools.ant.types.AbstractFileSet.getDataTypeName(),org.apache.tools.ant.Project.getDataTypeDefinitions(),3
org.apache.tools.ant.Project.getDataTypeDefinitions(),org.apache.tools.ant.ComponentHelper.getComponentHelper(Project),3
org.apache.tools.ant.ComponentHelper.getComponentHelper(Project),"org.apache.tools.ant.Project.addReference(String, Object)",42
"org.apache.tools.ant.Project.addReference(String, Object)","org.apache.tools.ant.Project.log(String, int)",1499
"org.apache.tools.ant.Project.log(String, int)","org.apache.tools.ant.Project.fireMessageLogged(Project, String, int)",43417
"org.apache.tools.ant.Project.fireMessageLogged(Project, String, int)","org.apache.tools.ant.Project.fireMessageLoggedEvent(BuildEvent, String, int)",43416
"org.apache.tools.ant.Project.fireMessageLoggedEvent(BuildEvent, String, int)",java.util.Vector$Itr.next(),83393
"org.apache.tools.ant.Project.fireMessageLoggedEvent(BuildEvent, String, int)",java.lang.String.endsWith(String),84991
"org.apache.tools.ant.Project.fireMessageLoggedEvent(BuildEvent, String, int)",java.util.Vector.iterator(),84991
"org.apache.tools.ant.Project.fireMessageLogged(Project, String, int)",org.apache.tools.ant.BuildEvent.<init>(Project),43416
org.apache.tools.ant.BuildEvent.<init>(Project),java.util.EventObject.<init>(Object),43422
"org.apache.tools.ant.Project.addReference(String, Object)",java.lang.StringBuffer.append(String),2996
"org.apache.tools.ant.Project.addReference(String, Object)","java.util.Hashtable.put(Object, Object)",1390
"org.apache.tools.ant.Project.addReference(String, Object)",java.lang.StringBuffer.<init>(),1498
"org.apache.tools.ant.Project.addReference(String, Object)",java.lang.StringBuffer.toString(),1498
"org.apache.tools.ant.Project.addReference(String, Object)",org.apache.tools.ant.Project$AntRefTable.getReal(Object),1594
org.apache.tools.ant.Project$AntRefTable.getReal(Object),java.util.Hashtable.get(Object),1594
org.apache.tools.ant.ComponentHelper.getComponentHelper(Project),org.apache.tools.ant.ComponentHelper.<init>(),42
org.apache.tools.ant.ComponentHelper.<init>(),java.util.HashSet.<init>(),42
org.apache.tools.ant.ComponentHelper.<init>(),java.util.Hashtable.<init>(),126
org.apache.tools.ant.ComponentHelper.<init>(),java.util.Stack.<init>(),42
org.apache.tools.ant.ComponentHelper.getComponentHelper(Project),org.apache.tools.ant.ComponentHelper.setProject(Project),42
org.apache.tools.ant.ComponentHelper.setProject(Project),org.apache.tools.ant.ComponentHelper$AntTypeTable.<init>(Project),42
org.apache.tools.ant.ComponentHelper$AntTypeTable.<init>(Project),java.util.Hashtable.<init>(),42
org.apache.tools.ant.ComponentHelper.getComponentHelper(Project),org.apache.tools.ant.Project.getReference(String),1230
org.apache.tools.ant.Project.getReference(String),org.apache.tools.ant.Project$AntRefTable.get(Object),97726
org.apache.tools.ant.Project$AntRefTable.get(Object),java.util.Hashtable.get(Object),97726
org.apache.tools.ant.Project.getDataTypeDefinitions(),org.apache.tools.ant.ComponentHelper.getDataTypeDefinitions(),3
org.apache.tools.ant.ComponentHelper.getDataTypeDefinitions(),java.util.Hashtable.keySet(),3
org.apache.tools.ant.ComponentHelper.getDataTypeDefinitions(),java.util.Collections$SynchronizedCollection.iterator(),3
org.apache.tools.ant.ComponentHelper.getDataTypeDefinitions(),java.util.Hashtable.clear(),3
