method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.ivy.plugins.repository.ssh.Scp.FileInfo.setFilename(String),1,4,2,2,0,0
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.setInput(InputStream),18,90,9,21,0,0
org.apache.ivy.plugins.resolver.CacheResolver.CacheResolver(ResolverSettings),15,620,15,99,2,4
org.apache.ivy.core.resolve.IvyNodeUsage.NodeConf.hashCode(),18,11,0,0,3,5
org.apache.ivy.ant.IvyAntSettings.getFile(),18,2,1,1,0,0
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.toIvyFile(File),18,101,0,0,8,50
"org.apache.ivy.core.cache.RepositoryCacheManager.findModuleInCache(DependencyDescriptor, ModuleRevisionId, CacheMetadataOptions, String)",0,294,15,45,0,0
org.apache.ivy.plugins.resolver.BasicResolver.checkForcedResolvedModuleRevision(ResolvedModuleRevision),14,436,12,86,1,7
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId)",2,309,11,65,2,6
org.apache.ivy.ant.IvyDeliver.doExecute(),18,304,0,0,10,63
org.apache.ivy.core.IvyPatternHelper.OriginalArtifactNameValue.toString(),18,191,0,0,11,42
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",18,28,3,2,4,8
org.apache.ivy.plugins.resolver.AbstractResolver.setName(String),0,34,9,9,0,0
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.getDefaultScope(PomDependencyData),18,211,16,43,3,4
org.apache.ivy.util.cli.CommandLine.hasOption(String),18,563,13,150,0,0
org.apache.ivy.ant.IvyBuildList.setSkipbuildwithoutivy(boolean),18,11,0,0,4,5
org.apache.ivy.core.cache.RepositoryCacheManager.clean(),18,188,11,57,0,0
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",18,173,0,0,6,51
org.apache.ivy.core.resolve.IvyNode.getAllCallersModuleIds(),13,28,4,10,1,1
org.apache.ivy.core.settings.IvySettings.getVersionMatcher(String),-1,1,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.setHomePage(String),2,313,15,70,0,0
org.apache.ivy.core.sort.SortEngine.getVersionMatcher(),4,53,7,12,1,1
org.apache.ivy.util.Credentials.getPasswd(),0,190,15,40,0,0
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.dependencyStarted(Attributes),18,312,6,50,13,44
org.apache.ivy.ant.IvyDeliver.setPubbranch(String),18,381,11,65,0,0
org.apache.ivy.plugins.repository.ssh.Scp.FileInfo.setLength(long),1,4,2,2,0,0
org.apache.ivy.plugins.repository.ssh.SshCache.Entry.getPort(),12,154,14,43,0,0
"org.apache.ivy.ant.IvyBuildList.processFilterNodeFromRoot(ModuleDescriptor, Set, Map)",18,18,5,5,1,3
org.apache.ivy.core.settings.IvySettings.getVariables(),-1,1,0,0,0,0
"org.apache.ivy.util.Configurator.ObjectDescriptor.addAddMethod(String, Method)",1,8,2,6,0,0
org.apache.ivy.core.publish.PublishOptions.isUpdate(),13,277,14,40,0,0
org.apache.ivy.plugins.version.AbstractVersionMatcher.getSettings(),0,10,5,3,0,0
"org.apache.ivy.Ivy14.deliver(ModuleRevisionId, String, File, String, String, Date, PublishingDependencyRevisionResolver, boolean)",18,236,0,0,17,48
"org.apache.ivy.core.resolve.IvyNode.addRootModuleConfigurations(IvyNodeUsage, String, String[])",13,272,14,42,1,3
"org.apache.ivy.core.resolve.IvyNodeCallers.Caller.updateConfs(String, String[])",13,4,2,2,0,0
org.apache.ivy.plugins.repository.vsftp.VsftpRepository.updateLastCommandTime(),5,41,6,13,0,0
org.apache.ivy.core.event.EventManager.fireIvyEvent(IvyEvent),1,705,15,150,1,1
org.apache.ivy.util.filter.ArtifactTypeFilter.accept(Object),18,2,0,0,1,1
"org.apache.ivy.core.module.descriptor.Configuration.Configuration(String, Visibility, String, String[], boolean, String)",0,50,7,15,0,0
org.apache.ivy.plugins.repository.LazyResource.setLocal(boolean),18,9,2,7,0,0
"org.apache.ivy.util.MockMessageLogger.rawlog(String, int)",-1,1,0,0,0,0
org.apache.ivy.plugins.repository.ssh.Scp.FileInfo.setLastModified(long),1,3,2,1,0,0
org.apache.ivy.plugins.parser.m2.PomReader.getLicenses(),18,333,12,91,2,4
"org.apache.ivy.core.resolve.IvyNode.setPendingConflicts(ModuleId, String, Collection)",13,347,15,45,2,1
org.apache.ivy.core.module.id.ModuleId.hashCode(),0,13,2,9,0,0
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)",4,15,1,2,5,5
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.getDependencyMgtExclusions(ModuleDescriptor, String, String)",18,213,16,42,4,5
org.apache.ivy.plugins.circular.ErrorCircularDependencyStrategy.getInstance(),4,6,3,3,0,0
"org.apache.ivy.core.resolve.IvyNode.findArtifactsMatching(IncludeRule, Map)",4,77,6,20,3,6
org.apache.ivy.core.module.descriptor.DependencyArtifactDescriptor.getType(),0,57,7,22,0,0
"org.apache.ivy.util.Configurator.MacroDef.addElement(String, boolean)",18,8,3,1,2,3
"org.apache.ivy.core.resolve.IvyNodeEviction.getPendingConflicts(String, ModuleId)",13,8,1,1,3,2
org.apache.ivy.core.resolve.IvyNodeEviction.ModuleIdConf.getConf(),0,6,2,3,0,0
"org.apache.ivy.plugins.resolver.DependencyResolver.beginPublishTransaction(ModuleRevisionId, boolean)",0,666,13,102,0,0
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getCollectionForConfiguration(String, Map)",0,4,1,3,0,0
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getIncludeRules(String[]),18,3,0,0,2,1
org.apache.ivy.ant.IvyBuildList.setOnlydirectdep(boolean),-1,1,0,0,0,0
org.apache.ivy.ant.IvyPublish.setHaltonmissing(boolean),-1,1,0,0,0,0
"org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date)",14,249,3,7,14,41
org.apache.ivy.plugins.resolver.IBiblioResolver.setUseMavenMetadata(boolean),-1,1,0,0,0,0
org.apache.ivy.core.module.descriptor.Artifact.getUrl(),0,268,13,47,0,0
org.apache.ivy.plugins.resolver.IvyRepResolver.listOrganisations(),18,27,0,0,4,8
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",18,131,0,0,8,24
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.parse(),7,92,5,6,7,18
org.apache.ivy.core.report.ConfigurationResolveReport.getDownloadReports(ModuleRevisionId),0,255,11,60,1,1
org.apache.ivy.core.search.ModuleEntry.getResolver(),1,6,2,2,1,1
org.apache.ivy.plugins.resolver.FileSystemResolver.addArtifactPattern(String),8,39,7,10,2,2
"org.apache.ivy.plugins.repository.vfs.VfsResource.VfsResource(String, FileSystemManager)",0,167,15,43,0,0
org.apache.ivy.core.module.status.Status.isIntegration(),1,4,2,2,0,0
org.apache.ivy.plugins.parser.m2.PomReader.getDescription(),18,333,12,93,2,2
org.apache.ivy.core.resolve.VisitNode.markEvicted(EvictionData),13,347,15,45,5,6
org.apache.ivy.util.CopyProgressEvent.getReadBytes(),0,16,4,7,0,0
org.apache.ivy.core.cache.DefaultResolutionCacheManager.getResolvedIvyPattern(),18,14,4,5,0,0
org.apache.ivy.ant.AntBuildTrigger.markBuilt(File),18,152,13,42,0,0
org.apache.ivy.util.ChecksumHelper.byteArrayToHexString(byte[]),1,4,3,1,0,0
org.apache.ivy.ant.IvyTask.isValidate(),-1,1,0,0,0,0
org.apache.ivy.core.settings.IvySettings.addVersionMatcher(VersionMatcher),2,16,2,3,2,5
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.PomModuleDescriptorBuilder(ModuleDescriptorParser, Resource, ParserSettings)",18,333,12,89,2,7
org.apache.ivy.util.MemoryUtil.getUsedMemory(),0,201,17,41,1,1
org.apache.ivy.core.settings.IvySettings.getVersionMatcher(),4,918,13,138,4,6
"org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage)",13,271,4,6,14,53
org.apache.ivy.core.module.descriptor.DependencyDescriptor.getExcludeRules(String),2,21,3,18,0,0
org.apache.ivy.core.module.descriptor.DependencyDescriptor.getIncludeRules(String),0,22,3,18,0,0
org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher.newMatcher(String),18,4,0,0,3,1
org.apache.ivy.plugins.repository.sftp.SFTPRepository.list(String),18,183,0,0,16,41
"org.apache.ivy.util.Configurator.MacroDef.play(Configurator, Map, Map)",18,53,0,0,5,19
org.apache.ivy.plugins.resolver.packager.BuiltFileResource.BuiltFileResource(File),0,23,6,10,0,0
"org.apache.ivy.core.event.resolve.StartResolveDependencyEvent.StartResolveDependencyEvent(DependencyResolver, DependencyDescriptor, ModuleRevisionId)",13,257,6,45,13,45
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.ExtendedBuffer.getContext(),18,6,2,4,0,0
org.apache.ivy.plugins.repository.vfs.VfsTestHelper.VfsTestHelper(),18,133,0,0,9,37
org.apache.ivy.plugins.parser.ModuleDescriptorParserRegistry.getParsers(),-1,1,0,0,0,0
org.apache.ivy.ant.IvyPostResolveTask.setResolveId(String),-1,1,0,0,0,0
org.apache.ivy.core.settings.IvySettings.getCircularDependencyStrategy(),6,139,12,28,1,1
org.apache.ivy.plugins.resolver.VsftpResolver.setAuthentication(String),18,4,0,0,2,2
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchivePathInCache(Artifact),18,23,0,0,5,10
org.apache.ivy.plugins.parser.AbstractModuleDescriptorParser.AbstractParser.getModuleDescriptorParser(),18,37,5,17,0,0
org.apache.ivy.plugins.lock.AbstractLockStrategy.isDebugLocking(),0,19,6,6,0,0
org.apache.ivy.core.cache.ArtifactOrigin.unkwnown(Artifact),2,260,15,36,2,1
org.apache.ivy.Ivy.getIvyVersion(),0,622,13,144,0,0
org.apache.ivy.plugins.resolver.ChainResolver.isCheckmodified(),18,220,12,41,1,2
org.apache.ivy.plugins.resolver.AbstractResolver.toSystem(MetadataArtifactDownloadReport),14,436,12,70,7,21
org.apache.ivy.core.settings.IvySettings.dumpSettings(),6,67,6,9,4,12
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getIncludeRules(String),18,3,1,1,1,1
org.apache.ivy.plugins.report.ReportOutputter.getName(),2,5,3,2,0,0
"org.apache.ivy.plugins.resolver.FileSystemResolver.getDestination(String, Artifact, ModuleRevisionId)",18,37,0,0,7,13
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getDefaultMetadataArtifact(ModuleRevisionId),8,88,10,11,6,9
org.apache.ivy.core.resolve.IvyNode.getRequiredConfigurations(),18,2,1,1,0,0
org.apache.ivy.core.resolve.ResolveEngineSettings.debugConflictResolution(),13,458,14,81,0,0
org.apache.ivy.plugins.matcher.RegexpPatternMatcher.newMatcher(String),18,2,0,0,1,1
org.apache.ivy.ant.IvyResolve.setCache(File),18,2,0,0,1,1
org.apache.ivy.plugins.resolver.IBiblioResolver.getPattern(),18,33,6,10,0,0
org.apache.ivy.ant.IvyArtifactProperty.setName(String),-1,1,0,0,0,0
org.apache.ivy.plugins.resolver.CacheResolver.exists(Artifact),18,55,0,0,7,20
org.apache.ivy.util.MockMessageLogger.assertLogDoesntContain(String),18,2,0,0,1,1
org.apache.ivy.core.module.status.StatusManager.isIntegration(String),18,157,13,43,4,5
org.apache.ivy.plugins.repository.ssh.SshRepository.openStream(SshResource),18,185,1,1,15,41
org.apache.ivy.Ivy.listModules(String),18,15,1,1,3,8
org.apache.ivy.core.module.id.ModuleRevisionId.encodeToString(),15,620,15,99,1,1
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printExtraAttributes(ExtendableItem, PrintWriter, String)",4,95,6,52,2,2
org.apache.ivy.core.repository.RepositoryManagementEngine.getModuleIdsNumber(),18,2,0,0,1,1
org.apache.ivy.core.resolve.ResolveProcessException.ResolveProcessException(String),0,15,4,6,0,0
"org.apache.ivy.util.url.ApacheURLLister.retrieveListing(URL, boolean, boolean)",4,17,1,3,4,5
org.apache.ivy.core.resolve.IvyNodeEviction.isCompletelyEvicted(),5,31,1,1,4,11
org.apache.ivy.util.cli.CommandLineParser.addCategory(String),18,12,3,8,0,0
org.apache.ivy.plugins.lock.FileBasedLockStrategy.CreateFileLocker.CreateFileLocker(boolean),0,5,3,2,0,0
org.apache.ivy.plugins.parser.xml.UpdateOptions.getSettings(),0,10,2,8,0,0
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser.Parser.Parser(ModuleDescriptorParser, ParserSettings)",0,38,5,17,1,1
"org.apache.ivy.plugins.resolver.IvyRepResolver.getDependency(DependencyDescriptor, ResolveData)",18,443,0,0,12,89
org.apache.ivy.plugins.resolver.BasicResolver.setDescriptor(String),18,12,5,5,0,0
org.apache.ivy.util.Message.warn(String),3,1268,11,429,3,5
org.apache.ivy.core.module.descriptor.AbstractIncludeExcludeRule.initStandardAttributes(),2,12,3,1,1,8
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleDescriptor, ModuleRevisionId, boolean, boolean, boolean)",2,1045,11,191,2,1
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleRevisionId, Collection, String, PublishOptions)",13,278,1,1,13,41
"org.apache.ivy.core.module.descriptor.OverrideDependencyDescriptorMediator.OverrideDependencyDescriptorMediator(String, String)",2,26,4,17,0,0
"org.apache.ivy.core.event.resolve.ResolveEvent.ResolveEvent(String, ModuleDescriptor, String[])",15,163,2,6,12,45
org.apache.ivy.core.resolve.IvyNodeUsage.NodeConf.getConf(),0,15,4,6,0,0
org.apache.ivy.util.AbstractMessageLogger.warn(String),18,3,0,0,1,2
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.addTTL(Map, PatternMatcher, long)",18,9,3,2,2,2
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.write(ModuleDescriptor, File)",4,588,13,134,7,50
org.apache.ivy.plugins.resolver.FileSystemResolver.commitPublishTransaction(),18,26,0,0,5,7
org.apache.ivy.util.url.URLHandlerDispatcher.getURLInfo(URL),18,3,0,0,1,2
"org.apache.ivy.plugins.version.VersionMatcher.accept(ModuleRevisionId, ModuleRevisionId)",0,403,11,74,0,0
"org.apache.ivy.plugins.conflict.ConflictManager.handleAllBlacklistedRevisions(DependencyDescriptor, Collection)",13,212,15,41,0,0
org.apache.ivy.core.resolve.VisitNode.getRequiredConfigurations(),18,2,0,0,1,1
org.apache.ivy.core.module.descriptor.DependencyDescriptor.getDependencyArtifacts(String),0,22,3,18,0,0
org.apache.ivy.core.resolve.IvyNodeCallers.Caller.getCallerConfigurations(),1,36,4,19,0,0
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.setUseOrigin(boolean),-1,1,0,0,0,0
"org.apache.ivy.util.ChecksumHelper.computeAsString(File, String)",1,36,6,9,2,2
"org.apache.ivy.Main.initSettings(CommandLine, Ivy)",18,563,13,114,9,41
"org.apache.ivy.util.Configurator.MacroRecord.recordChild(String, Object)",1,17,4,7,2,1
org.apache.ivy.core.deliver.DeliverOptions.setStatus(String),18,563,13,145,0,0
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, String, String, String)",18,35,0,0,6,12
org.apache.ivy.core.settings.IvySettings.addConfigured(PatternMatcher),18,6,0,0,3,2
"org.apache.ivy.plugins.resolver.CacheResolver.publish(Artifact, File, boolean)",18,228,0,0,16,37
org.apache.ivy.plugins.resolver.AbstractResolver.setChangingMatcher(String),18,3,2,1,0,0
org.apache.ivy.ant.IvyTask.setSettingsRef(Reference),11,394,11,64,0,0
org.apache.ivy.core.report.ResolveReport.setResolveTime(long),15,620,15,99,0,0
org.apache.ivy.plugins.resolver.IvyRepResolver.listModules(OrganisationEntry),18,18,0,0,3,8
"org.apache.ivy.core.event.IvyEventFilter.IvyEventFilter(String, String, PatternMatcher)",1,150,13,45,2,3
"org.apache.ivy.core.report.ResolveReport.setDependencies(List, Filter)",14,676,13,83,6,29
org.apache.ivy.util.url.HttpClientHandler.HttpClientHelper2x.getResponseContentLength(HttpMethodBase),18,11,0,0,4,5
org.apache.ivy.ant.AddPathTask.addDirset(DirSet),-1,1,0,0,0,0
org.apache.ivy.plugins.repository.vfs.VfsURI.normalizePath(String),18,2,1,1,0,0
org.apache.ivy.plugins.parser.ParserSettings.getResolutionCacheManager(),0,745,13,130,0,0
org.apache.ivy.core.install.InstallEngineSettings.getStatusManager(),15,633,13,101,0,0
org.apache.ivy.plugins.lock.FileBasedLockStrategy.CreateFileLocker.unlock(File),-1,1,0,0,0,0
org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository.getKeyFile(),12,176,15,41,0,0
"org.apache.ivy.plugins.resolver.AbstractResolver.saveModuleRevisionIfNeeded(DependencyDescriptor, ResolvedModuleRevision)",6,44,5,9,3,8
org.apache.ivy.core.settings.IvySettings.addConfigured(RepositoryCacheManager),18,6,0,0,3,2
org.apache.ivy.plugins.version.VersionMatcher.getName(),2,11,3,5,0,0
org.apache.ivy.plugins.circular.AbstractCircularDependencyStrategy.toString(),18,2,0,0,1,1
org.apache.ivy.plugins.version.VersionRangeMatcher.VersionRangeMatcher(),3,15,4,5,1,1
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.getInstance(),0,184,12,57,0,0
org.apache.ivy.core.settings.IvyVariableContainerImpl.IvyVariableContainerImpl(),4,67,6,26,0,0
org.apache.ivy.util.Configurator.getDepth(),18,59,9,13,0,0
org.apache.ivy.plugins.matcher.GlobPatternMatcher.GlobMatcher.calculateExact(),18,2,1,1,0,0
"org.apache.ivy.core.cache.ArtifactOrigin.ArtifactOrigin(Artifact, boolean, String)",1,298,15,51,1,1
org.apache.ivy.util.CopyProgressListener.start(CopyProgressEvent),18,6,2,4,0,0
org.apache.ivy.plugins.repository.vfs.VfsResource.init(),4,18,2,6,4,5
org.apache.ivy.core.module.descriptor.AbstractIncludeExcludeRule.getConfigurations(),-1,1,0,0,0,0
org.apache.ivy.util.AbstractMessageLogger.sumupProblems(),18,8,0,0,2,5
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.doesExclude(String[], ArtifactId)",18,179,0,0,16,44
org.apache.ivy.plugins.version.Match.split(String),18,149,12,44,0,0
"org.apache.ivy.plugins.repository.ssh.SshRepository.put(File, String, boolean)",18,194,0,0,15,40
