class,path,package,methods
StartRetrieveArtifactEvent,src\java\org\apache\ivy\core\event\retrieve\StartRetrieveArtifactEvent.java,org.apache.ivy.core.event.retrieve,StartRetrieveArtifactEvent
ArtifactDownloadReport,src\java\org\apache\ivy\core\report\ArtifactDownloadReport.java,org.apache.ivy.core.report,"ArtifactDownloadReport,getDownloadStatus,setDownloadStatus,getName,getType,getArtifact,getExt,getSize,setSize,setArtifactOrigin,getArtifactOrigin,setDownloadDetails,getDownloadDetails,setDownloadTimeMillis,getDownloadTimeMillis,toString,getLocalFile,setLocalFile,isDownloaded,hashCode,equals"
RetrieveArtifactEvent,src\java\org\apache\ivy\core\event\retrieve\RetrieveArtifactEvent.java,org.apache.ivy.core.event.retrieve,"RetrieveArtifactEvent,addArtifactAttributes,getDestFile,getReport"
OrganisationEntry,src\java\org\apache\ivy\core\search\OrganisationEntry.java,org.apache.ivy.core.search,"OrganisationEntry,getOrganisation,getResolver,toString"
ApacheURLLister,src\java\org\apache\ivy\util\url\ApacheURLLister.java,org.apache.ivy.util.url,"listAll,listDirectories,listFiles,retrieveListing"
FileUtil,src\java\org\apache\ivy\util\FileUtil.java,org.apache.ivy.util,"FileUtil,symlink,copy,copy,copy,copy,copy,copy,readEntirely,readEntirely,readEntirely,concat,forceDelete,getPathFiles,listAll,listAll,resolveFile"
Message,src\java\org\apache\ivy\util\Message.java,org.apache.ivy.util,"getDefaultLogger,setDefaultLogger,getLogger,showInfo,debug,verbose,info,rawinfo,deprecated,warn,error,getProblems,sumupProblems,progress,endProgress,endProgress,isShowProgress,setShowProgress,Message"
URLHandlerRegistry,src\java\org\apache\ivy\util\url\URLHandlerRegistry.java,org.apache.ivy.util.url,"URLHandlerRegistry,getDefault,setDefault,getHttp"
VfsRepository,src\java\org\apache\ivy\plugins\repository\vfs\VfsRepository.java,org.apache.ivy.plugins.repository.vfs,"VfsRepository,getVFSManager,createVFSManager,finalize,getResource,get,list,put"
AbstractRepository,src\java\org\apache\ivy\plugins\repository\AbstractRepository.java,org.apache.ivy.plugins.repository,"addTransferListener,removeTransferListener,hasTransferListener,fireTransferInitiated,fireTransferStarted,fireTransferStarted,fireTransferProgress,fireTransferCompleted,fireTransferCompleted,fireTransferError,fireTransferError,fireTransferEvent,getFileSeparator,standardize,getName,setName,toString,put,put"
RepositoryCopyProgressListener,src\java\org\apache\ivy\plugins\repository\RepositoryCopyProgressListener.java,org.apache.ivy.plugins.repository,"RepositoryCopyProgressListener,start,progress,end,getTotalLength,setTotalLength"
TransferEvent,src\java\org\apache\ivy\plugins\repository\TransferEvent.java,org.apache.ivy.plugins.repository,"TransferEvent,TransferEvent,TransferEvent,getName,getResource,getException,getRequestType,setRequestType,getEventType,setEventType,setResource,getLocalFile,setLocalFile,getLength,setLength,getTotalLength,setTotalLength,setException,isTotalLengthSet,setTotalLengthSet,getRepository,getElapsedTime,checkEventType"
VfsResource,src\java\org\apache\ivy\plugins\repository\vfs\VfsResource.java,org.apache.ivy.plugins.repository.vfs,"VfsResource,init,getChildren,getContent,getName,clone,normalize,getLastModified,getContentLength,exists,physicallyExists,toString,isLocal,openStream"
AnyMatcher,src\java\org\apache\ivy\plugins\matcher\AnyMatcher.java,org.apache.ivy.plugins.matcher,"AnyMatcher,matches,isExact"
IvyArtifactReportTest,test\java\org\apache\ivy\ant\IvyArtifactReportTest.java,org.apache.ivy.ant,"setUp,createCache,tearDown,cleanCache,testSimple"
IvyArtifactReport,src\java\org\apache\ivy\ant\IvyArtifactReport.java,org.apache.ivy.ant,"getTofile,setTofile,getPattern,setPattern,doExecute,generateXml,createTransformerHandler,startModule,startArtifact,writeOriginLocationIfPresent,writeCacheLocation,writeRetrieveLocation,removeLeadingPath"
IvyPostResolveTask,src\java\org\apache\ivy\ant\IvyPostResolveTask.java,org.apache.ivy.ant,"isUseOrigin,setUseOrigin,getLog,setLog,prepareAndCheck,ensureResolved,getConfsToResolve,getConfsToResolve,getConfsToResolve,createResolve,getResolvedMrid,getResolvedModuleId,getResolvedReport,getType,setType,getConf,setConf,getModule,setModule,getOrganisation,setOrganisation,getBranch,setBranch,isHaltonfailure,setHaltonfailure,setCache,getRevision,setRevision,getArtifactFilter,isTransitive,setTransitive,isInline,setInline,setResolveId,getResolveId,setFile,getFile,setKeep,isKeep,setRefresh,isRefresh,getResolveMode,setResolveMode"
IvyTask,src\java\org\apache\ivy\ant\IvyTask.java,org.apache.ivy.ant,"doValidate,isValidate,setValidate,setSettingsRef,getSettingsRef,getSettings,getIvyInstance,setResolved,setResolved,getResolvedConfigurations,getResolvedDescriptor,getResolvedDescriptor,getResolvedDescriptor,getResolvedDescriptor,getReference,getResolvedReport,splitConfs,mergeConfs,getPubDate,getProperty,getProperty,getProperty,getProperty,prepareTask,finalizeTask,execute,doExecute,toString,cacheAttributeNotSupported"
VersionRangeMatcher,src\java\org\apache\ivy\plugins\version\VersionRangeMatcher.java,org.apache.ivy.plugins.version,"VersionRangeMatcher,VersionRangeMatcher,VersionRangeMatcher,isDynamic,accept,isLower,isUpper,compare,getLatestStrategy,setLatestStrategy,setLatest"
ModuleRevisionId,src\java\org\apache\ivy\core\module\id\ModuleRevisionId.java,org.apache.ivy.core.module.id,"parse,newInstance,newInstance,newInstance,newInstance,newInstance,newInstance,newInstance,intern,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,getModuleId,getName,getOrganisation,getRevision,equals,hashCode,toString,encodeToString,decode,getBranch"
AbstractVersionMatcher,src\java\org\apache\ivy\plugins\version\AbstractVersionMatcher.java,org.apache.ivy.plugins.version,"AbstractVersionMatcher,AbstractVersionMatcher,getName,setName,needModuleDescriptor,accept,compare,toString,getSettings,setSettings"
